dataset_name,config,llm_model,task_type,iteration,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count
Walking-Activity,CatDB,gemini-2.5-pro,multiclass,1,0.15651798248291,36.7047297954559,47.6429226398468,6.90916275978088,-2,0.994144490937855,0.994406803760243,0.82710626152527,-2,0.705104088720052,-2,-2,-2,0.956259985596509,0.962424010620639,0.603374492326982,-2,1.15136949592636,-2,-2,3177
Walking-Activity,CatDB,gemini-2.5-pro,multiclass,2,0.15651798248291,40.7553732395172,91.2359697818756,12.8447751998901,-2,0.820118469730009,0.82791752062706,0.518587609535836,-2,9.95230566138013,-2,-2,-2,0.802232510976379,0.814002388304863,0.455089285714286,-2,10.3742635288363,-2,-2,3177
Walking-Activity,CatDB,gemini-2.5-pro,multiclass,3,0.15651798248291,34.6518776416779,45.565393447876,7.86831617355347,-2,0.99535475471598,0.995515453286188,0.847644740366586,-2,0.632626051564015,-2,-2,-2,0.964356508971908,0.969481277724544,0.652410714285714,-2,1.03047624174653,-2,-2,3177
Walking-Activity,CatDB,gemini-2.5-pro,multiclass,4,0.15651798248291,41.2973310947418,50.700882434845,6.6640956401825,-2,0.994144490937855,0.994406803760243,0.82710626152527,-2,0.705104088720052,-2,-2,-2,0.956259985596509,0.962424010620639,0.603374492326982,-2,1.15136949592636,-2,-2,3177
Walking-Activity,CatDB,gemini-2.5-pro,multiclass,5,0.15651798248291,37.3186459541321,46.8902478218079,6.75070762634277,-2,0.994144490937855,0.994406803760243,0.82710626152527,-2,0.705104088720052,-2,-2,-2,0.956259985596509,0.962424010620639,0.603374492326982,-2,1.15136949592636,-2,-2,3177
Tic-Tac-Toe,CatDB,gemini-2.5-pro,binary,1,0.0768787860870361,43.6788804531097,47.4844059944153,0.451213359832764,1,-2,-2,1,1,-2,-2,-2,0.99743659667303,-2,-2,0.979166666666667,0.984615384615385,-2,-2,-2,2924
Tic-Tac-Toe,CatDB,gemini-2.5-pro,binary,2,0.0768787860870361,39.081392288208,40.4349749088287,0.767690658569336,1,-2,-2,1,1,-2,-2,-2,0.998854649577311,-2,-2,0.982638888888889,0.987212276214834,-2,-2,-2,2924
Tic-Tac-Toe,CatDB,gemini-2.5-pro,binary,3,0.0768787860870361,38.9231357574463,40.2790718078613,0.78853964805603,1,-2,-2,1,1,-2,-2,-2,0.998854649577311,-2,-2,0.982638888888889,0.987212276214834,-2,-2,-2,2924
Tic-Tac-Toe,CatDB,gemini-2.5-pro,binary,4,0.0768787860870361,40.7878110408783,77.0721552371979,0.42548942565918,1,-2,-2,1,1,-2,-2,-2,0.99743659667303,-2,-2,0.979166666666667,0.984615384615385,-2,-2,-2,2924
Tic-Tac-Toe,CatDB,gemini-2.5-pro,binary,5,0.0768787860870361,44.0973861217499,45.0147588253021,0.475854158401489,1,-2,-2,1,1,-2,-2,-2,0.99743659667303,-2,-2,0.979166666666667,0.984615384615385,-2,-2,-2,2924
CMC,CatDB,gemini-2.5-pro,multiclass,1,0.106521129608154,38.8978233337402,43.2853240966797,0.73693323135376,-2,0.957318326161222,0.958230343546906,0.837051406401552,-2,0.499125136871436,-2,-2,-2,0.693551313894276,0.700940179323901,0.520361990950226,-2,1.0206263419983,-2,-2,3087
CMC,CatDB,gemini-2.5-pro,multiclass,2,0.106521129608154,33.2947516441345,37.2707071304321,0.885647535324097,-2,0.97409438931065,0.974595760399215,0.876818622696411,-2,0.419391694347791,-2,-2,-2,0.724129824091182,0.730976925816962,0.572398190045249,-2,1.01682993267149,-2,-2,3087
CMC,CatDB,gemini-2.5-pro,multiclass,3,0.106521129608154,38.9067766666412,57.2585158348084,0.766201257705689,-2,0.957318326161222,0.958230343546906,0.837051406401552,-2,0.499125136871436,-2,-2,-2,0.693551313894276,0.700940179323901,0.520361990950226,-2,1.0206263419983,-2,-2,3087
CMC,CatDB,gemini-2.5-pro,multiclass,4,0.106521129608154,39.9450733661652,40.9140846729279,0.830655813217163,-2,0.957318326161222,0.958230343546906,0.837051406401552,-2,0.499125136871436,-2,-2,-2,0.693551313894276,0.700940179323901,0.520361990950226,-2,1.0206263419983,-2,-2,3087
CMC,CatDB,gemini-2.5-pro,multiclass,5,0.106521129608154,33.484885931015,34.2780392169952,0.687888383865356,-2,0.97409438931065,0.974595760399215,0.876818622696411,-2,0.419391694347791,-2,-2,-2,0.724129824091182,0.730976925816962,0.572398190045249,-2,1.01682993267149,-2,-2,3087
Bike-Sharing,CatDB,gemini-2.5-pro,regression,1,0.101052761077881,31.9817442893982,33.6288731098175,0.374850749969482,-2,-2,-2,-2,-2,-2,0.954193734034155,39.143577174919,-2,-2,-2,-2,-2,-2,0.942752255458861,42.5265138708011,3089
Bike-Sharing,CatDB,gemini-2.5-pro,regression,2,0.101052761077881,49.5260171890259,50.3336470127106,0.291846036911011,-2,-2,-2,-2,-2,-2,0.941290171195845,44.3152775186117,-2,-2,-2,-2,-2,-2,0.929468108056928,47.2034084287143,3089
Bike-Sharing,CatDB,gemini-2.5-pro,regression,3,0.101052761077881,36.3987925052643,39.4836251735687,2.65335416793823,-2,-2,-2,-2,-2,-2,0.987850326124459,20.2050376491947,-2,-2,-2,-2,-2,-2,0.919720861170075,50.4365720956551,3089
Bike-Sharing,CatDB,gemini-2.5-pro,regression,4,0.101052761077881,40.0742750167847,42.3750591278076,1.8831160068512,-2,-2,-2,-2,-2,-2,0.941290171195845,44.3152775186117,-2,-2,-2,-2,-2,-2,0.929468108056928,47.2034084287143,3089
Bike-Sharing,CatDB,gemini-2.5-pro,regression,5,0.101052761077881,33.1248619556427,34.0891373157501,0.310189962387085,-2,-2,-2,-2,-2,-2,0.954193734034155,39.143577174919,-2,-2,-2,-2,-2,-2,0.942752255458861,42.5265138708011,3089
NYC,CatDB,gemini-2.5-pro,regression,1,0.124856472015381,33.3795087337494,38.7106115818024,3.16658210754395,-2,-2,-2,-2,-2,-2,0.575242193850356,0.389156329903949,-2,-2,-2,-2,-2,-2,0.572649305033841,0.390281292981478,3205
