dataset,task_type,platform,time
Higgs,binary,kglidsplus,530780
Albert,binary,kglidsplus,107682
Click-Prediction,binary,kglidsplus,59830
Census,binary,kglidsplus,84244
Heart-Statlog,binary,kglidsplus,56515
KDDCup99,multiclass,kglidsplus,208016
Road-Safety,multiclass,kglidsplus,111532
Drug-Directory,multiclass,kglidsplus,111660
Okcupid-Stem,multiclass,kglidsplus,77451
Walking-Activity,multiclass,kglidsplus,47369
PASS,regression,kglidsplus,91900
Aloi,regression,kglidsplus,97582
MD-MIX-Mini,regression,kglidsplus,90475
Dionis,regression,kglidsplus,83263
Meta-Album-BRD,regression,kglidsplus,51784
Balance-Scale,multiclass,kglidsplus,49149
Breast-w,binary,kglidsplus,42552
CMC,multiclass,kglidsplus,39720
Credit-g,binary,kglidsplus,49231
Diabetes,binary,kglidsplus,40959
Tic-Tac-Toe,binary,kglidsplus,39964
Eucalyptus,multiclass,kglidsplus,48029
PC1,binary,kglidsplus,45998
Airlines,binary,kglidsplus,43845
Jungle-Chess,multiclass,kglidsplus,49105
