dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Balance-Scale,CatDB,,gpt-4o,Auto,multiclass,True,0,2,Yes,0.0372562408447265,11.909828424453735,24.978028059005737,0.286419153213501,1.0,-1.0,0.0958220741421301,-1,-1,0.8853503184713376,-1.0,0.3667555714441267,-1,-1
Balance-Scale,CatDBChain,ModelSelection,gpt-4o,Auto,multiclass,True,2,1,Yes,0.0018315315246582,7.434715986251831,7.644928216934204,0.2075152397155761,1.0,-1.0,0.0149333247084411,-1,-1,0.9681528662420382,-1.0,0.0913424052251802,-1,-1
Balance-Scale,CatDB,,llama3-70b-8192,Auto,multiclass,True,3,3,Yes,0.0021309852600097,32.08293390274048,108.04956412315369,0.2117347717285156,1.0,-1.0,0.1304187694402952,-1,-1,0.8598726114649682,-1.0,1.214014514802758,-1,-1
Breast-w,CatDB,,gpt-4o,Auto,binary,True,2,2,Yes,0.0558924674987793,10.470016956329346,22.09557700157165,0.3005874156951904,1.0,1.0,-1.0,-1,-1,0.9836734693877552,0.976470588235294,-1.0,-1,-1
Breast-w,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,3,3,Yes,0.0034475326538085,8.469882488250732,24.75486850738525,0.2653114795684814,1.0,1.0,-1.0,-1,-1,1.0,1.0,-1.0,-1,-1
CMC,CatDB,,gpt-4o,Auto,multiclass,True,1,1,Yes,0.0640749931335449,9.03686237335205,9.370707035064695,0.3289940357208252,0.9592391304347826,-1.0,0.2665544846371701,-1,-1,0.5121951219512195,-1.0,1.163500925883325,-1,-1
CMC,CatDBChain,ModelSelection,gpt-4o,Auto,multiclass,True,1,1,Yes,0.0035698413848876,11.211251497268677,11.57516074180603,0.3595101833343506,0.9592391304347826,-1.0,0.2660327045818005,-1,-1,0.5121951219512195,-1.0,1.2200884305501327,-1,-1
Credit-g,CatDB,,gpt-4o,Auto,binary,True,1,2,Yes,0.1069841384887695,9.684462070465088,17.12858271598816,0.3416018486022949,1.0,1.0,-1.0,-1,-1,0.784,0.5263157894736842,-1.0,-1,-1
Credit-g,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,2,1,Yes,0.0072152614593505,7.543480157852173,7.929264068603516,0.3769445419311523,1.0,1.0,-1.0,-1,-1,0.788,0.5225225225225225,-1.0,-1,-1
Credit-g,CatDB,,llama3-70b-8192,Auto,binary,True,0,7,Yes,0.0071873664855957,21.243825912475582,213.6925323009491,0.2564356327056885,1.0,1.0,-1.0,-1,-1,1.0,1.0,-1.0,-1,-1
Credit-g,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,2,11,Yes,0.0072414875030517,45.90991473197937,434.1050596237183,1.058018684387207,0.9973333333333332,0.9957081545064378,-1.0,-1,-1,0.752,0.4259259259259259,-1.0,-1,-1
Diabetes,CatDB,,gpt-4o,Auto,binary,True,0,2,Yes,0.1015472412109375,14.986254930496216,27.00370693206787,0.2257015705108642,1.0,1.0,-1.0,-1,-1,0.796875,0.6976744186046512,-1.0,-1,-1
Diabetes,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,4,1,Yes,0.0041768550872802,7.452030897140503,7.706921339035034,0.2507596015930176,1.0,1.0,-1.0,-1,-1,0.7916666666666666,0.6721311475409836,-1.0,-1,-1
