dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Balance-Scale,CatDB,,gpt-4o,Auto,multiclass,True,0,2,Yes,0.0372562408447265,11.909828424453735,24.978028059005737,0.286419153213501,1.0,-1.0,0.0958220741421301,-1,-1,0.8853503184713376,-1.0,0.3667555714441267,-1,-1
Balance-Scale,CatDB,,gpt-4o,Auto,multiclass,True,1,2,Yes,0.0372562408447265,12.657738208770752,18.393676042556763,0.2366187572479248,1.0,-1.0,0.0958220741421301,-1,-1,0.8853503184713376,-1.0,0.3667555714441267,-1,-1
Balance-Scale,CatDB,,gpt-4o,Auto,multiclass,True,2,2,Yes,0.0372562408447265,9.920547008514404,16.472089529037476,0.225975751876831,1.0,-1.0,0.0958220741421301,-1,-1,0.8853503184713376,-1.0,0.3667555714441267,-1,-1
Balance-Scale,CatDB,,gpt-4o,Auto,multiclass,True,3,2,Yes,0.0372562408447265,9.737764835357666,16.92588448524475,1.407921552658081,1.0,-1.0,0.1885950404846405,-1,-1,0.8662420382165605,-1.0,1.247482405950404,-1,-1
Balance-Scale,CatDB,,gpt-4o,Auto,multiclass,False,4,0,Yes,0.0372562408447265,6.653573513031006,144.54537177085876,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CatDB,,gpt-4o,Auto,binary,True,0,3,Yes,0.0558924674987793,11.483178853988647,28.3908760547638,0.3205487728118896,1.0,1.0,-1.0,-1,-1,0.9657142857142856,0.9545454545454546,-1.0,-1,-1
Breast-w,CatDB,,gpt-4o,Auto,binary,False,1,0,Yes,0.0558924674987793,11.273382425308228,195.58958983421329,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CatDB,,gpt-4o,Auto,binary,True,2,2,Yes,0.0558924674987793,10.470016956329346,22.09557700157165,0.3005874156951904,1.0,1.0,-1.0,-1,-1,0.9836734693877552,0.976470588235294,-1.0,-1,-1
Breast-w,CatDB,,gpt-4o,Auto,binary,True,3,1,Yes,0.0558924674987793,24.29797101020813,24.545664072036743,0.243417739868164,1.0,1.0,-1.0,-1,-1,0.9657142857142856,0.953846153846154,-1.0,-1,-1
Breast-w,CatDB,,gpt-4o,Auto,binary,True,4,3,Yes,0.0558924674987793,22.05105757713318,36.17855644226074,0.2946548461914062,1.0,1.0,-1.0,-1,-1,0.9714285714285714,0.9612403100775194,-1.0,-1,-1
