dataset_name,config,llm_model,has_description,classifier,task_type,status,number_iteration,pipeline_gen_time,execution_time,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Balance-Scale,CAAFE,gpt-4,Yes,TabPFN,multiclass,True,10,-1,151.01132440567017,1.0,-1,0.0001921877686917,-1,-1,1.0,-1,0.0004203766665345,-1,-1
Balance-Scale,CAAFE,gpt-4,No,TabPFN,multiclass,True,10,-1,128.8997287750244,1.0,-1,0.001670575036833779,-1,-1,1.0,-1,0.003520937953956618,-1,-1
#################################### TOP DIFF -------------------

# Binary Classifications

Higgs,CAAFE,gpt-3.5-turbo,Yes,RandomForest,binary,True,1,-1,7048.359049797058,0.7157761038961039,0.7374700765952792,-1,-1,-1,0.7150072727272727,0.7368882811162376,-1,-1,-1

Breast-w,CAAFE,gpt-4,yes,TabPFN,binary,True,10,-1,245.2420802116394,0.9902912621359223,0.9861495844875346,-1,-1,-1,0.9702380952380952,0.96,-1,-1,-1
Breast-w,CAAFE,gpt-4,no,TabPFN,binary,True,10,-1,318.54227471351624,0.9902912621359223,0.9861495844875346,-1,-1,-1,0.9821428571428571,0.976,-1,-1,-1

Diabetes,CAAFE,gpt-4,Yes,TabPFN,binary,True,10,-1,237.1477837562561,0.8229166666666666,0.7102272727272727,-1,-1,-1,0.7916666666666666,0.6825396825396826,-1,-1,-1

Credit-g,CAAFE,gpt-4,yes,TabPFN,binary,True,10,-1,251.113595724106,0.936,0.890909090909091,-1,-1,-1,0.764,0.520325203252033,-1,-1,-1
Credit-g,CAAFE,gpt-4,no,TabPFN,binary,True,10,-1,272.527993917465,0.917333333333333,0.857798165137615,-1,-1,-1,0.76,0.5,-1,-1,-1

Tic-Tac-Toe,CAAFE,gpt-4,yes,TabPFN,binary,True,10,-1,225.868242502212,1,1,-1,-1,-1,1,1,-1,-1,-1
Tic-Tac-Toe,CAAFE,gpt-4,no,TabPFN,binary,True,10,-1,236.316976547241,1,1,-1,-1,-1,0.958333333333333,0.967948717948718,-1,-1,-1

PC1,CAAFE,gpt-3.5-turbo,yes,TabPFN,binary,True,10,-1,254.08504223823547,0.9494584837545126,0.4473684210526316,-1,-1,-1,0.9280575539568345,0.0,-1,-1,-1
PC1,CAAFE,gpt-3.5-turbo,no,TabPFN,binary,True,10,-1,411.64852023124695,0.9590854392298436,0.5952380952380952,-1,-1,-1,0.935251798561151,0.18181818181818182,-1,-1,-1

Airlines,CAAFE,gpt-4,yes,TabPFN,binary,True,10,-1,440.91693854332,0.717333333333333,0.618018018018018,-1,-1,-1,0.622,0.396166134185303,-1,-1,-1
Airlines,CAAFE,gpt-4,no,TabPFN,binary,False,10,-1,501.351456403732,0,-1,-1,-1,-1,-1,-1,-1,-1,-1

################################################################################################

Balance-Scale,CAAFE,gpt-4,yes,TabPFN,multiclass,False,10,-1,134.060082912445,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Balance-Scale,CAAFE,gpt-4,no,TabPFN,multiclass,False,10,-1,152.002305746079,0,-1,-1,-1,-1,-1,-1,-1,-1,-1

CMC,CAAFE,gpt-4,yes,TabPFN,multiclass,False,10,-1,385.063090324402,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
CMC,CAAFE,gpt-4,no,TabPFN,multiclass,False,10,-1,394.370930671692,0,-1,-1,-1,-1,-1,-1,-1,-1,-1

Eucalyptus,CAAFE,gpt-4,yes,TabPFN,multiclass,False,10,-1,212.114327430725,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eucalyptus,CAAFE,gpt-4,no,TabPFN,multiclass,False,10,-1,241.332467317581,0,-1,-1,-1,-1,-1,-1,-1,-1,-1

PC1,CAAFE,gpt-4,yes,TabPFN,binary,False,10,-1,267.079354524612,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
PC1,CAAFE,gpt-4,no,TabPFN,binary,False,10,-1,286.894849777222,0,-1,-1,-1,-1,-1,-1,-1,-1,-1



