dataset_name,config,llm_model,has_description,classifier,task_type,status,number_iteration,pipeline_gen_time,execution_time,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Higgs,CatDB,gpt-4,no,automatic,binary,True,3,26.11793541908264,4762.940053701401,0.7156405194805194,0.7367705301790217,-1.0,-1,-1,0.7146966666666666,0.7360242291088563,-1.0,-1,-1
Higgs,CatDB,gpt-4,yes,automatic,binary,True,1,22.797545909881592,5636.635172843933,0.6337663636363636,0.7194795368704987,-1.0,-1,-1,0.6316881818181819,0.7180958261132966,-1.0,-1,-1
Albert,CatDB,gpt-4,yes,automatic,binary,False,0,32.26667284965515,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Click-Prediction,CatDB,gpt-4,no,automatic,binary,True,3,20.816417932510376,321.23313307762146,0.8338963243114118,0.0066722553934064,-1.0,-1,-1,0.833352524853018,0.0070795756231915,-1.0,-1,-1
Click-Prediction,CatDB,gpt-4,yes,automatic,binary,True,3,20.71043348312378,316.04768109321594,0.8335830614932052,0.0019987304201623,-1.0,-1,-1,0.8330337787434728,0.0019751017476657,-1.0,-1,-1
Census-Augmented,CatDB,gpt-4,no,automatic,binary,True,1,19.077236652374268,269.6875898838043,0.8845042857142857,0.88354137998457,-1.0,-1,-1,0.8819666666666667,0.8809717401791659,-1.0,-1,-1
Census-Augmented,CatDB,gpt-4,yes,automatic,binary,True,1,18.82877016067505,255.49959063529968,0.88465,0.8836486124943451,-1.0,-1,-1,0.8820366666666667,0.8809929985276742,-1.0,-1,-1
Heart-Statlog,CatDB,gpt-4,no,automatic,binary,True,1,19.07115149497986,130.19864702224731,0.8965642857142857,0.8964662678559966,-1.0,-1,-1,0.89471,0.8946119633633647,-1.0,-1,-1
KDDCup99,CatDB,gpt-4,no,automatic,multiclass,True,2,23.2264883518219,635.8970470428467,0.9999752107162032,-1.0,-1.0,-1,-1,0.9999156192796336,-1.0,-1.0,-1,-1
KDDCup99,CatDB,gpt-4,yes,automatic,multiclass,True,1,31.03706359863281,301.2762653827667,0.9999746274389374,-1.0,0.0002982659903705,-1,-1,0.999921743686757,-1.0,0.0004752511014447,-1,-1
Road-Safety,CatDB,gpt-4,no,automatic,multiclass,True,4,31.638193368911743,108.10704898834229,0.7259566602430487,-1.0,0.5796265957610947,-1,-1,0.7227661897901315,-1.0,0.584363204813713,-1,-1
Road-Safety,CatDB,gpt-4,yes,automatic,multiclass,True,1,46.59783363342285,76.02690005302429,0.6560939159161521,-1.0,0.6698853358110267,-1,-1,0.6605764730713113,-1.0,0.6746324398880168,-1,-1
Drug-Directory,CatDB,gpt-4,no,automatic,multiclass,True,4,25.89698910713196,17.09936833381653,0.9852525252525252,-1.0,-1.0,-1,-1,0.9832247331207542,-1.0,-1.0,-1,-1
Drug-Directory,CatDB,gpt-4,yes,automatic,multiclass,True,3,27.38627552986145,22.805429697036743,0.9832085561497326,-1.0,0.134456957798914,-1,-1,0.9811174268681548,-1.0,0.1407303073593122,-1,-1
Okcupid-Stem,CatDB,gpt-4,no,automatic,multiclass,True,1,20.23078966140747,8.91118860244751,0.7376800180018002,-1.0,0.5672691087732356,-1,-1,0.7278335630373433,-1.0,0.6105910196836247,-1,-1
