dataset_name,config,llm_model,has_description,classifier,task_type,status,number_iteration,pipeline_gen_time,execution_time,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Balance-Scale,CAAFE,gpt-4,Yes,RandomForest,multiclass,True,10,-1,99.86136317253111,1.0,-1.0,0.0072310853710059,-1,-1,1.0,-1.0,0.021222126185881,-1,-1
Balance-Scale,CAAFE,gpt-4,No,RandomForest,multiclass,True,10,-1,98.7782289981842,1.0,-1.0,0.0214001644671218,-1,-1,1.0,-1.0,0.0622619825552359,-1,-1
Breast-w,CAAFE,gpt-4,Yes,RandomForest,binary,False,10,-1,166.92313599586487,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CAAFE,gpt-4,No,RandomForest,binary,False,10,-1,149.87664437294006,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
CMC,CAAFE,gpt-4,Yes,RandomForest,multiclass,True,10,-1,156.39901065826416,0.9592391304347826,-1.0,0.2611314133763617,-1,-1,0.5094850948509485,-1.0,1.171208080279758,-1,-1
CMC,CAAFE,gpt-4,No,RandomForest,multiclass,False,10,-1,165.44570636749268,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CAAFE,gpt-4,Yes,RandomForest,binary,False,10,-1,135.25687050819397,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CAAFE,gpt-4,No,RandomForest,binary,True,10,-1,160.14362740516663,1.0,1.0,-1.0,-1,-1,0.752,0.4833333333333333,-1.0,-1,-1
Diabetes,CAAFE,gpt-4,Yes,RandomForest,binary,False,10,-1,144.66642117500305,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Diabetes,CAAFE,gpt-4,No,RandomForest,binary,True,10,-1,139.5567581653595,1.0,1.0,-1.0,-1,-1,0.8072916666666666,0.6991869918699187,-1.0,-1,-1
Tic-Tac-Toe,CAAFE,gpt-4,Yes,RandomForest,binary,True,10,-1,170.99393463134766,1.0,1.0,-1.0,-1,-1,0.9208333333333332,0.940809968847352,-1.0,-1,-1
Tic-Tac-Toe,CAAFE,gpt-4,No,RandomForest,binary,True,10,-1,146.2403793334961,1.0,1.0,-1.0,-1,-1,1.0,1.0,-1.0,-1,-1
Eucalyptus,CAAFE,gpt-4,Yes,RandomForest,multiclass,False,10,-1,152.0067536830902,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CAAFE,gpt-4,No,RandomForest,multiclass,False,10,-1,175.8240773677826,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CAAFE,gpt-4,Yes,RandomForest,binary,True,10,-1,141.1320240497589,0.9951865222623344,0.9649122807017544,-1.0,-1,-1,0.9388489208633094,0.3703703703703703,-1.0,-1,-1
PC1,CAAFE,gpt-4,No,RandomForest,binary,False,10,-1,162.94315576553345,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CAAFE,gpt-4,Yes,RandomForest,binary,True,10,-1,176.1472887992859,1.0,1.0,-1.0,-1,-1,0.636,0.4972375690607735,-1.0,-1,-1
Airlines,CAAFE,gpt-4,No,RandomForest,binary,True,10,-1,169.96878790855408,1.0,1.0,-1.0,-1,-1,0.63,0.5013477088948787,-1.0,-1,-1
Jungle-Chess,CAAFE,gpt-4,Yes,RandomForest,multiclass,True,10,-1,180.326828956604,1.0,-1.0,0.1239952858421223,-1,-1,0.838,-1.0,0.4260336355360828,-1,-1
Jungle-Chess,CAAFE,gpt-4,No,RandomForest,multiclass,True,10,-1,193.73194360733032,1.0,-1.0,0.12154333017631562,-1,-1,0.85,-1.0,0.4134151962662431,-1,-1
