dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Covertype,1,bool,0,581012,2,581012
Covertype,2,bool,0,581012,2,581012
Covertype,3,bool,0,581012,2,581012
Covertype,4,bool,0,581012,2,581012
Covertype,5,bool,0,581012,2,581012
Covertype,6,bool,0,581012,2,581012
Covertype,7,bool,0,581012,2,581012
Covertype,8,bool,0,581012,2,581012
Covertype,9,bool,0,581012,2,581012
Covertype,10,bool,0,581012,2,581012
Covertype,11,bool,0,581012,2,581012
Covertype,12,bool,0,581012,2,581012
Covertype,13,bool,0,581012,2,581012
Covertype,14,bool,0,581012,2,581012
Covertype,15,bool,0,581012,2,581012
Covertype,16,bool,0,581012,2,581012
Covertype,17,bool,0,581012,2,581012
Covertype,18,float,0,581012,67,581012
Covertype,19,float,0,581012,255,581012
Covertype,20,float,0,581012,361,581012
Covertype,21,float,0,581012,185,581012
Covertype,22,float,0,581012,207,581012
Covertype,23,float,0,581012,551,581012
Covertype,24,float,0,581012,5785,581012
Covertype,25,float,0,581012,1978,581012
Covertype,26,bool,0,581012,2,581012
Covertype,27,float,0,581012,700,581012
Covertype,28,bool,0,581012,2,581012
Covertype,29,bool,0,581012,2,581012
Covertype,30,bool,0,581012,2,581012
Covertype,31,bool,0,581012,2,581012
Covertype,32,bool,0,581012,2,581012
Covertype,33,bool,0,581012,2,581012
Covertype,34,bool,0,581012,2,581012
Covertype,35,bool,0,581012,2,581012
Covertype,36,bool,0,581012,2,581012
Covertype,37,bool,0,581012,2,581012
Covertype,38,bool,0,581012,2,581012
Covertype,39,bool,0,581012,2,581012
Covertype,40,bool,0,581012,2,581012
Covertype,41,bool,0,581012,2,581012
Covertype,42,bool,0,581012,2,581012
Covertype,43,bool,0,581012,2,581012
Covertype,44,bool,0,581012,2,581012
Covertype,45,bool,0,581012,2,581012
Covertype,46,bool,0,581012,2,581012
Covertype,47,bool,0,581012,2,581012
Covertype,48,bool,0,581012,2,581012
Covertype,49,bool,0,581012,2,581012
Covertype,50,bool,0,581012,2,581012
Covertype,51,bool,0,581012,2,581012
Covertype,52,bool,0,581012,2,581012
Covertype,53,bool,0,581012,2,581012
Covertype,54,bool,0,581012,2,581012
Covertype,55,float,0,581012,5827,581012
