dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,1,1,No,0.0066268444061279,10.511162519454956,0.2308590412139892,0.2177450656890869,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.999890919007363,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,2,1,No,0.0066268444061279,10.228836059570312,0.2301156520843505,0.2174859046936035,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.999890919007363,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,3,1,No,0.0066268444061279,11.5280864238739,0.2288258075714111,0.2164673805236816,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.999890919007363,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,4,1,No,0.0066268444061279,11.623582363128662,0.2349398136138916,0.2224924564361572,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.999890919007363,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,5,1,No,0.0066268444061279,11.197303771972656,0.2340366840362548,0.2217590808868408,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.999890919007363,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,6,1,No,0.0066268444061279,10.861488342285156,0.2294085025787353,0.2168555259704589,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.999890919007363,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,7,1,No,0.0066268444061279,10.924631834030151,0.2276453971862793,0.215440034866333,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.999890919007363,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,8,1,No,0.0066268444061279,9.999327421188354,0.8325064182281494,0.8181426525115967,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9996727570220888,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,9,1,No,0.0066268444061279,10.368755340576172,0.2287249565124511,0.2165186405181884,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9992909735478592,-2.0,-2.0,0.9895833333333334,0.992248062015504,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
oml_dataset_6_rnc,CatDB,,gpt-4o,Auto,binary,True,10,1,No,0.0066268444061279,13.70362901687622,0.2319393157958984,0.2196297645568847,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9980637166313832,-2.0,-2.0,0.9895833333333334,0.9917355371900828,-2.0,-2.0,-2.0,1314,1314,Gen-and-Run-Pipeline,0,Tic-Tac-Toe,1
