dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.0467951297760009,21.15002465248108,18.051385641098022,0.2936160564422607,-2.0,1.0,1.0,1.0,-2.0,0.1085932158147307,-2,-2,-2.0,0.7632677469135802,0.7874509294458525,0.8351063829787234,-2.0,0.7687565972703538,-2,-2,1460,3109,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,No,0.0467951297760009,20.79162669181824,19.15280294418335,0.2370257377624511,-2.0,1.0,1.0,1.0,-2.0,0.120402583429887,-2,-2,-2.0,0.7184426440329217,0.7481355273590918,0.8138297872340425,-2.0,1.5227271512423866,-2,-2,1460,3088,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,2,No,0.0467951297760009,23.48028349876404,19.021557569503784,0.3023862838745117,-2.0,1.0,1.0,1.0,-2.0,0.1227053633604853,-2,-2,-2.0,0.7228060699588478,0.7505225701391668,0.8404255319148937,-2.0,1.5018454592729202,-2,-2,1460,3090,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,2,No,0.0467951297760009,21.224449396133423,17.96155619621277,0.2586145401000976,-2.0,1.0,1.0,1.0,-2.0,0.1096661175291458,-2,-2,-2.0,0.7232484567901235,0.7497019178041587,0.8297872340425532,-2.0,1.3238203693629114,-2,-2,1460,3137,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,2,No,0.0467951297760009,20.76344609260559,17.790019512176514,0.2757201194763183,-2.0,1.0,1.0,1.0,-2.0,0.1187908231366823,-2,-2,-2.0,0.7071489197530864,0.7364793139478013,0.8138297872340425,-2.0,1.6940532671452109,-2,-2,1460,3049,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,No,0.0467951297760009,19.350992679595947,0.2324225902557373,0.2248439788818359,-2.0,1.0,1.0,1.0,-2.0,0.1225965205869995,-2,-2,-2.0,0.7187512860082306,0.7470230221718316,0.824468085106383,-2.0,1.1871494451606368,-2,-2,1460,1460,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,3,No,0.0467951297760009,20.15243411064148,36.42766737937927,0.2351841926574707,-2.0,1.0,1.0,1.0,-2.0,0.120402583429887,-2,-2,-2.0,0.7184426440329217,0.7481355273590918,0.8138297872340425,-2.0,1.5227271512423866,-2,-2,1460,4662,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,No,0.0467951297760009,20.619017839431763,0.2666723728179931,0.2589848041534424,-2.0,1.0,1.0,1.0,-2.0,0.1198445327839559,-2,-2,-2.0,0.7156468621399177,0.7454562380507759,0.8085106382978723,-2.0,1.3649295588890238,-2,-2,1460,1460,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,1,No,0.0467951297760009,24.068158388137817,0.2355344295501709,0.2281000614166259,-2.0,1.0,1.0,1.0,-2.0,0.1212585293799909,-2,-2,-2.0,0.7182368827160494,0.7472023994783098,0.824468085106383,-2.0,1.3630797309195648,-2,-2,1460,1460,Gen-and-Run-Pipeline
oml_dataset_1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,2,No,0.0467951297760009,20.43947982788086,17.995610237121582,0.2682507038116455,-2.0,1.0,1.0,1.0,-2.0,0.1096214966236371,-2,-2,-2.0,0.747718621399177,0.7735017618158374,0.8351063829787234,-2.0,1.2938992564071845,-2,-2,1460,3129,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,1,No,0.029167890548706,19.192689180374146,0.8230962753295898,0.8089368343353271,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9933722993424484,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2,-2,1597,1597,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,1,No,0.029167890548706,26.65178418159485,0.2304813861846923,0.2164759635925293,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9952510176390772,-2.0,-2.0,0.9714285714285714,0.9714285714285714,-2.0,-2,-2,1597,1597,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,1,No,0.029167890548706,20.63891577720642,0.3230767250061035,0.3085436820983886,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9946247782068678,-2.0,-2.0,0.9761904761904762,0.9762368885175902,-2.0,-2,-2,1597,1597,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,1,No,0.029167890548706,28.50939464569092,0.2209117412567138,0.206526517868042,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2,-2,1597,1597,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,2,No,0.029167890548706,22.6123275756836,18.69675350189209,0.2261686325073242,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9967644296002506,-2.0,-2.0,0.9809523809523808,0.9705882352941176,-2.0,-2,-2,1597,3363,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,2,No,0.029167890548706,23.232801914215088,21.84914779663086,0.2280008792877197,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9761904761904762,-2.0,-2,-2,1597,3333,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,2,No,0.029167890548706,20.39192247390747,16.390035152435303,0.2254631519317627,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9967644296002506,-2.0,-2.0,0.9809523809523808,0.9705882352941176,-2.0,-2,-2,1597,3308,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,1,No,0.029167890548706,18.8412823677063,0.2494115829467773,0.2351217269897461,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.99478133806492,-2.0,-2.0,0.9714285714285714,0.9714285714285714,-2.0,-2,-2,1597,1597,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,1,No,0.029167890548706,21.01683807373047,0.2417819499969482,0.2270233631134033,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.995094457781025,-2.0,-2.0,0.9714285714285714,0.9552238805970148,-2.0,-2,-2,1597,1597,Gen-and-Run-Pipeline
oml_dataset_2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,1,No,0.029167890548706,25.379428386688232,0.226884126663208,0.212578535079956,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2,-2,1597,1597,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.060060977935791,21.733764171600345,1.0306448936462402,1.0153160095214844,-2.0,0.9982299248017142,0.9983136245335892,0.9641125121241512,-2.0,0.2657723659594116,-2,-2,-2.0,0.7089165154680837,0.7161081270042526,0.5429864253393665,-2.0,1.0359274696149927,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,5,No,0.060060977935791,20.86980390548706,70.33990478515625,0.4281394481658935,-2.0,0.9983280286565068,0.9983981992288884,0.9641125121241512,-2.0,0.2747300490256162,-2,-2,-2.0,0.6802628795385323,0.6876887450464991,0.502262443438914,-2.0,0.994693547741858,-2,-2,1650,8672,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,No,0.060060977935791,20.32251024246216,0.3928875923156738,0.377699613571167,-2.0,0.9983673146611612,0.998432935475301,0.9641125121241512,-2.0,0.2729096078567852,-2,-2,-2.0,0.6785116550788258,0.6852862517590471,0.5135746606334841,-2.0,1.0022222485838108,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,1,No,0.060060977935791,23.54742932319641,0.493070125579834,0.4772789478302002,-2.0,0.998128699481256,0.998222055937428,0.9641125121241512,-2.0,0.2730715238567864,-2,-2,-2.0,0.6761610465696265,0.6829724115604251,0.5158371040723982,-2.0,0.996112934877904,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,No,0.060060977935791,21.639199256896973,0.4733426570892334,0.4576809406280517,-2.0,0.9983280286565068,0.9983981992288884,0.9641125121241512,-2.0,0.2747300490256162,-2,-2,-2.0,0.6802628795385323,0.6876887450464991,0.502262443438914,-2.0,0.994693547741858,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,No,0.060060977935791,23.17152214050293,0.4493887424468994,0.4330217838287353,-2.0,0.9984588443825958,0.9985174964924434,0.9641125121241512,-2.0,0.2706786650223194,-2,-2,-2.0,0.6904511064403307,0.6970390019900532,0.5113122171945701,-2.0,0.988434897263232,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,1,No,0.060060977935791,23.75271725654602,0.4224472045898437,0.4076192378997803,-2.0,0.9983280286565068,0.9983981992288884,0.9641125121241512,-2.0,0.2747300490256162,-2,-2,-2.0,0.6802628795385323,0.6876887450464991,0.502262443438914,-2.0,0.994693547741858,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,No,0.060060977935791,22.020498991012573,0.4576566219329834,0.4424164295196533,-2.0,0.9982680493307724,0.9983616077697196,0.9641125121241512,-2.0,0.2718360137201293,-2,-2,-2.0,0.6851536589594159,0.6917992403132166,0.5361990950226244,-2.0,0.9973979832365512,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,1,No,0.060060977935791,21.89951539039612,0.4389991760253906,0.4236695766448974,-2.0,0.9982551097667032,0.9983346697991258,0.9641125121241512,-2.0,0.2725018086498323,-2,-2,-2.0,0.686957539642035,0.6930189925738158,0.5158371040723982,-2.0,1.0663569325655329,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,1,No,0.060060977935791,23.738287448883057,0.4352450370788574,0.4208106994628906,-2.0,0.9979888823192926,0.9980750913582908,0.9641125121241512,-2.0,0.271473869705886,-2,-2,-2.0,0.6827298525139701,0.6889896736351454,0.5226244343891403,-2.0,1.0681979349519106,-2,-2,1650,1650,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,3,No,0.0780262947082519,26.724815368652344,40.80039858818054,0.3161928653717041,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7764866712235132,-2.0,-2.0,0.7533333333333333,0.7154122528248588,-2.0,-2,-2,1998,6384,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,8,No,0.0780262947082519,21.84847569465637,118.50482153892516,0.3095419406890869,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7809033072190966,-2.0,-2.0,0.7466666666666667,0.7143407426387377,-2.0,-2,-2,1998,16459,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,1,No,0.0780262947082519,22.239964485168457,0.3439779281616211,0.3087568283081054,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7976760082023241,-2.0,-2.0,0.7466666666666667,0.7183436853002071,-2.0,-2,-2,1998,1998,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,8,No,0.0780262947082519,19.00862979888916,131.5097849369049,0.327366828918457,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7835585467164414,-2.0,-2.0,0.7433333333333333,0.7095180134490401,-2.0,-2,-2,1998,16801,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,1,No,0.0780262947082519,29.385287761688232,0.8238787651062012,0.7908198833465576,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7801934907198066,-2.0,-2.0,0.7433333333333333,0.7192851932895696,-2.0,-2,-2,1998,1998,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,2,No,0.0780262947082519,19.784001111984253,16.74505925178528,0.2920122146606445,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7842683632157316,-2.0,-2.0,0.75,0.7191158900836321,-2.0,-2,-2,1998,4053,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,6,No,0.0780262947082519,20.68390464782715,99.1637225151062,0.3453049659729004,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7647878437352121,-2.0,-2.0,0.74,0.7128695652173913,-2.0,-2,-2,1998,12706,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,2,No,0.0780262947082519,19.05548739433289,17.474321603775024,0.3084373474121094,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7838740207161259,-2.0,-2.0,0.7633333333333333,0.7321529734400241,-2.0,-2,-2,1998,4073,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,3,No,0.0780262947082519,20.71281623840332,34.92119884490967,0.3035972118377685,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7878963142121038,-2.0,-2.0,0.7533333333333333,0.717645390070922,-2.0,-2,-2,1998,6210,Gen-and-Run-Pipeline
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,5,No,0.0780262947082519,19.975975036621094,67.87046813964844,0.3017821311950683,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7878963142121038,-2.0,-2.0,0.7533333333333333,0.717645390070922,-2.0,-2,-2,1998,10074,Gen-and-Run-Pipeline
oml_dataset_5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,2,No,0.0268125534057617,23.759602308273315,16.88822650909424,0.2830290794372558,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.801365894039735,-2.0,-2.0,0.7489177489177489,0.7481545492038496,-2.0,-2,-2,1734,3583,Gen-and-Run-Pipeline
oml_dataset_5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,13,No,0.0268125534057617,18.94128108024597,180.06822657585144,0.2629356384277344,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.8014900662251655,-2.0,-2.0,0.7575757575757576,0.6455696202531646,-2.0,-2,-2,1734,22953,Gen-and-Run-Pipeline
oml_dataset_5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,No,0.0268125534057617,25.51020336151123,15.621841192245483,0.252810001373291,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7883692052980134,-2.0,-2.0,0.7359307359307359,0.7338219554254019,-2.0,-2,-2,1734,3569,Gen-and-Run-Pipeline
oml_dataset_5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,5,No,0.0268125534057617,26.453081130981445,62.37655138969421,0.2698650360107422,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7990480132450332,-2.0,-2.0,0.7662337662337663,0.7662337662337663,-2.0,-2,-2,1734,8909,Gen-and-Run-Pipeline
oml_dataset_5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,6,No,0.0268125534057617,17.27103567123413,73.89670872688293,0.2463443279266357,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7925082781456954,-2.0,-2.0,0.7619047619047619,0.6540880503144654,-2.0,-2,-2,1734,10408,Gen-and-Run-Pipeline
oml_dataset_5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,4,No,0.0268125534057617,22.114113569259644,46.01620411872864,0.2647016048431396,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7901903973509933,-2.0,-2.0,0.7142857142857143,0.7142857142857143,-2.0,-2,-2,1734,7053,Gen-and-Run-Pipeline
