dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Higgs,1,float,0,11000000,3,11000000
Higgs,2,float,0,11000000,524126,11000000
Higgs,3,float,0,11000000,3,11000000
Higgs,4,float,0,11000000,6284,11000000
Higgs,5,float,0,11000000,691289,11000000
Higgs,6,float,0,11000000,5999,11000000
Higgs,7,float,0,11000000,5999,11000000
Higgs,8,float,0,11000000,6284,11000000
Higgs,9,float,0,11000000,344267,11000000
Higgs,10,float,0,11000000,1249475,11000000
Higgs,11,float,0,11000000,6284,11000000
Higgs,12,float,0,11000000,37793,11000000
Higgs,13,float,0,11000000,5999,11000000
Higgs,14,float,0,11000000,3,11000000
Higgs,15,float,0,11000000,27073,11000000
Higgs,16,float,0,11000000,6284,11000000
Higgs,17,float,0,11000000,6284,11000000
Higgs,18,float,0,11000000,1068674,11000000
Higgs,19,float,0,11000000,767597,11000000
Higgs,20,float,0,11000000,495814,11000000
Higgs,21,float,0,11000000,1127135,11000000
Higgs,22,float,0,11000000,3,11000000
Higgs,23,float,0,11000000,19881,11000000
Higgs,24,float,0,11000000,2218464,11000000
Higgs,25,float,0,11000000,45559,11000000
Higgs,26,float,0,11000000,5999,11000000
Higgs,27,float,0,11000000,5001,11000000
Higgs,28,float,0,11000000,27983,11000000
Higgs,29,bool,0,11000000,2,11000000
