dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,3,Yes,0.0028159618377685,39.4034960269928,57.26806020736694,1.0132806301116943,-2.0,1.0,1.0,1.0,-2.0,0.13349890799794,-2.0,-2.0,-2.0,0.9217843022990082,0.9374417633677936,0.7579617834394905,-2.0,0.4976703261590719,-2.0,-2.0,1619,5988,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,Yes,0.0028159618377685,30.017439365386963,23.02371072769165,0.2110271453857422,-2.0,1.0,1.0,1.0,-2.0,0.0415020934435593,-2.0,-2.0,-2.0,1.0,1.0,1.0,-2.0,0.1282955365672657,-2.0,-2.0,1619,3561,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,2,Yes,0.0028159618377685,24.22568702697754,19.769840955734253,0.2412586212158203,-2.0,1.0,1.0,1.0,-2.0,0.0009030433416661,-2.0,-2.0,-2.0,0.9988344988344988,0.9987546699875468,0.9872611464968152,-2.0,0.1399284995531513,-2.0,-2.0,1619,3400,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,3,Yes,0.0028159618377685,26.141338109970093,44.36667013168335,0.9565181732177734,-2.0,1.0,1.0,1.0,-2.0,0.054217217367358,-2.0,-2.0,-2.0,0.9974747474747474,0.9973017849730178,0.929936305732484,-2.0,0.2322748845140495,-2.0,-2.0,1619,5388,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,Yes,0.0028159618377685,21.48273992538452,0.2036061286926269,0.1984674930572509,-2.0,1.0,1.0,1.0,-2.0,0.1304570853819057,-2.0,-2.0,-2.0,0.7119998057498057,0.7461516822856457,0.8535031847133758,-2.0,1.191833225313588,-2.0,-2.0,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,Yes,0.0028159618377685,28.115306615829468,0.1978898048400879,0.1927831172943115,-2.0,1.0,1.0,1.0,-2.0,0.0973776239243807,-2.0,-2.0,-2.0,0.8826800242241418,0.8972872052469847,0.8726114649681529,-2.0,0.3809048703485165,-2.0,-2.0,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,4,Yes,0.0028159618377685,27.29176592826844,60.973488092422485,0.6072826385498047,-2.0,1.0,1.0,1.0,-2.0,0.0960221395770154,-2.0,-2.0,-2.0,0.8220611088258147,0.8336192945462463,0.9044585987261148,-2.0,0.407837038723616,-2.0,-2.0,1619,6960,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,Yes,0.0028159618377685,21.86317992210388,0.2036406993865966,0.1986818313598632,-2.0,1.0,1.0,1.0,-2.0,0.1338997691157386,-2.0,-2.0,-2.0,0.7277069335892866,0.760383486508844,0.8726114649681529,-2.0,0.5757663306716787,-2.0,-2.0,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,2,Yes,0.0028159618377685,25.186786890029907,20.11278200149536,0.2215864658355713,-2.0,1.0,1.0,1.0,-2.0,0.0973776239243807,-2.0,-2.0,-2.0,0.8826800242241418,0.8972872052469847,0.8726114649681529,-2.0,0.3809048703485165,-2.0,-2.0,1619,3333,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,1,Yes,0.0028159618377685,34.207375288009644,0.2420058250427246,0.236994981765747,-2.0,1.0,1.0,1.0,-2.0,0.0433174609658147,-2.0,-2.0,-2.0,0.9992229992229992,0.9991697799916978,0.9936305732484076,-2.0,0.1373581339012875,-2.0,-2.0,1619,1619,Gen-and-Run-Pipeline
