dataset_name,dataset_name_orig,time,dataset_load_time,llm_model
oml_dataset_1_rnc,Balance-Scale,18.33,0.697,gemini-1.5-pro-latest
oml_dataset_1_rnc,Balance-Scale,4.49,0.697,llama3-70b-8192
oml_dataset_1_rnc,Balance-Scale,15.44,0.697,gpt-4o
oml_dataset_2_rnc,Breast-w,0.29,0.687,gemini-1.5-pro-latest
oml_dataset_2_rnc,Breast-w,0.33,0.687,llama3-70b-8192
oml_dataset_2_rnc,Breast-w,0.25,0.687,gpt-4o
oml_dataset_3_rnc,CMC,20.07,0.727,gemini-1.5-pro-latest
oml_dataset_3_rnc,CMC,3.58,0.727,llama3-70b-8192
oml_dataset_3_rnc,CMC,17.23,0.727,gpt-4o
oml_dataset_4_rnc,Credit-g,0.36,0.776,gemini-1.5-pro-latest
oml_dataset_4_rnc,Credit-g,0.36,0.776,llama3-70b-8192
oml_dataset_4_rnc,Credit-g,0.30,0.776,gpt-4o
oml_dataset_5_rnc,Diabetes,16.61,0.737,gemini-1.5-pro-latest
oml_dataset_5_rnc,Diabetes,3.04,0.737,llama3-70b-8192
oml_dataset_5_rnc,Diabetes,19.97,0.737,gpt-4o
oml_dataset_6_rnc,Tic-Tac-Toe,0.32,0.759,gemini-1.5-pro-latest
oml_dataset_6_rnc,Tic-Tac-Toe,0.26,0.759,llama3-70b-8192
oml_dataset_6_rnc,Tic-Tac-Toe,0.28,0.759,gpt-4o
oml_dataset_33_rnc,Nomao,25.13,1.348,gemini-1.5-pro-latest
oml_dataset_33_rnc,Nomao,30.02,1.348,llama3-70b-8192
oml_dataset_33_rnc,Nomao,27.60,1.348,gpt-4o
oml_dataset_34_rnc,Gas-Drift,33.83,1.062,gemini-1.5-pro-latest
oml_dataset_34_rnc,Gas-Drift,5.23,1.062,llama3-70b-8192
oml_dataset_34_rnc,Gas-Drift,88.16,1.062,gpt-4o
oml_dataset_10_rnc,Jungle-Chess,2.89,0.71,gemini-1.5-pro-latest
oml_dataset_10_rnc,Jungle-Chess,2.98,0.71,llama3-70b-8192
oml_dataset_10_rnc,Jungle-Chess,7.62,0.71,gpt-4o
oml_dataset_11_rnc,Higgs,2478.44,76.784,gemini-1.5-pro-latest
oml_dataset_11_rnc,Higgs,7418.15,76.784,llama3-70b-8192
oml_dataset_11_rnc,Higgs,482.28,76.784,gpt-4o
oml_dataset_12_rnc,Skin,250.47,0.9,gemini-1.5-pro-latest
oml_dataset_12_rnc,Skin,58.04,0.9,llama3-70b-8192
oml_dataset_12_rnc,Skin,13.88,0.9,gpt-4o
oml_dataset_19_rnc,Traffic,1323.88,18.136,gemini-1.5-pro-latest
oml_dataset_19_rnc,Traffic,97.58,18.136,llama3-70b-8192
oml_dataset_19_rnc,Traffic,1471.50,18.136,gpt-4o
oml_dataset_20_rnc,Walking-Activity,40.59,0.826,gemini-1.5-pro-latest
oml_dataset_20_rnc,Walking-Activity,16.21,0.826,llama3-70b-8192
oml_dataset_20_rnc,Walking-Activity,16.34,0.826,gpt-4o
oml_dataset_21_rnc,Black-Friday,64.08,1.077,gemini-1.5-pro-latest
oml_dataset_21_rnc,Black-Friday,73.67,1.077,llama3-70b-8192
oml_dataset_21_rnc,Black-Friday,259.70,1.077,gpt-4o
oml_dataset_22_rnc,Bike-Sharing,16.00,0.753,gemini-1.5-pro-latest
oml_dataset_22_rnc,Bike-Sharing,31.35,0.753,llama3-70b-8192
oml_dataset_22_rnc,Bike-Sharing,19.83,0.753,gpt-4o
oml_dataset_23_rnc,House-Sales,24.64,0.801,gemini-1.5-pro-latest
oml_dataset_23_rnc,House-Sales,11.95,0.801,llama3-70b-8192
oml_dataset_23_rnc,House-Sales,18.42,0.801,gpt-4o
oml_dataset_24_rnc,NYC,107.61,1.571,gemini-1.5-pro-latest
oml_dataset_24_rnc,NYC,832.31,1.571,llama3-70b-8192
oml_dataset_24_rnc,NYC,111.94,1.571,gpt-4o
oml_dataset_35_rnc,Volkert,39.16,2.146,gemini-1.5-pro-latest
oml_dataset_35_rnc,Volkert,20.70,2.146,llama3-70b-8192
oml_dataset_35_rnc,Volkert,14.06,2.146,gpt-4o
