ID,dataset_name,dataset_name_orig,CatDB,CatDBChain,CAAFETabPFN,CAAFERandomForest
7,Balance-Scale,Balance-Scale,16190,13598,15570,15224
7,oml_dataset_1_rnc,Balance-Scale_rnc,0,0,0,0
1,Breast-w,Breast-w,21010,19172,22480,22323
1,oml_dataset_2_rnc,Breast-w_rnc,0,0,0,0
8,CMC,CMC,23280,6227,23691,24452
8,oml_dataset_3_rnc,CMC_rnc,0,0,0,0
2,Credit-g,Credit-g,21770,20440,28777,28929
2,oml_dataset_4_rnc,Credit-g_rnc,0,0,0,0
3,Diabetes,Diabetes,25480,19228,26194,26321
3,oml_dataset_5_rnc,Diabetes_rnc,0,0,0,0
4,Tic-Tac-Toe,Tic-Tac-Toe,17570,15549,25840,23491
4,oml_dataset_6_rnc,Tic-Tac-Toe_rnc,0,0,0,0
9,Eucalyptus,Eucalyptus,39250,28639,32948,28085
9,oml_dataset_7_rnc,Eucalyptus_rnc,0,0,0,0
5,PC1,PC1,36220,26096,32938,32825
5,oml_dataset_8_rnc,PC1_rnc,0,0,0,0
6,Airlines,Airlines,16520,10234,17271,20906
6,oml_dataset_9_rnc,Airlines_rnc,0,0,0,0
10,Jungle-Chess,Jungle-Chess,18930,16785,20504,20555
10,oml_dataset_10_rnc,Jungle-Chess_rnc,0,0,0,0
