dataset_name,Config,OUT,MV,NC,Result,llm_model,has_description,task_type,task,samples
Adult,CatDB,0.0,0.1,2,0.91369113557751,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.2,2,0.9141991099579324,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.3,2,0.9135796339546932,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.1,5,0.9134562488732452,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.2,5,0.9122206010479472,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.3,5,0.9139809760319336,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.1,8,0.9136177189904048,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.2,8,0.9139656434718944,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.3,8,0.9125123544493698,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.1,11,0.9125266145997276,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.2,11,0.9136550214568888,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.3,11,0.9133927158456356,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.1,14,0.9138551562906684,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.2,14,0.9128392365138686,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.3,14,0.9139268628190926,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.1,3,0.918691899681555,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.2,3,0.9214388096268588,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.3,3,0.9214388096268588,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.1,6,0.9192995872535806,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.2,6,0.9193142303276052,gemini-1.5-pro-latest,No,binary,classification,0
