dataset_name,dataset_name_orig,CatDB,CatDBChain,dataset_load_time,llm_model,has_description,task_type,task,samples
gen_dataset_50-out-0.02-np-0.8-nc-11-mv-0.1_rnc,Adult,90.74,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.04-np-0.8-nc-11-mv-0.1_rnc,Adult,108.16,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.06-np-0.8-nc-11-mv-0.1_rnc,Adult,92.54,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.02-np-0.8-nc-11-mv-0.2_rnc,Adult,70.77,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.04-np-0.8-nc-11-mv-0.2_rnc,Adult,66.72,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.06-np-0.8-nc-11-mv-0.2_rnc,Adult,31.62,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.02-np-0.8-nc-11-mv-0.3_rnc,Adult,91.94,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.04-np-0.8-nc-11-mv-0.3_rnc,Adult,119.69,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.06-np-0.8-nc-11-mv-0.3_rnc,Adult,32.26,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.02-np-0.8-nc-11-mv-0.4_rnc,Adult,48.47,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.04-np-0.8-nc-11-mv-0.4_rnc,Adult,52.02,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.06-np-0.8-nc-11-mv-0.4_rnc,Adult,47.47,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.02-np-0.8-nc-12-mv-0.1_rnc,Bank,59.88,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.04-np-0.8-nc-12-mv-0.1_rnc,Bank,76.86,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.06-np-0.8-nc-12-mv-0.1_rnc,Bank,51.75,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.02-np-0.8-nc-12-mv-0.2_rnc,Bank,94.86,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.04-np-0.8-nc-12-mv-0.2_rnc,Bank,261.98,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.06-np-0.8-nc-12-mv-0.2_rnc,Bank,47.47,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.02-np-0.8-nc-12-mv-0.3_rnc,Bank,116.17,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.04-np-0.8-nc-12-mv-0.3_rnc,Bank,130.36,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.06-np-0.8-nc-12-mv-0.3_rnc,Bank,52.84,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.02-np-0.8-nc-12-mv-0.4_rnc,Bank,116.07,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.04-np-0.8-nc-12-mv-0.4_rnc,Bank,45.91,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.06-np-0.8-nc-12-mv-0.4_rnc,Bank,98.65,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.02-np-0.8-nc-10-mv-0.1_rnc,Br2000,80.17,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.04-np-0.8-nc-10-mv-0.1_rnc,Br2000,53.48,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.06-np-0.8-nc-10-mv-0.1_rnc,Br2000,50.74,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.02-np-0.8-nc-10-mv-0.2_rnc,Br2000,109.16,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.04-np-0.8-nc-10-mv-0.2_rnc,Br2000,54.62,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.06-np-0.8-nc-10-mv-0.2_rnc,Br2000,65.21,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.02-np-0.8-nc-10-mv-0.3_rnc,Br2000,51.06,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.04-np-0.8-nc-10-mv-0.3_rnc,Br2000,108.38,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.06-np-0.8-nc-10-mv-0.3_rnc,Br2000,48.27,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.02-np-0.8-nc-10-mv-0.4_rnc,Br2000,58.80,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.04-np-0.8-nc-10-mv-0.4_rnc,Br2000,27.83,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.06-np-0.8-nc-10-mv-0.4_rnc,Br2000,110.35,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_53-out-0.1-np-0-nc-0-mv-0_rnc,NYC,75.03,0,40,gemini-1.5-pro-latest,No,regression,regression,0
gen_dataset_53-out-0-np-1-nc-16-mv-0.5_rnc,NYC,848.42,0,40,gemini-1.5-pro-latest,No,regression,regression,0
gen_dataset_53-out-0.1-np-1-nc-16-mv-0.5_rnc,NYC,643.77,0,40,gemini-1.5-pro-latest,No,regression,regression,0
gen_dataset_50-out-0.02-np-0-nc-0-mv-0_rnc,Adult,45.22,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.04-np-0-nc-0-mv-0_rnc,Adult,87.75,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0.06-np-0-nc-0-mv-0_rnc,Adult,48.85,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.02-np-0-nc-0-mv-0_rnc,Bank,54.95,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.04-np-0-nc-0-mv-0_rnc,Bank,55.21,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0.06-np-0-nc-0-mv-0_rnc,Bank,26.95,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.02-np-0-nc-0-mv-0_rnc,Br2000,57.65,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.04-np-0-nc-0-mv-0_rnc,Br2000,47.94,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0.06-np-0-nc-0-mv-0_rnc,Br2000,45.24,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.1_rnc,Adult,54.38,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.2_rnc,Adult,48.34,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.3_rnc,Adult,53.03,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.4_rnc,Adult,118.06,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0-np-0.8-nc-12-mv-0.1_rnc,Bank,267.01,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0-np-0.8-nc-12-mv-0.2_rnc,Bank,100.67,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0-np-0.8-nc-12-mv-0.3_rnc,Bank,50.18,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_51-out-0-np-0.8-nc-12-mv-0.4_rnc,Bank,49.75,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0-np-0.8-nc-10-mv-0.1_rnc,Br2000,27.78,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0-np-0.8-nc-10-mv-0.2_rnc,Br2000,49.10,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0-np-0.8-nc-10-mv-0.3_rnc,Br2000,34.14,0,1,gemini-1.5-pro-latest,No,binary,classification,0
gen_dataset_52-out-0-np-0.8-nc-10-mv-0.4_rnc,Br2000,103.86,0,1,gemini-1.5-pro-latest,No,binary,classification,0
