dataset_name,Config,OUT,MV,NC,Result,llm_model,has_description,task_type,task,samples
Adult,CatDB,0.02,0.0,0,0.9127587478196753,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.04,0.0,0,0.9060692301315818,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.06,0.0,0,0.9088824635687648,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.02,0.0,0,0.91557485989193,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.04,0.0,0,0.9134244460263612,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.06,0.0,0,0.90761025659477,gemini-1.5-pro-latest,No,binary,classification,0
Br2000,CatDB,0.02,0.0,0,0.8575625110374141,gemini-1.5-pro-latest,No,binary,classification,0
Br2000,CatDB,0.04,0.0,0,0.8564773039813316,gemini-1.5-pro-latest,No,binary,classification,0
Br2000,CatDB,0.06,0.0,0,0.8549058316084915,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.1,11,0.907624774866427,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.2,11,0.9029655315934793,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.3,11,0.8934973424528735,gemini-1.5-pro-latest,No,binary,classification,0
Adult,CatDB,0.0,0.4,11,0.8861555098380545,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.1,12,0.9213358112901028,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.2,12,0.9160473239090255,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.3,12,0.9142259451424428,gemini-1.5-pro-latest,No,binary,classification,0
Bank,CatDB,0.0,0.4,12,0.9093171683558152,gemini-1.5-pro-latest,No,binary,classification,0
Br2000,CatDB,0.0,0.1,10,0.8395576544978709,gemini-1.5-pro-latest,No,binary,classification,0
Br2000,CatDB,0.0,0.2,10,0.8213102650542587,gemini-1.5-pro-latest,No,binary,classification,0
Br2000,CatDB,0.0,0.3,10,0.8200844646503407,gemini-1.5-pro-latest,No,binary,classification,0
Br2000,CatDB,0.0,0.4,10,0.7718110256280774,gemini-1.5-pro-latest,No,binary,classification,0
