dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
gen_dataset_50-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,3,No,0.0083720684051513,25.17431116104126,47.65129828453064,4.011958599090576,0.9468641239952506,-2,-2,0.8896981396981397,0.884776690412254,-2,-2,-2,0.9124502416399868,-2,-2,0.8596581021598936,0.8526753674287709,-2,-2,-2,2224,6990,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,No,0.0083720684051513,23.530150175094604,21.691871166229248,0.9500632286071776,0.9465094687475551,-2,-2,0.8910582660582661,0.7479443711298346,-2,-2,-2,0.9127587478196753,-2,-2,0.8605793837649708,0.6673180263800684,-2,-2,-2,2224,4576,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,No,0.0083720684051513,20.433761835098267,22.08596563339233,3.540167808532715,0.9471992767411812,-2,-2,0.890970515970516,0.8860344721095065,-2,-2,-2,0.912730169550869,-2,-2,0.8601699252738254,0.8531975459392458,-2,-2,-2,2224,4423,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,3,No,0.0089962482452392,31.43702960014344,56.30875897407532,5.434829473495483,0.937788879497437,-2,-2,0.8810986310986311,0.8750001147368135,-2,-2,-2,0.9060692301315818,-2,-2,0.8557682464940116,0.8477674918977351,-2,-2,-2,2226,7300,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,15,No,0.0089962482452392,33.11270093917847,319.75774002075195,2.196622610092163,0.899298072370001,-2,-2,0.0,0.0,-2,-2,-2,0.8198666502037288,-2,-2,0.0,0.0,-2,-2,-2,2226,36945,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,2,No,0.0084385871887207,24.058528184890747,24.792065858840942,3.594243288040161,0.9500194361919608,-2,-2,0.8939481571060518,0.8886404755746352,-2,-2,-2,0.9088824635687648,-2,-2,0.8627642673836001,0.855481836742331,-2,-2,-2,2226,4606,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,3,No,0.0084385871887207,30.74923181533813,54.27568221092224,2.240597009658813,0.9442281396837708,-2,-2,0.8893971814358445,0.8817559977402735,-2,-2,-2,0.8812411779811684,-2,-2,0.8337598525949432,0.8201079267402095,-2,-2,-2,2226,7377,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,1,No,0.0084385871887207,30.05564665794373,2.275010347366333,2.2573978900909424,0.9438592986374827,-2,-2,0.8910204382793477,0.8837927749013536,-2,-2,-2,0.8820200952183861,-2,-2,0.8329409356126523,0.8195239007513856,-2,-2,-2,2226,2226,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,1,No,0.0108933448791503,27.11924123764038,2.4039220809936523,2.3813579082489014,0.993681197285156,-2,-2,0.9631518341832538,0.5326842837273992,-2,-2,-2,0.8897763259983386,-2,-2,0.8863904452963728,0.1219373219373219,-2,-2,-2,2045,2045,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,No,0.0108933448791503,26.018939971923828,28.930246591568,4.479117631912232,0.961071586968398,-2,-2,0.915379024868076,0.4476072607260726,-2,-2,-2,0.91557485989193,-2,-2,0.896711884399882,0.3033316757831924,-2,-2,-2,2045,4438,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,3,No,0.0108933448791503,36.85114049911499,60.53799772262573,3.650579452514648,0.9521470170756235,-2,-2,0.9617809946811428,0.5169785169785169,-2,-2,-2,0.7986545861731466,-2,-2,0.9371253666624156,0.1396160558464223,-2,-2,-2,2045,7115,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,3,No,0.0100934505462646,21.31394529342652,44.39791774749756,4.070796489715576,0.9618966197568892,-2,-2,0.9217619363604764,0.5152701644479248,-2,-2,-2,0.912335027467269,-2,-2,0.8970805072250073,0.3333333333333333,-2,-2,-2,2018,6280,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,No,0.0100934505462646,31.428825855255127,23.783217191696167,4.689891576766968,0.9637407191988308,-2,-2,0.9213827534995418,0.5138726064869089,-2,-2,-2,0.9134244460263612,-2,-2,0.8970067826599823,0.3338102050548402,-2,-2,-2,2018,4140,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,7,No,0.0100934505462646,35.36479187011719,185.1058719158173,6.144654035568237,0.9969952522184928,-2,-2,0.9768856447688564,0.9768846286365848,-2,-2,-2,0.8884524352164257,-2,-2,0.8759215570628134,0.876763504819776,-2,-2,-2,2018,16857,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,1,No,0.0095257759094238,22.25405859947205,4.700469017028809,4.679434061050415,0.9603862151457652,-2,-2,0.9201188106297596,0.9034912587658828,-2,-2,-2,0.90761025659477,-2,-2,0.8964907107048068,0.8708100385160406,-2,-2,-2,2016,2016,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,No,0.0095257759094238,33.41277813911438,29.28059792518616,2.275396585464477,0.9912137018872598,-2,-2,0.9684184705954498,0.963497346334894,-2,-2,-2,0.8843231929348423,-2,-2,0.886685343556473,0.8551979712661126,-2,-2,-2,2016,4398,Gen-and-Run-Pipeline,0
gen_dataset_51-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,5,No,0.0095257759094238,28.93813991546631,99.96043872833252,2.580371856689453,0.9807827798400888,-2,-2,0.942733657482442,0.9317762748164278,-2,-2,-2,0.8968917878921443,-2,-2,0.8958271896195813,0.8691274435023385,-2,-2,-2,2016,11233,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,9,No,0.0076141357421875,20.991588592529297,165.66546988487244,2.358218193054199,0.7695064567877744,-2,-2,0.8542481203007519,0.8448432554686586,-2,-2,-2,0.7277568151823433,-2,-2,0.8219298245614035,0.8104821577535442,-2,-2,-2,1854,17969,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,No,0.0076141357421875,19.80480074882508,20.37122201919556,2.940824270248413,0.9012263736671822,-2,-2,0.8551503759398497,0.8455505982456636,-2,-2,-2,0.8569058187621411,-2,-2,0.8218421052631579,0.8099755482967989,-2,-2,-2,1854,3756,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,3,No,0.0076141357421875,19.33991289138794,38.31301832199097,2.6415350437164307,0.9006408015414752,-2,-2,0.8531954887218045,0.8434231205723577,-2,-2,-2,0.8575625110374141,-2,-2,0.8228070175438597,0.8112642080673418,-2,-2,-2,1854,5702,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,2,No,0.0084285736083984,26.219241857528687,21.519084215164185,2.5621559619903564,0.9055303489274784,-2,-2,0.8603383458646616,0.7009579006681156,-2,-2,-2,0.8558116153914135,-2,-2,0.8205263157894737,0.6119119878603946,-2,-2,-2,1853,3803,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,No,0.0084285736083984,24.17729353904724,21.021414756774902,2.5283467769622803,0.902116244902218,-2,-2,0.8592857142857143,0.6997192137986362,-2,-2,-2,0.8540161057635383,-2,-2,0.8171929824561404,0.6047040971168437,-2,-2,-2,1853,3766,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,No,0.0084285736083984,25.05056405067444,22.893497705459595,2.5741782188415527,0.9063494002660148,-2,-2,0.8610902255639098,0.703522426382091,-2,-2,-2,0.8564773039813316,-2,-2,0.8203508771929825,0.6115326251896813,-2,-2,-2,1853,3813,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,2,No,0.0069901943206787,24.67489123344421,20.56524133682251,2.579540014266968,0.9046164447819878,-2,-2,0.8562406015037594,0.6916129032258065,-2,-2,-2,0.8549058316084915,-2,-2,0.8185964912280702,0.6036795707167497,-2,-2,-2,1854,3777,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,4,No,0.0069901943206787,23.483998775482178,59.88292217254639,1.640474796295166,0.7768991397214278,-2,-2,0.8586842105263158,0.907652622527945,-2,-2,-2,0.7257352175266318,-2,-2,0.8208771929824561,0.8835803876852908,-2,-2,-2,1854,7659,Gen-and-Run-Pipeline,0
gen_dataset_52-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,1,No,0.0069901943206787,40.68247270584106,2.0482187271118164,2.032186985015869,0.8718660950524466,-2,-2,0.8343984962406015,0.8222335897616864,-2,-2,-2,0.8430656368021008,-2,-2,0.8157894736842105,0.8022335199721307,-2,-2,-2,1854,1854,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,2,No,0.00909423828125,29.39360833168029,24.987408876419067,3.502112865447998,0.9454236740355418,-2,-2,0.8866268866268866,0.7324497825636778,-2,-2,-2,0.907624774866427,-2,-2,0.8574060804585935,0.6507896715968915,-2,-2,-2,2304,4646,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,No,0.00909423828125,24.08757710456848,25.037367582321167,3.4201834201812744,0.9454236740355418,-2,-2,0.8866268866268866,0.8806359263955154,-2,-2,-2,0.907624774866427,-2,-2,0.8574060804585935,0.8489149951629071,-2,-2,-2,2304,4618,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,No,0.00909423828125,24.556209802627563,23.62623143196106,3.4260878562927246,0.9454236740355418,-2,-2,0.8866268866268866,0.8806359263955154,-2,-2,-2,0.907624774866427,-2,-2,0.8574060804585935,0.8489149951629071,-2,-2,-2,2304,4627,Gen-and-Run-Pipeline,0
gen_dataset_50-out-0-np-0.8-nc-11-mv-0.2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,2,No,0.008439302444458,26.139404296875,25.91403150558472,3.772659301757813,0.9403558530638968,-2,-2,0.8814057564057564,0.8744127464629486,-2,-2,-2,0.9028794489785154,-2,-2,0.8512642030914116,0.8416111565455463,-2,-2,-2,2304,4681,Gen-and-Run-Pipeline,0
