dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.1457254886627197,55.70602440834045,90.98990488052368,51.57482600212097,-2,1.0,1.0,0.9999755004042432,-2,0.2839489130253217,-2,-2,-2,0.7720892868120679,0.7885424485966849,0.5383296175613103,-2,1.8476355720050064,-2,-2,11204,21998,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.1_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,4,No,0.1457254886627197,38.595613956451416,111.67399406433104,6.233536958694458,-2,1.0,1.0,1.0,-2,0.2922213983643744,-2,-2,-2,0.7950809753990654,0.8105029041397734,0.5723421769138226,-2,1.719189651225486,-2,-2,11204,42426,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,5,No,0.1384241580963134,51.0730881690979,173.67883038520813,7.382103204727173,-2,1.0,1.0,1.0,-2,0.2929168929490601,-2,-2,-2,0.7464506350307795,0.7628983532728763,0.4737895158063225,-2,1.9241993243044349,-2,-2,11187,54183,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.2_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,No,0.1384241580963134,37.6841139793396,95.9730191230774,59.79878616333008,-2,0.9999999950465184,0.9999999986604302,0.9999693486590038,-2,0.3168010812916075,-2,-2,-2,0.7710279956412505,0.7888561410358014,0.5396848035370463,-2,1.8825986512288115,-2,-2,11187,21530,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,10,No,0.1397874355316162,47.44296956062317,398.3169176578522,5.553838729858398,-2,1.0,1.0,1.0,-2,0.0337277873564192,-2,-2,-2,0.9970657958706514,0.998192845457984,0.9979420339564398,-2,0.1056036270476054,-2,-2,11202,108804,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.1397874355316162,44.5536150932312,56.6131591796875,56.38666772842407,-2,1.0,1.0,1.0,-2,0.2877233501403203,-2,-2,-2,0.7165498727196143,0.7337103757208318,0.4779626136168753,-2,1.942214622057825,-2,-2,11202,11202,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,3,No,0.1369354724884033,41.98563480377197,87.17458724975586,6.36446475982666,-2,1.0,1.0,1.0,-2,0.2736411224302061,-2,-2,-2,0.6976457666736481,0.7114244450060376,0.532555879494655,-2,1.9119412742098083,-2,-2,11217,32349,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,No,0.1369354724884033,36.36043834686279,39.50977873802185,4.917537450790405,-2,0.9999999679721036,0.999999983957338,0.9999186131683894,-2,0.3633501705707444,-2,-2,-2,0.7474240441843647,0.7639246939447315,0.5106607760276604,-2,1.9447562077617635,-2,-2,11217,21567,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.1324841976165771,42.419533014297485,7.532173156738281,7.327032089233398,-2,1.0,1.0,1.0,-2,0.2483754844171996,-2,-2,-2,0.6910583727193251,0.7029378252177585,0.6068141542331218,-2,1.7838383295843785,-2,-2,11211,11211,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.5_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,6,No,0.1324841976165771,51.63427257537842,256.91768980026245,53.40580630302429,-2,1.0,1.0,1.0,-2,0.248011998951843,-2,-2,-2,0.6698517171999785,0.6838069123222905,0.6054993425941805,-2,1.8154405691391904,-2,-2,11211,64956,Gen-and-Run-Pipeline,0
