dataset_name,dataset_name_orig,CatDB,CatDBChain,CAAFETabPFN,CAAFERandomForest,CatDB_min,CatDBChain_min,CAAFETabPFN_min,CAAFERandomForest_min,CatDB_10_min,CatDBChain_10_min,CAAFETabPFN_10_min,CAAFERandomForest_10_min,dataset_load_time,llm_model,has_description,task_type,task,samples
oml_dataset_1_rnc,Balance-Scale,0.26,18.33,255.85,249.64,0.17,0.31,4.26,4.16,1.67,3.06,42.64,41.61,0.697,gemini-1.5-pro-latest,No,multiclass,classification,0
oml_dataset_1_rnc,Balance-Scale,0.33,4.49,194.59,96.72,0.17,0.17,3.24,1.61,1.67,1.67,32.43,16.12,0.697,llama3-70b-8192,No,multiclass,classification,0
oml_dataset_1_rnc,Balance-Scale,0.28,15.44,144.04,79.51,0.17,0.26,2.40,1.33,1.67,2.57,24.01,13.25,0.697,gpt-4o,No,multiclass,classification,0
oml_dataset_2_rnc,Breast-w,0.29,15.60,255.88,250.49,0.17,0.26,4.26,4.17,1.67,2.60,42.65,41.75,0.687,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_2_rnc,Breast-w,0.33,2.89,228.26,85.38,0.17,0.17,3.80,1.42,1.67,1.67,38.04,14.23,0.687,llama3-70b-8192,No,binary,classification,0
oml_dataset_2_rnc,Breast-w,0.25,16.31,167.90,77.24,0.17,0.27,2.80,1.29,1.67,2.72,27.98,12.87,0.687,gpt-4o,No,binary,classification,0
oml_dataset_3_rnc,CMC,0.49,20.07,445.14,258.94,0.17,0.33,7.42,4.32,1.67,3.35,74.19,43.16,0.727,gemini-1.5-pro-latest,No,multiclass,classification,0
oml_dataset_3_rnc,CMC,0.59,3.58,471.65,139.47,0.17,0.17,7.86,2.32,1.67,1.67,78.61,23.25,0.727,llama3-70b-8192,No,multiclass,classification,0
oml_dataset_3_rnc,CMC,0.38,17.23,445.96,86.12,0.17,0.29,7.43,1.44,1.67,2.87,74.33,14.35,0.727,gpt-4o,No,multiclass,classification,0
oml_dataset_4_rnc,Credit-g,0.36,17.81,350.02,243.52,0.17,0.30,5.83,4.06,1.67,2.97,58.34,40.59,0.776,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_4_rnc,Credit-g,0.36,3.50,414.91,97.14,0.17,0.17,6.92,1.62,1.67,1.67,69.15,16.19,0.776,llama3-70b-8192,No,binary,classification,0
oml_dataset_4_rnc,Credit-g,0.30,17.75,330.46,90.82,0.17,0.30,5.51,1.51,1.67,2.96,55.08,15.14,0.776,gpt-4o,No,binary,classification,0
oml_dataset_5_rnc,Diabetes,0.26,16.61,266.58,253.50,0.17,0.28,4.44,4.23,1.67,2.77,44.43,42.25,0.737,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_5_rnc,Diabetes,0.31,3.04,236.56,104.85,0.17,0.17,3.94,1.75,1.67,1.67,39.43,17.47,0.737,llama3-70b-8192,No,binary,classification,0
oml_dataset_5_rnc,Diabetes,0.22,19.97,184.67,91.36,0.17,0.33,3.08,1.52,1.67,3.33,30.78,15.23,0.737,gpt-4o,No,binary,classification,0
oml_dataset_6_rnc,Tic-Tac-Toe,0.32,15.81,268.40,251.80,0.17,0.26,4.47,4.20,1.67,2.64,44.73,41.97,0.759,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_6_rnc,Tic-Tac-Toe,0.26,3.77,284.64,114.56,0.17,0.17,4.74,1.91,1.67,1.67,47.44,19.09,0.759,llama3-70b-8192,No,binary,classification,0
oml_dataset_6_rnc,Tic-Tac-Toe,0.28,16.13,226.34,81.17,0.17,0.27,3.77,1.35,1.67,2.69,37.72,13.53,0.759,gpt-4o,No,binary,classification,0
oml_dataset_33_rnc,Nomao,6.67,25.13,107458.48,591.36,0.17,0.42,1790.97,9.86,1.67,4.19,17909.75,98.56,1.348,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_33_rnc,Nomao,44.66,30.02,118203.53,649.75,0.74,0.50,1970.06,10.83,7.44,5.00,19700.59,108.29,1.348,llama3-70b-8192,No,binary,classification,0
