dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,18,No,0.0309948921203613,18.403923749923703,280.45218205451965,0.2430133819580078,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,1.0,-2.0,-2.0,0.9930555555555556,0.9948453608247424,-2.0,-2,-2,1462,27374,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,4,No,0.0021243095397949,19.737648010253903,55.25017762184143,0.5700302124023438,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9999727297518408,-2.0,-2.0,0.9895833333333334,0.9922879177377892,-2.0,-2,-2,1468,6337,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,S,,gemini-1.5-pro-latest,Auto,binary,True,1,1,No,0.0377852916717529,20.43144154548645,0.4996993541717529,0.4736814498901367,0.6381442394831467,-2.0,-2.0,0.6567164179104478,0.775390625,-2.0,-2.0,-2.0,0.6027270248159259,-2.0,-2.0,0.6875,0.7991071428571429,-2.0,-2.0,-2.0,967,967,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,SDVC,,gemini-1.5-pro-latest,Auto,binary,True,1,1,No,0.0377852916717529,21.01042938232422,0.4854593276977539,0.4676127433776855,0.6492140984788688,-2.0,-2.0,0.6880597014925374,0.6469826303665954,-2.0,-2.0,-2.0,0.5973275156803927,-2.0,-2.0,0.6944444444444444,0.6415860615079365,-2.0,-2.0,-2.0,975,975,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,SCV,,gemini-1.5-pro-latest,Auto,binary,True,1,1,No,0.0377852916717529,17.167742013931274,1.759681224822998,1.740565538406372,0.9908888044357392,-2.0,-2.0,0.9850746268656716,0.9885844748858448,-2.0,-2.0,-2.0,0.9941096263976,-2.0,-2.0,0.9756944444444444,0.9821882951653944,-2.0,-2.0,-2.0,1134,1134,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,CatDB,,llama3-70b-8192,Auto,binary,True,1,6,No,0.0498120784759521,2.6664786338806152,12.280638217926024,0.2388579845428466,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1324,8599,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,1,1,No,0.0023627281188964,3.64858984947205,0.232476711273193,0.214046239852905,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1974,1974,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,S,,llama3-70b-8192,Auto,binary,True,1,2,No,0.0576777458190918,2.173283100128174,2.2185726165771484,0.2473402023315429,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9057267521134442,-2.0,-2.0,0.8541666666666666,0.8313158922295978,-2.0,-2.0,-2.0,887,1976,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,SDVC,,llama3-70b-8192,Auto,binary,True,1,2,No,0.0576777458190918,2.422860145568848,2.224222183227539,0.2378261089324951,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.824379601854377,-2.0,-2.0,0.8541666666666666,0.8313158922295978,-2.0,-2.0,-2.0,897,1943,Gen-and-Run-Pipeline,0
Tic-Tac-Toe,SCV,,llama3-70b-8192,Auto,binary,True,1,3,No,0.0576777458190918,9.277949810028076,4.9145262241363525,0.2427353858947754,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1015,3557,Gen-and-Run-Pipeline,0
