dataset_name,llm_model,CatDB,CatDBChain,max_other
Skin,gpt-4o,99.99,99.99,99.99
Skin,gemini-1.5-pro-latest,96.91,99.66,99.99
Skin,llama3-70b-8192,100.0,99.8,99.99
Diabetes,gpt-4o,80.19,84.93,85.33
Diabetes,gemini-1.5-pro-latest,80.17,81.06,85.92
Diabetes,llama3-70b-8192,79.03,100.0,85.19
Tic-Tac-Toe,gpt-4o,99.98,100.0,100.0
Tic-Tac-Toe,gemini-1.5-pro-latest,100.0,99.99,99.8
Tic-Tac-Toe,llama3-70b-8192,100.0,100.0,99.13
Breast-w,gpt-4o,99.55,99.5,99.83
Breast-w,gemini-1.5-pro-latest,99.67,99.69,99.77
Breast-w,llama3-70b-8192,99.67,99.84,99.77
Credit-g,gpt-4o,78.93,78.66,79.55
Credit-g,gemini-1.5-pro-latest,79.76,80.25,80.54
Credit-g,llama3-70b-8192,79.79,79.62,80.54
Higgs,gpt-4o,79.06,74.54,84.59
Higgs,gemini-1.5-pro-latest,83.75,71.59,85.68
Higgs,llama3-70b-8192,70.85,79.05,84.63
Nomao,gpt-4o,99.43,98.86,95.62
Nomao,gemini-1.5-pro-latest,99.37,99.36,99.54
Nomao,llama3-70b-8192,100.0,97.07,99.54
Balance-Scale,gpt-4o,87.3,91.53,99.86
Balance-Scale,gemini-1.5-pro-latest,78.74,76.02,99.76
Balance-Scale,llama3-70b-8192,78.2,93.8,99.89
Walking-Activity,gpt-4o,95.76,95.74,96.65
Walking-Activity,gemini-1.5-pro-latest,94.02,100.0,96.11
Walking-Activity,llama3-70b-8192,63.61,100.0,96.39
Jungle-Chess,gpt-4o,94.86,83.24,97.61
Jungle-Chess,gemini-1.5-pro-latest,95.74,95.06,96.65
Jungle-Chess,llama3-70b-8192,95.69,96.01,96.2
CMC,gpt-4o,71.99,70.87,77.23
CMC,gemini-1.5-pro-latest,71.61,99.99,76.33
CMC,llama3-70b-8192,71.45,99.99,74.81
Traffic,gpt-4o,84.81,95.45,98.94
Traffic,gemini-1.5-pro-latest,98.3,84.73,95.29
Traffic,llama3-70b-8192,85.5,95.27,95.25
Gas-Drift,gpt-4o,99.89,99.95,86.6
Gas-Drift,gemini-1.5-pro-latest,99.94,99.95,99.97
Gas-Drift,llama3-70b-8192,100.0,99.91,99.89
Volkert,gpt-4o,92.53,93.06,71.04
Volkert,gemini-1.5-pro-latest,99.99,91.65,95.15
Volkert,llama3-70b-8192,99.16,91.22,93.21
Black-Friday,gpt-4o,52.72,52.77,54.51
Black-Friday,gemini-1.5-pro-latest,52.73,52.7,54.21
Black-Friday,llama3-70b-8192,52.71,52.73,54.57
Bike-Sharing,gpt-4o,90.62,99.99,94.72
Bike-Sharing,gemini-1.5-pro-latest,92.99,91.05,93.82
Bike-Sharing,llama3-70b-8192,90.98,91.03,94.32
NYC,gpt-4o,64.88,60.69,70.66
NYC,gemini-1.5-pro-latest,64.83,64.85,68.55
NYC,llama3-70b-8192,64.83,66.95,70.85
House-Sales,gpt-4o,87.31,87.32,89.97
House-Sales,gemini-1.5-pro-latest,87.3,87.22,89.64
House-Sales,llama3-70b-8192,100.0,87.36,89.83
