dataset_name,llm_model,CatDB,CatDBChain,max_other
Black-Friday,gpt-4o,52.72,52.77,54.59
Black-Friday,gemini-1.5-pro-latest,52.73,52.7,53.58
Black-Friday,llama3-70b-8192,52.71,52.73,53.13
Bike-Sharing,gpt-4o,90.62,99.99,94.72
Bike-Sharing,gemini-1.5-pro-latest,92.99,91.05,93.82
Bike-Sharing,llama3-70b-8192,90.98,91.03,94.32
NYC,gpt-4o,64.88,60.69,70.66
NYC,gemini-1.5-pro-latest,64.83,64.85,68.55
NYC,llama3-70b-8192,64.83,66.95,70.85
House-Sales,gpt-4o,87.31,87.32,89.97
House-Sales,gemini-1.5-pro-latest,87.3,87.22,89.64
House-Sales,llama3-70b-8192,100.0,87.36,89.83
