row_id,dataset_name,llm_model,config,sub_task,error_class,error_type,error_value,error_detail,error_exception,file_name,timestamp
1,Balance-Scale,gemini-1.5-pro-latest,CatDB,,AttributeError,Exception-<class 'AttributeError'>,Exception-<class 'AttributeError'>,module 'pandas' has no attribute 'np',"Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 16, in <module>
AttributeError: module 'pandas' has no attribute 'np'
",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_0.python,2024-05-29T06:40:27.655193
2,Balance-Scale,gemini-1.5-pro-latest,CatDB,,NameError,Exception-<class 'NameError'>,Exception-<class 'NameError'>,name 'np' is not defined,"Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 16, in <module>
NameError: name 'np' is not defined
",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_1.python,2024-05-29T06:40:51.301753
3,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_2.python,2024-05-29T06:41:13.493298
4,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_3.python,2024-05-29T06:41:36.143773
5,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_4.python,2024-05-29T06:41:58.587651
6,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_5.python,2024-05-29T06:42:21.315305
7,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_6.python,2024-05-29T06:42:43.429494
8,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_7.python,2024-05-29T06:43:06.770860
9,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_8.python,2024-05-29T06:43:29.917452
10,Balance-Scale,gemini-1.5-pro-latest,CatDB,,ValueError,Exception-<class 'ValueError'>,Exception-<class 'ValueError'>,"The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class
","Traceback (most recent call last):
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/runcode/RunCode.py"", line 36, in execute_code
    exec(compile(parse, filename=""<ast>"", mode=""exec""), loc)
  File ""<ast>"", line 22, in <module>
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 313, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 1024, in transform
    X_int, X_mask = self._transform(
                    ^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/preprocessing/_encoders.py"", line 197, in _transform
    self._check_feature_names(X, reset=False)
  File ""/home/ubuntu/CatDB/Experiments/setup/Baselines/CatDB/venv/lib/python3.11/site-packages/sklearn/base.py"", line 535, in _check_feature_names
    raise ValueError(message)
ValueError: The feature names should match those that were passed during fit.
Feature names seen at fit time, yet now missing:
- class

",gemini-1.5-pro-latest-CatDB-Random-0-SHOT-Yes-iteration-1_9.python,2024-05-29T06:43:52.244992
