dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,Yes,0.0027945041656494,28.259429931640625,21.58981680870056,0.2239980697631836,-2.0,1.0,1.0,1.0,-2.0,0.0951725657732231,-2,-2,-2.0,0.8790621143562319,0.8901293213112741,0.9044585987261148,-2.0,0.3805098180030685,-2,-2,1619,2964,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,Yes,0.0027945041656494,41.06245732307434,21.32863187789917,0.2101554870605468,-2.0,1.0,1.0,1.0,-2.0,0.0025047948654564,-2,-2,-2.0,1.0,1.0,1.0,-2.0,0.0186930141520063,-2,-2,1619,2975,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,2,Yes,0.0027945041656494,26.22637724876404,22.9449520111084,0.1812515258789062,-2.0,1.0,1.0,1.0,-2.0,0.0456566289381432,-2,-2,-2.0,1.0,1.0,1.0,-2.0,0.1391183254967592,-2,-2,1619,2974,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,1,Yes,0.0027945041656494,26.747374296188354,0.2055029869079589,0.2001099586486816,-2.0,1.0,1.0,1.0,-2.0,0.0434696304793325,-2,-2,-2.0,1.0,1.0,1.0,-2.0,0.1295354977573715,-2,-2,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,Yes,0.0027945041656494,29.36089587211609,0.2245922088623047,0.2194769382476806,-2.0,1.0,1.0,1.0,-2.0,0.0951866926001437,-2,-2,-2.0,0.8741915763974587,0.8909278327390399,0.89171974522293,-2.0,0.38103942011704,-2,-2,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,Yes,0.0027945041656494,26.619911193847656,0.1906614303588867,0.1858100891113281,-2.0,1.0,1.0,1.0,-2.0,0.0434696304793325,-2,-2,-2.0,1.0,1.0,1.0,-2.0,0.1295354977573715,-2,-2,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,3,Yes,0.0027945041656494,40.50123858451843,63.46546244621277,0.9920089244842528,-2.0,1.0,1.0,1.0,-2.0,0.0376873200302582,-2,-2,-2.0,1.0,1.0,1.0,-2.0,0.1003617446845062,-2,-2,1619,5162,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,Yes,0.0027945041656494,24.835091590881348,0.181455373764038,0.1762487888336181,-2.0,1.0,1.0,1.0,-2.0,0.0413954216928945,-2,-2,-2.0,1.0,1.0,1.0,-2.0,0.1180685792331922,-2,-2,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,1,Yes,0.0027945041656494,18.49494361877441,0.2126164436340332,0.2078297138214111,-2.0,1.0,1.0,1.0,-2.0,0.1284104597589622,-2,-2,-2.0,0.7278411947529596,0.7599471593395531,0.8535031847133758,-2.0,0.5768366263964894,-2,-2,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,2,Yes,0.0027945041656494,26.06771969795227,23.273515224456787,1.035595178604126,-2.0,1.0,1.0,1.0,-2.0,0.055817288856735,-2,-2,-2.0,0.9992229992229992,0.9991697799916978,0.9363057324840764,-2.0,0.2380129073981165,-2,-2,1619,2929,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,1,Yes,0.0045666694641113,21.15150284767151,0.8950650691986084,0.8835453987121582,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9956065759637188,-2.0,-2.0,0.96,0.9457364341085271,-2.0,-2,-2,2101,2101,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,1,Yes,0.0045666694641113,21.871625185012817,0.2311139106750488,0.2156088352203369,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9742063492063492,-2.0,-2.0,0.9714285714285714,0.9612403100775194,-2.0,-2,-2,2101,2101,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,1,Yes,0.0045666694641113,23.560905933380127,0.196303129196167,0.1859385967254638,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.994968820861678,-2.0,-2.0,0.9657142857142856,0.953846153846154,-2.0,-2,-2,2101,2101,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,2,Yes,0.0045666694641113,20.233046293258667,17.25493836402893,0.1849703788757324,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9742063492063492,-2.0,-2.0,0.9714285714285714,0.9612403100775194,-2.0,-2,-2,2101,3462,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,4,Yes,0.0045666694641113,17.864842653274536,45.58315300941467,0.1641418933868408,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9821428571428572,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2,-2,2101,5732,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,3,Yes,0.0045666694641113,26.923161268234253,36.85201930999756,0.2559137344360351,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9821428571428572,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2,-2,2101,4781,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,5,Yes,0.0045666694641113,24.325221061706543,77.02931308746338,0.1909248828887939,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9948979591836736,-2.0,-2.0,0.9714285714285714,0.9612403100775194,-2.0,-2,-2,2101,7553,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,1,Yes,0.0045666694641113,22.44535708427429,0.3915309906005859,0.3730719089508056,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9933390022675735,-2.0,-2.0,0.9714285714285714,0.9612403100775194,-2.0,-2,-2,2101,2101,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,1,Yes,0.0045666694641113,22.32622647285461,0.1958615779876709,0.1859066486358642,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9958191609977324,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2,-2,2101,2101,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,1,Yes,0.0045666694641113,21.99414706230164,0.1709516048431396,0.1614558696746826,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9821428571428572,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2,-2,2101,2101,Gen-and-Run-Pipeline
