dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,1,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.8551000913615111,0.8551000913615111,0.876142813246126,0.8570031702518464,-2,-2,-2,-2,859,859,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,2,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.8672987563993988,0.8672987563993988,0.8880183676423468,0.8511363595724106,-2,-2,-2,-2,859,1778,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,3,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.832391793164355,0.832391793164355,0.856676039117171,0.8512949287891388,-2,-2,-2,-2,859,2757,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,4,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,0.9998730957508088,-2,-2,-2,-2,0.8321867313021467,0.8321867313021467,0.8579952413058761,0.8523520052433013,-2,-2,-2,-2,859,3811,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,5,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.90761734551479,0.90761734551479,0.9232295627940712,0.879862579703331,-2,-2,-2,-2,859,4930,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,6,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,0.9997458696365356,-2,-2,-2,-2,0.8765935938069715,0.8765935938069715,0.8971586590442341,0.8603329807519913,-2,-2,-2,-2,859,6107,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,7,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.8623596852657279,0.8623596852657279,0.8851429519166942,0.8603594094514847,-2,-2,-2,-2,859,7329,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,8,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.8437010113306671,0.8437010113306671,0.8656240002073566,0.8500528514385224,-2,-2,-2,-2,859,8609,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,9,0,No,0,0,96.7151186466217,96.69998335838318,0.921505394184875,0.921505394184875,0.9417020004649672,0.8208722412586212,-2,-2,-2,-2,0.688829401599693,0.688829401599693,0.7328811803789439,0.7160412251949311,-2,-2,-2,-2,859,9941,Run-CAAFE,0,Balance-Scale,4
oml_dataset_1_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,10,0,No,0,0,96.7151186466217,96.69998335838318,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.8434391924678752,0.8434391924678752,0.866266341052355,0.8533826619386673,-2,-2,-2,-2,859,11330,Run-CAAFE,0,Balance-Scale,4
