dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,1,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8731819414793108,0.8731819414793108,0.8760344615720689,0.6983679503202438,-2,-2,-2,-2,0.7310829729223565,0.7310829729223565,0.7369567061367698,0.5616953283548355,-2,-2,-2,-2,1935,1935,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,2,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8621482483106713,0.8621482483106713,0.8654128993871142,0.6845796853303909,-2,-2,-2,-2,0.7334686018820626,0.7334686018820626,0.7389359558375024,0.5571457788348197,-2,-2,-2,-2,1935,4007,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,3,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8616529655218702,0.8616529655218702,0.865393901938398,0.682616901397705,-2,-2,-2,-2,0.7321615294996252,0.7321615294996252,0.7378971109551503,0.5612285032868385,-2,-2,-2,-2,1935,6157,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,4,0,Yes,0,0,971.4723281860352,971.4555299282074,0.871979743983851,0.871979743983851,0.8737347211613405,0.6896620899438858,-2,-2,-2,-2,0.7334830788463854,0.7334830788463854,0.738385396845738,0.5589353024959565,-2,-2,-2,-2,1935,8380,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,5,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8468583016897469,0.8468583016897469,0.8489218859386405,0.6590157717466354,-2,-2,-2,-2,0.7360800134423874,0.7360800134423874,0.7411807858690147,0.5657371029257774,-2,-2,-2,-2,1935,10710,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,6,0,Yes,0,0,971.4723281860352,971.4555299282074,0.839718700943304,0.839718700943304,0.843611790501328,0.6578088372945785,-2,-2,-2,-2,0.7338732545373009,0.7338732545373009,0.7395176396933331,0.5644021332263947,-2,-2,-2,-2,1935,13121,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,7,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8370835861542567,0.8370835861542567,0.8394248251193221,0.6498587250709533,-2,-2,-2,-2,0.7357098281118946,0.7357098281118946,0.7409514707795986,0.5648484840989113,-2,-2,-2,-2,1935,15639,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,8,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8532445505616778,0.8532445505616778,0.8544128933419207,0.6689293384552002,-2,-2,-2,-2,0.7379713523717163,0.7379713523717163,0.7422498151775364,0.5671130269765854,-2,-2,-2,-2,1935,18247,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,9,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8519346345749895,0.8519346345749895,0.8530554472545837,0.6663120716810227,-2,-2,-2,-2,0.7375774189173014,0.7375774189173014,0.7418829304498706,0.5634848549962044,-2,-2,-2,-2,1935,20930,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,10,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8432729990886857,0.8432729990886857,0.8467237912560497,0.6578585833311081,-2,-2,-2,-2,0.7352647923534021,0.7352647923534021,0.7404605007905631,0.5594103172421455,-2,-2,-2,-2,1935,23691,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,1,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9978756858782416,0.9978756858782416,0.9980261762258263,0.9620577931404114,-2,-2,-2,-2,0.6693255292984622,0.6693255292984622,0.6745655782622666,0.5064373433589935,-2,-2,-2,-2,1935,1935,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,2,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9979559490946392,0.9979559490946392,0.9981095294899628,0.962862977385521,-2,-2,-2,-2,0.675316841233627,0.675316841233627,0.6814242908279146,0.5127805128693581,-2,-2,-2,-2,1935,4011,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,3,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9979415843489616,0.9979415843489616,0.9980932850498594,0.962862977385521,-2,-2,-2,-2,0.6762276250520427,0.6762276250520427,0.681899077590782,0.5145782127976417,-2,-2,-2,-2,1935,6184,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,4,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9979437005465686,0.9979437005465686,0.9980938230446011,0.962862977385521,-2,-2,-2,-2,0.6778286285661865,0.6778286285661865,0.6833138544489755,0.5123095825314522,-2,-2,-2,-2,1935,8434,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,5,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9979566395254093,0.9979566395254093,0.9981096623798252,0.962862977385521,-2,-2,-2,-2,0.6765464743962908,0.6765464743962908,0.6822179832715496,0.5046437367796898,-2,-2,-2,-2,1935,13283,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,6,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9979399270027672,0.9979399270027672,0.9980921292623354,0.962862977385521,-2,-2,-2,-2,0.6771429094025966,0.6771429094025966,0.6828361760862172,0.5028091683983803,-2,-2,-2,-2,1935,15921,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,7,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9979379973698512,0.9979379973698512,0.998093855453918,0.962862977385521,-2,-2,-2,-2,0.6766060998143281,0.6766060998143281,0.6823912385260682,0.5109746113419533,-2,-2,-2,-2,1935,18663,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,8,0,Yes,0,0,163.8402168750763,163.82496333122253,0.9979153688698976,0.9979153688698976,0.9980712747264404,0.962862977385521,-2,-2,-2,-2,0.6761218821606819,0.6761218821606819,0.6816957621474937,0.50824733376503,-2,-2,-2,-2,1935,21512,Run-CAAFE,2
CMC,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,9,0,Yes,0,0,163.8402168750763,163.82496333122253,0.997934970364771,0.997934970364771,0.9980884183883838,0.962862977385521,-2,-2,-2,-2,0.6748357352072516,0.6748357352072516,0.6805800019266958,0.5050655215978622,-2,-2,-2,-2,1935,24452,Run-CAAFE,2
