dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,1,0,No,0,0,136.38715434074402,136.35438060760498,0.9999976033593418,0.9999976033593418,0.9999981050314528,1.0,-2,-2,-2,-2,0.8381437191995076,0.8381437191995076,0.8403498640879663,0.5621229335665703,-2,-2,-2,-2,1856,1856,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,2,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9170357395654632,0.9170357395654632,0.9188759115147408,0.6902526468038559,-2,-2,-2,-2,1856,3881,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,3,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9150230708770868,0.9150230708770868,0.916839624905094,0.6796380192041397,-2,-2,-2,-2,1856,5958,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,4,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9136415266799596,0.9136415266799596,0.9147795773381782,0.6717571705579758,-2,-2,-2,-2,1856,8105,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,5,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9142337985815304,0.9142337985815304,0.915720755734242,0.6845399796962738,-2,-2,-2,-2,1856,10322,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,6,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9104346848474366,0.9104346848474366,0.9117577052981078,0.6844268590211868,-2,-2,-2,-2,1856,12614,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,7,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9128881534693086,0.9128881534693086,0.914438954009312,0.678619921207428,-2,-2,-2,-2,1856,14976,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,8,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9163893539417444,0.9163893539417444,0.9182536383781236,0.6688725620508194,-2,-2,-2,-2,1856,17402,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,9,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.9172669035768676,0.9172669035768676,0.9184197680693832,0.6940988004207611,-2,-2,-2,-2,1856,19897,Run-CAAFE,0,Eucalyptus,4
oml_dataset_7_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,10,0,No,0,0,136.38715434074402,136.35438060760498,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.914634591794603,0.914634591794603,0.9165176444651054,0.6767722547054291,-2,-2,-2,-2,1856,22457,Run-CAAFE,0,Eucalyptus,4
