dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,1,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8294127620771917,0.8294127620771917,0.8294127620771917,0.9400682508945464,-2,-2,-2,-2,2012,2012,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,2,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8562691914942494,0.8562691914942494,0.8562691914942494,0.9361804753541948,-2,-2,-2,-2,2012,4226,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,3,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8582579840932132,0.8582579840932132,0.8582579840932132,0.9355228006839752,-2,-2,-2,-2,2012,6500,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,4,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8423803856899185,0.8423803856899185,0.8423803856899185,0.9361888021230698,-2,-2,-2,-2,2012,8832,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,5,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.844818827128938,0.844818827128938,0.844818827128938,0.935539448261261,-2,-2,-2,-2,2012,11234,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,6,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8431803874787483,0.8431803874787483,0.8431803874787483,0.9355311274528504,-2,-2,-2,-2,2012,13706,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,7,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8584774588295769,0.8584774588295769,0.8584774588295769,0.9361804753541948,-2,-2,-2,-2,2012,16248,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,8,0,No,0,0,149.0435471534729,149.02073335647583,0.999893529796149,0.999893529796149,0.999893529796149,0.9964921414852144,-2,-2,-2,-2,0.8412535359613125,0.8412535359613125,0.8412535359613125,0.9355228006839752,-2,-2,-2,-2,2012,18848,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,9,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8470731177787493,0.8470731177787493,0.8470731177787493,0.9355394512414932,-2,-2,-2,-2,2012,21505,Run-CAAFE,0,PC1,4
oml_dataset_8_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,10,0,No,0,0,149.0435471534729,149.02073335647583,0.9998951323602516,0.9998951323602516,0.9998951323602516,0.9964921414852144,-2,-2,-2,-2,0.8424658160091028,0.8424658160091028,0.8424658160091028,0.935539448261261,-2,-2,-2,-2,2012,24232,Run-CAAFE,0,PC1,4
