dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,6,No,0.063671588897705,19.983654499053955,560.8736326694489,466.79021525383,0.6144572349764325,-2.0,-2.0,0.6422154419866091,0.47294661110851,-2.0,-2,-2,0.6164092393138325,-2.0,-2.0,0.6442727806445633,0.4743388369374635,-2.0,-2,-2,1573,10498,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,5,No,0.063671588897705,19.136809825897217,107.65248799324036,44.70854330062866,0.7053366753559904,-2.0,-2.0,0.6550767014153742,0.50600462769791,-2.0,-2,-2,0.6956507656829098,-2.0,-2.0,0.6480239779995675,0.4932243053022146,-2.0,-2,-2,1573,8144,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,3,No,0.063671588897705,26.466355800628666,83.03511476516724,49.69844579696655,0.7075506766348558,-2.0,-2.0,0.6557388337994745,0.5111363516695125,-2.0,-2,-2,0.697469260708767,-2.0,-2.0,0.6491857985971634,0.4995106812551246,-2.0,-2,-2,1573,4848,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,3,No,0.063671588897705,17.214988946914673,264.0518090724945,233.93284726142883,0.7110322448765102,-2.0,-2.0,0.6543112763793542,0.5093213935285957,-2.0,-2,-2,0.7032366193549486,-2.0,-2.0,0.6502425609492322,0.5020149582050154,-2.0,-2,-2,1573,4702,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,8,No,0.063671588897705,15.42667269706726,139.45019674301147,41.32971858978272,0.6301958407820685,-2.0,-2.0,0.6548197940503433,0.5098699921401091,-2.0,-2,-2,0.6232349825586923,-2.0,-2.0,0.6488088248926243,0.4988182170952834,-2.0,-2,-2,1573,12300,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,15,No,0.063671588897705,23.202163219451904,231.55120062828064,34.96672296524048,0.6289164995350813,-2.0,-2.0,0.6545416984490211,0.5030442038206854,-2.0,-2,-2,0.6211900514187124,-2.0,-2.0,0.6478015017149213,0.4907653129607291,-2.0,-2,-2,1573,23660,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,1,No,0.063671588897705,18.319074869155884,45.28021836280823,45.2670373916626,0.705866076049238,-2.0,-2.0,0.6552541528943131,0.508096668745158,-2.0,-2,-2,0.6962111399422053,-2.0,-2.0,0.6484998300528381,0.4959500895056805,-2.0,-2,-2,1573,1573,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,5,No,0.063671588897705,23.05360221862793,97.73024106025696,38.21388268470764,0.6327341114107536,-2.0,-2.0,0.6566711161962878,0.5166666666666667,-2.0,-2,-2,0.6247137367940205,-2.0,-2.0,0.649531872817724,0.5045386638243594,-2.0,-2,-2,1573,7942,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,20,No,0.063671588897705,17.961849689483643,529.4502227306366,248.9519460201264,0.7109175588302215,-2.0,-2.0,0.6545258072718027,0.5108084187155908,-2.0,-2,-2,0.7029642126532439,-2.0,-2.0,0.6503105398139851,0.5035227641634422,-2.0,-2,-2,1573,31738,Gen-and-Run-Pipeline,Airlines-rnc,1
oml_dataset_9_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,2,No,0.063671588897705,15.31416082382202,223.0017533302307,210.91810274124143,0.7109683431355251,-2.0,-2.0,0.6536994660564455,0.5091375970447344,-2.0,-2,-2,0.7033113734733718,-2.0,-2.0,0.6497358094119828,0.5020995484653091,-2.0,-2,-2,1573,3038,Gen-and-Run-Pipeline,Airlines-rnc,1
