dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,4,Yes,0.0045900344848632,20.18632364273072,73.7573447227478,0.3427548408508301,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9943310657596371,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2.0,-2.0,2101,7585,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,3,Yes,0.0045900344848632,19.925074577331543,32.3026225566864,0.1861634254455566,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9821428571428572,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2.0,-2.0,2101,5490,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,Yes,0.0045900344848632,23.279798984527588,27.72330093383789,7.496401309967041,1.0,-2.0,-2.0,0.9993638676844784,0.999062792877226,-2.0,-2.0,-2.0,0.996811224489796,-2.0,-2.0,0.9714285714285714,0.9612403100775194,-2.0,-2.0,-2.0,2101,3959,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,1,Yes,0.0045900344848632,19.27913928031921,0.510157585144043,0.5001044273376465,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9938350340136054,-2.0,-2.0,0.9657142857142856,0.953846153846154,-2.0,-2.0,-2.0,2101,2101,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,2,Yes,0.0045900344848632,23.31360411643982,28.37084031105041,0.1950013637542724,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9942602040816326,-2.0,-2.0,0.9714285714285714,0.9618320610687024,-2.0,-2.0,-2.0,2101,3852,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,13,Yes,0.0045900344848632,34.101799964904785,308.24073004722595,1.1040928363800049,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9882369614512472,-2.0,-2.0,0.9428571428571428,0.9206349206349206,-2.0,-2.0,-2.0,2101,29215,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,1,Yes,0.0045900344848632,18.57082438468933,0.201608657836914,0.1918311119079589,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.995890022675737,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2.0,-2.0,2101,2101,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,9,Yes,0.0045900344848632,25.37499475479126,158.9012007713318,0.698462724685669,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9929846938775512,-2.0,-2.0,0.9771428571428572,0.9692307692307692,-2.0,-2.0,-2.0,2101,18043,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,5,Yes,0.0045900344848632,17.287750482559204,52.61963224411011,0.1907734870910644,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994189342403628,-2.0,-2.0,0.9657142857142856,0.9545454545454546,-2.0,-2.0,-2.0,2101,8195,Gen-and-Run-Pipeline,1
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,14,Yes,0.0045900344848632,20.347464084625244,262.6458339691162,0.1922740936279297,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9961026077097506,-2.0,-2.0,0.9714285714285714,0.9612403100775194,-2.0,-2.0,-2.0,2101,27145,Gen-and-Run-Pipeline,1
