dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.060060977935791,21.733764171600345,1.0306448936462402,1.0153160095214844,-2.0,0.9982299248017142,0.9983136245335892,0.9641125121241512,-2.0,0.2657723659594116,-2,-2,-2.0,0.7089165154680837,0.7161081270042526,0.5429864253393665,-2.0,1.0359274696149927,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.060060977935791,23.17152214050293,0.4493887424468994,0.4330217838287353,-2.0,0.9984588443825958,0.9985174964924434,0.9641125121241512,-2.0,0.2706786650223194,-2,-2,-2.0,0.6904511064403307,0.6970390019900532,0.5113122171945701,-2.0,0.988434897263232,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,No,0.060060977935791,21.89951539039612,0.4389991760253906,0.4236695766448974,-2.0,0.9982551097667032,0.9983346697991258,0.9641125121241512,-2.0,0.2725018086498323,-2,-2,-2.0,0.686957539642035,0.6930189925738158,0.5158371040723982,-2.0,1.0663569325655329,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,1,No,0.060060977935791,22.020498991012573,0.4576566219329834,0.4424164295196533,-2.0,0.9982680493307724,0.9983616077697196,0.9641125121241512,-2.0,0.2718360137201293,-2,-2,-2.0,0.6851536589594159,0.6917992403132166,0.5361990950226244,-2.0,0.9973979832365512,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,No,0.060060977935791,23.738287448883057,0.4352450370788574,0.4208106994628906,-2.0,0.9979888823192926,0.9980750913582908,0.9641125121241512,-2.0,0.271473869705886,-2,-2,-2.0,0.6827298525139701,0.6889896736351454,0.5226244343891403,-2.0,1.0681979349519106,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,5,No,0.060060977935791,20.86980390548706,70.33990478515625,0.4281394481658935,-2.0,0.9983280286565068,0.9983981992288884,0.9641125121241512,-2.0,0.2747300490256162,-2,-2,-2.0,0.6802628795385323,0.6876887450464991,0.502262443438914,-2.0,0.994693547741858,-2,-2,1650,8672,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,1,No,0.060060977935791,21.639199256896973,0.4733426570892334,0.4576809406280517,-2.0,0.9983280286565068,0.9983981992288884,0.9641125121241512,-2.0,0.2747300490256162,-2,-2,-2.0,0.6802628795385323,0.6876887450464991,0.502262443438914,-2.0,0.994693547741858,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,No,0.060060977935791,23.75271725654602,0.4224472045898437,0.4076192378997803,-2.0,0.9983280286565068,0.9983981992288884,0.9641125121241512,-2.0,0.2747300490256162,-2,-2,-2.0,0.6802628795385323,0.6876887450464991,0.502262443438914,-2.0,0.994693547741858,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,1,No,0.060060977935791,20.32251024246216,0.3928875923156738,0.377699613571167,-2.0,0.9983673146611612,0.998432935475301,0.9641125121241512,-2.0,0.2729096078567852,-2,-2,-2.0,0.6785116550788258,0.6852862517590471,0.5135746606334841,-2.0,1.0022222485838108,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
oml_dataset_3_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,1,No,0.060060977935791,23.54742932319641,0.493070125579834,0.4772789478302002,-2.0,0.998128699481256,0.998222055937428,0.9641125121241512,-2.0,0.2730715238567864,-2,-2,-2.0,0.6761610465696265,0.6829724115604251,0.5158371040723982,-2.0,0.996112934877904,-2,-2,1650,1650,Gen-and-Run-Pipeline,CMC,1
