dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,18,Yes,0.0811769962310791,25.3058390617371,308.274419546127,0.325039386749268,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.788054051211946,-2.0,-2.0,0.736666666666667,0.826373626373626,-2.0,-2.0,-2.0,2276,37594,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,5,Yes,0.0811769962310791,24.8716604709625,68.6930572986603,0.30484676361084,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.795835743204164,-2.0,-2.0,0.756666666666667,0.722530531638427,-2.0,-2.0,-2.0,2276,10446,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,Yes,0.0811769962310791,26.629905462265,15.5855588912964,0.282321929931641,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.780561543719439,-2.0,-2.0,0.753333333333333,0.841880341880342,-2.0,-2.0,-2.0,2276,4267,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,3,Yes,0.0811769962310791,24.6568810939789,32.1099374294281,0.281354904174805,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.795125926704874,-2.0,-2.0,0.746666666666667,0.835497835497836,-2.0,-2.0,-2.0,2276,6285,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,1,Yes,0.0811769962310791,29.5693521499634,0.336476325988769,0.303141593933105,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.779431095220569,-2.0,-2.0,0.763333333333333,0.846652267818575,-2.0,-2.0,-2.0,2276,2276,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,9,Yes,0.0811769962310791,21.3668222427368,132.656787157059,0.273822546005249,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.785398811714601,-2.0,-2.0,0.733333333333333,0.826839826839827,-2.0,-2.0,-2.0,2276,18311,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,4,Yes,0.0811769962310791,20.1318778991699,48.6653392314911,0.327520132064819,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.784557547715442,-2.0,-2.0,0.76,0.727365967365967,-2.0,-2.0,-2.0,2276,8140,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,2,Yes,0.0811769962310791,25.4680943489075,16.1516165733337,0.280854940414429,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.801961196698039,-2.0,-2.0,0.733333333333333,0.697073297073297,-2.0,-2.0,-2.0,2276,4298,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,20,Yes,0.0811769962310791,25.0726547241211,343.587348222733,0.293317556381226,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.781455386718545,-2.0,-2.0,0.75,0.710401025453214,-2.0,-2.0,-2.0,2276,41923,Gen-and-Run-Pipeline,Credit-g,1
Credit-g,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,19,Yes,0.0811769962310791,30.6031184196472,371.434936523437,0.326885223388672,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.786976181713024,-2.0,-2.0,0.763333333333333,0.846652267818575,-2.0,-2.0,-2.0,2276,42166,Gen-and-Run-Pipeline,Credit-g,1
