dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,1,3,No,0.1443517208099365,6.987270832061768,10.614912509918211,3.242562055587769,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,1.0,-2.0,-2.0,0.9997927461139896,0.999641705481906,-2.0,-2,-2,6700,20746,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,2,11,No,0.1443517208099365,5.159697771072388,57.57938814163208,2.822232246398926,0.9979176237973726,-2.0,-2.0,0.981678756476684,0.9678311499272196,-2.0,-2,-2,0.9935286393663378,-2.0,-2.0,0.9656673114119922,0.9385919391108803,-2.0,-2,-2,6700,74389,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,3,2,No,0.1443517208099365,5.567492485046387,19.347498178482056,15.965980291366575,0.9978,-2.0,-2.0,0.9823,0.969,-2.0,-2,-2,0.9934,-2.0,-2.0,0.9661,0.9392,-2.0,-2,-2,6700,8060,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,4,5,No,0.1443517208099365,9.284255743026732,34.275267601013184,13.830145120620728,0.9984,-2.0,-2.0,0.9854,0.9744,-2.0,-2,-2,0.9931,-2.0,-2.0,0.9612,0.9322,-2.0,-2,-2,6700,28320,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,5,2,No,0.1443517208099365,8.346730470657349,6.313575744628906,2.638110637664795,0.998,-2.0,-2.0,0.985,0.974,-2.0,-2,-2,0.993,-2.0,-2.0,0.961,0.932,-2.0,-2,-2,6700,7982,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,6,3,No,0.1443517208099365,6.588526964187622,11.217986583709717,3.1762895584106445,0.999,-2.0,-2.0,0.991,0.988,-2.0,-2,-2,0.993,-2.0,-2.0,0.964,0.956,-2.0,-2,-2,6700,20568,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,7,7,No,0.1443517208099365,4.869776248931885,164.93818950653076,132.2475004196167,0.9947,-2.0,-2.0,0.9659,0.9386,-2.0,-2,-2,0.9891,-2.0,-2.0,0.9532,0.914,-2.0,-2,-2,6700,46250,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,8,6,No,0.1443517208099365,4.3305747509002686,150.17633605003357,130.75780653953552,0.995,-2.0,-2.0,0.965,0.938,-2.0,-2,-2,0.989,-2.0,-2.0,0.952,0.913,-2.0,-2,-2,6700,39070,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,9,6,No,0.1443517208099365,4.347530126571655,139.68659019470215,119.66679549217224,0.9951,-2.0,-2.0,0.9666,0.9397,-2.0,-2,-2,0.9886,-2.0,-2.0,0.9434,0.8979,-2.0,-2,-2,6700,38990,Gen-and-Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,llama3-70b-8192,Auto,binary,True,10,1,No,0.1443517208099365,4.887011528015137,22.485413551330566,22.271908283233643,0.9742009195236668,-2.0,-2.0,0.9810984455958548,0.9667880553532412,-2.0,-2,-2,0.9543302631734544,-2.0,-2.0,0.9656673114119922,0.938464205234876,-2.0,-2,-2,6700,6700,Gen-and-Run-Pipeline,0,Nomao,1
