dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.4352998733520508,20.636505365371704,40.442211866378784,20.25554728507996,-2,1.0,1.0,0.9997305044466768,-2,0.1400056619497174,-2,-2,-2,0.9999990729207904,0.9999994676411356,0.9993140113188131,-2,0.1707593050017209,-2,-2,9130,18384,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.5261468887329102,30.96213173866272,39.00927424430847,38.7960102558136,-2.0,0.9411121848065972,0.9502590185430886,0.6857681848249504,-2.0,0.9987291855282536,-2,-2,-2.0,0.9195084009835256,0.9147549139212614,0.4154831906284745,-2.0,1.5682729032568623,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,No,0.4352998733520508,18.490763425827023,24.727096557617188,24.50715970993042,-2,0.9416092332924954,0.9507501255734048,0.6859641815910037,-2,0.994519750609072,-2,-2,-2,0.8999023538453078,0.9128297755541775,0.6109300863202424,-2,1.1436093427667624,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,1,No,0.5261468887329102,25.622890949249268,5.348141193389893,5.132419109344482,-2.0,0.941403581071249,0.950545295130108,0.685719185633437,-2.0,0.995973071982862,-2,-2,-2.0,0.8999602754813014,0.912787453144304,0.614817355513634,-2.0,1.1443236971414703,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,No,0.4352998733520508,21.349955081939697,24.61742568016052,24.362528562545776,-2,0.9414668123677654,0.9506123843409856,0.685204694122547,-2,0.995091102202165,-2,-2,-2,0.8994916987357288,0.912584095730092,0.6117875721717259,-2,1.1443799476179437,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,No,0.4352998733520508,19.778197526931763,28.491942644119263,28.24629163742065,-2,0.9414796881207588,0.9506649352978294,0.6850331969522503,-2,0.996981121025478,-2,-2,-2,0.899561447927199,0.912552713470669,0.6119019036185903,-2,1.146258772330936,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,1,No,0.5261468887329102,23.405558824539185,4.635502576828003,4.418126106262207,-2.0,0.941008004020308,0.9501297839783924,0.6868461670382439,-2.0,0.996028287385978,-2,-2,-2.0,0.8996878689372868,0.912489888541262,0.6132167152575316,-2.0,1.1439767596260966,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,No,0.4352998733520508,25.209822416305546,24.86942768096924,24.648189306259155,-2,0.9413158527725904,0.9504064942694171,0.6854006908886003,-2,0.9949126795536366,-2,-2,-2,0.8995654115911241,0.912478064077012,0.6135025438746927,-2,1.1442152042097598,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,1,No,0.5261468887329102,24.23807644844055,27.800669193267822,27.578953981399536,-2.0,0.9415358273721884,0.950636304897814,0.6863316755273537,-2.0,0.9949372858028124,-2,-2,-2.0,0.8996199147131313,0.9124775794610924,0.6133882124278283,-2.0,1.1451223657882137,-2,-2,9130,9130,Gen-and-Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,4,No,0.4352998733520508,24.66565728187561,61.20739936828613,4.118097543716431,-2,0.9410271086747686,0.950135263380128,0.686013180782517,-2,0.9919539777982268,-2,-2,-2,0.8997263713075215,0.9124388419010782,0.613559709598125,-2,1.1418267436879137,-2,-2,9130,37267,Gen-and-Run-Pipeline,0,Volkert,1
