dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.0009369850158691,15.78908634185791,0.516573429107666,0.5087943077087402,-2.0,1.0,1.0,1.0,-2.0,0.1214851405839331,-2,-2,-2.0,0.7224356995884774,0.7517444246217004,0.824468085106383,-2.0,1.353775838213553,-2,-2,1170,1170,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.0009369850158691,20.20296192169189,0.7572627067565918,0.7490723133087158,-2.0,1.0,1.0,1.0,-2.0,0.1254220974147741,-2,-2,-2.0,0.7079115226337448,0.7358928525113749,0.824468085106383,-2.0,1.5283752104402166,-2,-2,1319,1319,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,No,0.0009369850158691,18.62445330619812,0.9953081607818604,0.984600305557251,-2.0,1.0,1.0,1.0,-2.0,0.121408349692607,-2,-2,-2.0,0.6883629115226338,0.7173481198034769,0.824468085106383,-2.0,2.050182034726151,-2,-2,1293,1293,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,4,1,No,0.0009369850158691,15.854569911956789,0.7968940734863281,0.7891511917114258,-2.0,1.0,1.0,1.0,-2.0,0.1222874927320195,-2,-2,-2.0,0.7066666666666667,0.7346114140100485,0.8138297872340425,-2.0,1.5341125268913594,-2,-2,1191,1191,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,No,0.0009369850158691,16.41532802581787,0.4369566440582275,0.4292294979095459,-2.0,1.0,1.0,1.0,-2.0,0.1228486078033853,-2,-2,-2.0,0.7293402777777777,0.7580622295214382,0.824468085106383,-2.0,0.8501646919740438,-2,-2,1250,1250,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,No,0.0009369850158691,16.602957010269165,0.4415676593780517,0.4338595867156982,-2.0,1.0,1.0,1.0,-2.0,0.1230570725584774,-2,-2,-2.0,0.7312937242798353,0.7602758927645131,0.8031914893617021,-2.0,0.8528399106951882,-2,-2,1213,1213,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,7,1,No,0.0009369850158691,16.80208158493042,1.5535752773284912,1.545665264129639,-2.0,1.0,1.0,1.0,-2.0,0.1249614612206539,-2,-2,-2.0,0.7001324588477367,0.7277896343722675,0.8297872340425532,-2.0,1.7248064210738276,-2,-2,1181,1181,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,No,0.0009369850158691,15.435290098190308,0.6555407047271729,0.6479687690734863,-2.0,1.0,1.0,1.0,-2.0,0.122150188197999,-2,-2,-2.0,0.7205838477366256,0.7500038672876559,0.8191489361702128,-2.0,1.1838943853370103,-2,-2,1207,1207,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,9,2,No,0.0009369850158691,17.75179934501648,17.552588939666748,0.4431321620941162,-2.0,1.0,1.0,1.0,-2.0,0.1260109461161424,-2,-2,-2.0,0.7269405864197531,0.7556085397121812,0.8191489361702128,-2.0,1.1864840703327892,-2,-2,1274,2855,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,10,1,No,0.0009369850158691,14.498905658721924,2.001514196395874,1.9937169551849363,-2.0,1.0,1.0,1.0,-2.0,0.1172669285510446,-2,-2,-2.0,0.7124125514403291,0.742932867591481,0.8031914893617021,-2.0,1.5279490612806998,-2,-2,1260,1260,Gen-and-Run-Pipeline,Balance-Scale,2
