dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,1,1,No,0.0008435249328613,3.34774518013,12.9141509532928,12.9058494567871,-2.0,1.0,1.0,1.0,-2.0,0.0824112668183008,-2.0,-2.0,-2.0,0.930555555555556,0.938059625559626,0.943181818181818,-2.0,0.25919131913762,-2.0,-2.0,1713,1713,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,2,1,No,0.0008435249328613,2.50144910812378,0.262428998947143,0.254921913146973,-2.0,1.0,1.0,1.0,-2.0,0.143806448286082,-2.0,-2.0,-2.0,0.85522762345679,0.879995612026862,0.806818181818182,-2.0,0.507989569197312,-2.0,-2.0,1611,1611,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,3,1,No,0.0008435249328613,2.3519070148468,0.649299621582031,0.640909910202026,-2.0,1.0,1.0,1.0,-2.0,0.106435856091964,-2.0,-2.0,-2.0,0.827305169753087,0.857750178062678,0.829545454545455,-2.0,0.428248543982337,-2.0,-2.0,1224,1224,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,4,1,No,0.0008435249328613,3.03309798240662,0.262047052383423,0.254223823547363,-2.0,1.0,1.0,1.0,-2.0,0.0885659975514287,-2.0,-2.0,-2.0,0.8387204218107,0.854142420857232,0.851063829787234,-2.0,0.971066195058401,-2.0,-2.0,1394,1394,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,5,4,No,0.0008435249328613,3.04099917411804,9.5697615146637,0.343308210372925,-2.0,1.0,1.0,1.0,-2.0,0.159852847589992,-2.0,-2.0,-2.0,0.819519032921811,0.839282333303692,0.765957446808511,-2.0,0.68495073571882,-2.0,-2.0,1408,6247,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,6,1,No,0.0008435249328613,3.00675439834595,0.225931406021118,0.21823787689209,-2.0,1.0,1.0,1.0,-2.0,0.0909333900394989,-2.0,-2.0,-2.0,0.781646090534979,0.80490853748907,0.813829787234043,-2.0,1.25992125840991,-2.0,-2.0,1766,1766,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,7,1,No,0.0008435249328613,2.85442185401917,0.313849925994873,0.30673336982727,-2.0,1.0,1.0,1.0,-2.0,0.134396118545843,-2.0,-2.0,-2.0,0.711033950617284,0.748692829161579,0.875,-2.0,0.53960618359913,-2.0,-2.0,1700,1700,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,8,1,No,0.0008435249328613,3.08283472061157,0.272912979125976,0.264506816864014,-2.0,1.0,1.0,1.0,-2.0,0.121413051550345,-2.0,-2.0,-2.0,0.712071759259259,0.746250537251938,0.771276595744681,-2.0,0.882242256071211,-2.0,-2.0,1419,1419,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,9,2,No,0.0008435249328613,2.64922142028809,3.12268137931824,0.552024602890015,-2.0,1.0,1.0,1.0,-2.0,0.128934137829772,-2.0,-2.0,-2.0,0.712807355967078,0.743894340143465,0.813829787234043,-2.0,1.36142672135665,-2.0,-2.0,1655,3172,Gen-and-Run-Pipeline,Balance-Scale,2
oml_dataset_1_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,multiclass,True,10,4,No,0.0008435249328613,2.589430809021,8.22394633293152,0.706734418869019,-2.0,1.0,1.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,0.704723508230453,0.735291130341025,0.803191489361702,-2.0,0.0,-2.0,-2.0,1620,5960,Gen-and-Run-Pipeline,Balance-Scale,2
