dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,1,1,No,0.0018353462219238,2.59487533569336,0.313196659088135,0.298246622085571,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.998449268941072,-2.0,-2.0,0.969387755102041,0.961038961038961,-2.0,-2.0,-2.0,1764,1764,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,2,1,No,0.0018353462219238,2.8262038230896,0.340647935867309,0.325522422790527,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.998227735932654,-2.0,-2.0,0.969387755102041,0.967914438502674,-2.0,-2.0,-2.0,1850,1850,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,3,4,No,0.0018353462219238,2.89663290977478,9.4576518535614,0.299826145172119,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.997120070890563,-2.0,-2.0,0.969387755102041,0.967914438502674,-2.0,-2.0,-2.0,1911,7263,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,4,2,No,0.0018353462219238,2.88065671920776,3.28039145469666,0.509244203567505,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.996455471865308,-2.0,-2.0,0.969387755102041,0.967914438502674,-2.0,-2.0,-2.0,1588,3245,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,5,1,No,0.0018353462219238,2.34839272499084,0.274145841598511,0.259814262390137,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.995569339831635,-2.0,-2.0,0.969387755102041,0.967914438502674,-2.0,-2.0,-2.0,1667,1667,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,6,1,No,0.0018353462219238,2.07766342163086,0.284953832626343,0.269379138946533,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.991858887381276,-2.0,-2.0,0.980952380952381,0.978415047795251,-2.0,-2.0,-2.0,1561,1561,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,7,2,No,0.0018353462219238,2.89732766151428,2.93239784240723,0.236963272094726,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.975409836065574,-2.0,-2.0,0.969387755102041,0.967914438502674,-2.0,-2.0,-2.0,1803,3549,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,8,1,No,0.0018353462219238,2.33879518508911,0.238924980163574,0.225192785263061,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.974585116376161,-2.0,-2.0,0.976190476190476,0.962962962962963,-2.0,-2.0,-2.0,1407,1407,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,9,1,No,0.0018353462219238,2.56723523139954,0.244086980819702,0.229114532470703,0.967213114754098,-2.0,-2.0,0.959183673469388,0.957409821816601,-2.0,-2.0,-2.0,0.964095605886651,-2.0,-2.0,0.961904761904762,0.956830095590503,-2.0,-2.0,-2.0,1739,1739,Gen-and-Run-Pipeline,Breast-w,2
oml_dataset_2_rnc,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,10,1,No,0.0018353462219238,2.4744188785553,0.353152513504028,0.338399887084961,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.926229508196721,-2.0,-2.0,0.908163265306122,0.905960123680563,-2.0,-2.0,-2.0,1720,1720,Gen-and-Run-Pipeline,Breast-w,2
