dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,1,Yes,0.0041468143463134,15.5846071243286,3.40078234672546,3.36731910705566,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.780982175719018,-2.0,-2.0,0.756666666666667,0.843683083511777,-2.0,-2.0,-2.0,2097,2097,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,2,1,Yes,0.0041468143463134,15.8296184539795,0.440154314041138,0.407976865768433,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.791182501708818,-2.0,-2.0,0.74,0.832618025751073,-2.0,-2.0,-2.0,2029,2029,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,3,5,Yes,0.0041468143463134,14.2697188854218,57.8588914871216,0.448379516601563,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.797965192702035,-2.0,-2.0,0.743333333333333,0.835117773019272,-2.0,-2.0,-2.0,1999,9280,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,4,4,Yes,0.0041468143463134,14.1679148674011,44.5853612422943,0.42920184135437,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.782743572217256,-2.0,-2.0,0.746666666666667,0.837606837606838,-2.0,-2.0,-2.0,1992,7405,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,5,1,Yes,0.0041468143463134,16.6982755661011,0.595223188400269,0.562942504882813,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.755796834744203,-2.0,-2.0,0.746666666666667,0.832599118942731,-2.0,-2.0,-2.0,2100,2100,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,6,2,Yes,0.0041468143463134,14.8532979488373,14.8630819320679,0.600373029708862,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.781245070718755,-2.0,-2.0,0.73,0.8272921108742,-2.0,-2.0,-2.0,1968,3773,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,7,1,Yes,0.0041468143463134,17.0491242408752,0.495336771011352,0.45163369178772,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.791445396708555,-2.0,-2.0,0.763333333333333,0.84796573875803,-2.0,-2.0,-2.0,2198,2198,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,8,1,Yes,0.0041468143463134,16.0504565238953,0.44756293296814,0.414666175842285,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.777222777222777,-2.0,-2.0,0.74,0.832618025751073,-2.0,-2.0,-2.0,2095,2095,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,9,1,Yes,0.0041468143463134,16.9531192779541,0.460197448730469,0.428529739379883,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.799174509700826,-2.0,-2.0,0.763333333333333,0.84796573875803,-2.0,-2.0,-2.0,2110,2110,Gen-and-Run-Pipeline,Credit-g,2
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,10,1,Yes,0.0041468143463134,16.2094843387604,0.626740455627441,0.595550775527954,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.777222777222777,-2.0,-2.0,0.74,0.70682339376081,-2.0,-2.0,-2.0,2107,2107,Gen-and-Run-Pipeline,Credit-g,2
