dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID,dataset_name_orig
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,2,Yes,0.0022821426391601,16.3254292011261,15.861307859420776,0.2937073707580566,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6571969696969697,-2.0,-2.0,0.76,0.4915254237288136,-2.0,-2.0,-2.0,2060,3846,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,2,1,Yes,0.0022821426391601,17.224400997161865,0.4211409091949463,0.4006268978118896,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7510293148880106,-2.0,-2.0,0.752,0.4561403508771929,-2.0,-2.0,-2.0,2140,2140,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,3,2,Yes,0.0022821426391601,13.961920738220217,14.38700795173645,0.2896075248718261,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6426218708827405,-2.0,-2.0,0.76,0.4642857142857143,-2.0,-2.0,-2.0,2018,3758,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,4,1,Yes,0.0022821426391601,15.598583459854126,0.3775160312652588,0.3569962978363037,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7764328063241107,-2.0,-2.0,0.76,0.5,-2.0,-2.0,-2.0,1975,1975,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,5,1,Yes,0.0022821426391601,13.818580389022827,0.311913251876831,0.2914538383483886,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6875,-2.0,-2.0,0.776,0.5409836065573771,-2.0,-2.0,-2.0,1976,1976,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,6,1,Yes,0.0022821426391601,14.352100372314451,0.3243353366851806,0.2881271839141845,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.650197628458498,-2.0,-2.0,0.764,0.4778761061946903,-2.0,-2.0,-2.0,1979,1979,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,7,1,Yes,0.0022821426391601,17.21710729598999,1.844550609588623,1.823599100112915,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6647727272727273,-2.0,-2.0,0.764,0.5042016806722689,-2.0,-2.0,-2.0,2086,2086,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,8,1,Yes,0.0022821426391601,14.371238708496094,0.3156640529632568,0.2953388690948486,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6371870882740448,-2.0,-2.0,0.752,0.4561403508771929,-2.0,-2.0,-2.0,2008,2008,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,9,1,Yes,0.0022821426391601,21.7954695224762,30.57108902931213,30.54952883720398,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6766304347826088,-2.0,-2.0,0.76,0.5238095238095238,-2.0,-2.0,-2.0,2250,2250,Gen-and-Run-Pipeline,2,Credit-g
Credit-g,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,10,1,Yes,0.0022821426391601,13.848851919174194,0.3246352672576904,0.3040096759796142,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6393280632411067,-2.0,-2.0,0.748,0.4615384615384615,-2.0,-2.0,-2.0,1948,1948,Gen-and-Run-Pipeline,2,Credit-g
