dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,4,Yes,0.0014879703521728,17.1896770000458,50.6612782478333,0.412246942520142,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.785016556291391,-2.0,-2.0,0.74025974025974,0.62962962962963,-2.0,-2.0,-2.0,2205,6797,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,2,1,Yes,0.0014879703521728,13.8446986675262,0.421584367752075,0.408981800079346,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.79544701986755,-2.0,-2.0,0.744588744588745,0.61437908496732,-2.0,-2.0,-2.0,2080,2080,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,3,2,Yes,0.0014879703521728,17.2588911056519,16.6471138000488,0.41664457321167,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.796440397350993,-2.0,-2.0,0.744588744588745,0.628930817610063,-2.0,-2.0,-2.0,2150,3681,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,4,1,Yes,0.0014879703521728,14.21648478508,0.393718957901001,0.38139533996582,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.797019867549669,-2.0,-2.0,0.727272727272727,0.593548387096774,-2.0,-2.0,-2.0,2084,2084,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,5,1,Yes,0.0014879703521728,14.0989952087402,0.492961406707764,0.480448484420776,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.79296357615894,-2.0,-2.0,0.731601731601732,0.607594936708861,-2.0,-2.0,-2.0,2067,2067,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,6,1,Yes,0.0014879703521728,16.6920173168182,0.427411794662476,0.414710760116577,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.758485099337748,-2.0,-2.0,0.718614718614719,0.557823129251701,-2.0,-2.0,-2.0,2227,2227,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,7,1,Yes,0.0014879703521728,14.9971160888672,0.39544415473938,0.378443479537964,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.801117549668874,-2.0,-2.0,0.753246753246753,0.627450980392157,-2.0,-2.0,-2.0,2172,2172,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,8,2,Yes,0.0014879703521728,18.8601052761078,18.4962117671967,0.398783683776855,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.796026490066225,-2.0,-2.0,0.748917748917749,0.632911392405063,-2.0,-2.0,-2.0,2260,3867,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,9,1,Yes,0.0014879703521728,14.2505211830139,0.404154777526855,0.391442775726318,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.788990066225165,-2.0,-2.0,0.731601731601732,0.607594936708861,-2.0,-2.0,-2.0,2122,2122,Gen-and-Run-Pipeline,Diabetes,2
Diabetes,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,10,1,Yes,0.0014879703521728,23.2889308929443,0.417680263519287,0.404716730117798,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.79544701986755,-2.0,-2.0,0.757575757575758,0.754324226989762,-2.0,-2.0,-2.0,2485,2485,Gen-and-Run-Pipeline,Diabetes,2
