dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,dataset_name_orig,ID
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,Yes,0.0011665821075439,15.18232536315918,1.0132431983947754,1.0040345191955566,-2.0,0.9597679621675902,0.965380303533236,0.8523252478245625,-2.0,0.4428263585472926,-2.0,-2.0,-2.0,0.9422118570213046,0.9495873893165708,0.8261936635430611,-2.0,0.4796222363479317,-2.0,-2.0,1680,1680,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,Yes,0.0011665821075439,16.40539050102234,1.3651995658874512,1.3563153743743896,-2.0,0.9591254679290316,0.964835006438876,0.8510502661524241,-2.0,0.4430244534587073,-2.0,-2.0,-2.0,0.941429960339424,0.9488269668177524,0.8259705488621151,-2.0,0.4798904153961377,-2.0,-2.0,1675,1675,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,Yes,0.0011665821075439,14.794310569763184,1.321000576019287,1.311884880065918,-2.0,0.9608559193356546,0.9662879826950954,0.8550664584196602,-2.0,0.4428235774775226,-2.0,-2.0,-2.0,0.9437074467501207,0.9508886624451216,0.8290197828350439,-2.0,0.4791111820299943,-2.0,-2.0,1676,1676,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,4,1,Yes,0.0011665821075439,18.85546875,2.316450357437134,2.307315826416016,-2.0,0.9658103505044104,0.9692925928163728,0.8601345105664107,-2.0,0.3741392868373667,-2.0,-2.0,-2.0,0.9495887795483456,0.954437306736048,0.8265655213446378,-2.0,0.4165506290349025,-2.0,-2.0,1812,1812,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,Yes,0.0011665821075439,15.770666122436523,0.90728759765625,0.8978779315948486,-2.0,0.9603744549208,0.9659122486755138,0.8538233512893252,-2.0,0.4393546808115267,-2.0,-2.0,-2.0,0.943128200319086,0.9503461761951588,0.8268630075858991,-2.0,0.4760240599934713,-2.0,-2.0,1670,1670,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,Yes,0.0011665821075439,14.570597171783447,1.263169288635254,1.2541449069976809,-2.0,0.9601169516731956,0.9655618842382188,0.8528989895770248,-2.0,0.4444791114378831,-2.0,-2.0,-2.0,0.9428988283082568,0.950045890973072,0.8269373791462145,-2.0,0.480661790243413,-2.0,-2.0,1648,1648,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,7,1,Yes,0.0011665821075439,16.00118327140808,0.9012336730957032,0.8886213302612305,-2.0,0.959737511626377,0.965319574063872,0.8549070857106429,-2.0,0.4387066352879273,-2.0,-2.0,-2.0,0.942576676530849,0.9497836971728392,0.8267886360255838,-2.0,0.4752206778845422,-2.0,-2.0,1740,1740,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,Yes,0.0011665821075439,14.795003414154053,0.949591875076294,0.9407501220703124,-2.0,0.9602368687951685,0.9656859564116508,0.8518152551557071,-2.0,0.4394100833760762,-2.0,-2.0,-2.0,0.942989099718563,0.9500633753893294,0.8278298378699985,-2.0,0.4761959583456377,-2.0,-2.0,1680,1680,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,9,1,Yes,0.0011665821075439,15.23650312423706,1.2389848232269287,1.2300090789794922,-2.0,0.9606223148822468,0.9661015125750356,0.8534727313294871,-2.0,0.4385487270919641,-2.0,-2.0,-2.0,0.943331613047262,0.9505222108518216,0.8258218057414844,-2.0,0.4752168937765662,-2.0,-2.0,1692,1692,Gen-and-Run-Pipeline,Jungle-Chess,2
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,10,1,Yes,0.0011665821075439,14.66527009010315,1.1269645690917969,1.117823600769043,-2.0,0.9596319224024044,0.965312581845462,0.8524527459917763,-2.0,0.4432297186345392,-2.0,-2.0,-2.0,0.9422342713460718,0.9496217358268868,0.8264167782240072,-2.0,0.4793509683980787,-2.0,-2.0,1702,1702,Gen-and-Run-Pipeline,Jungle-Chess,2
