dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,1,1,No,0.0043065547943115,26.68162250518799,0.3738861083984375,0.3479573726654053,0.9998760330578512,-2.0,-2.0,0.9961340206185568,0.9690721649484536,-2.0,-2.0,-2.0,0.8899782135076253,-2.0,-2.0,0.924924924924925,0.2424242424242424,-2.0,-2.0,-2.0,2018,2018,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,2,1,No,0.0043065547943115,38.34242463111877,0.638247013092041,0.6141891479492188,0.9998760330578512,-2.0,-2.0,0.9961340206185568,0.9696969696969696,-2.0,-2.0,-2.0,0.8889494069232631,-2.0,-2.0,0.927927927927928,0.25,-2.0,-2.0,-2.0,1992,1992,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,3,1,No,0.0043065547943115,15.567231178283691,0.3874478340148926,0.3626315593719482,0.9998760330578512,-2.0,-2.0,0.9961340206185568,0.9690721649484536,-2.0,-2.0,-2.0,0.8466473008956669,-2.0,-2.0,0.927927927927928,0.25,-2.0,-2.0,-2.0,1901,1901,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,4,1,No,0.0043065547943115,17.686413288116455,0.4277906417846679,0.4046034812927246,0.9998760330578512,-2.0,-2.0,0.9961340206185568,0.9696969696969696,-2.0,-2.0,-2.0,0.8448317598644395,-2.0,-2.0,0.924924924924925,0.2424242424242424,-2.0,-2.0,-2.0,1777,1777,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,5,1,No,0.0043065547943115,17.290494918823242,0.3385024070739746,0.3148720264434814,0.9998760330578512,-2.0,-2.0,0.9961340206185568,0.9696969696969696,-2.0,-2.0,-2.0,0.8194141854272574,-2.0,-2.0,0.921921921921922,0.1875,-2.0,-2.0,-2.0,1883,1883,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,6,1,No,0.0043065547943115,20.38616275787353,0.3381280899047851,0.3150238990783691,0.9998760330578512,-2.0,-2.0,0.9961340206185568,0.9696969696969696,-2.0,-2.0,-2.0,0.8139675623335754,-2.0,-2.0,0.927927927927928,0.2941176470588235,-2.0,-2.0,-2.0,1982,1982,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,7,1,No,0.0043065547943115,15.38363480567932,0.3591287136077881,0.3349888324737549,0.999862258953168,-2.0,-2.0,0.9961340206185568,0.9696969696969696,-2.0,-2.0,-2.0,0.7755386105059308,-2.0,-2.0,0.918918918918919,0.1818181818181818,-2.0,-2.0,-2.0,1795,1795,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,8,1,No,0.0043065547943115,12.997403383255005,0.3976693153381347,0.3738801479339599,0.9998347107438016,-2.0,-2.0,0.9961340206185568,0.9696969696969696,-2.0,-2.0,-2.0,0.7734809973372063,-2.0,-2.0,0.918918918918919,0.1818181818181818,-2.0,-2.0,-2.0,1795,1795,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,9,1,No,0.0043065547943115,35.59130048751831,0.3263571262359619,0.303074836730957,0.9998146317350468,-2.0,-2.0,0.9951612903225806,0.963855421686747,-2.0,-2.0,-2.0,0.7549624788186879,-2.0,-2.0,0.90990990990991,0.1666666666666666,-2.0,-2.0,-2.0,1964,1964,Gen-and-Run-Pipeline,0,PC1,2
oml_dataset_8_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,10,1,No,0.0043065547943115,14.775274515151978,0.3582916259765625,0.3349568843841553,0.999862258953168,-2.0,-2.0,0.9961340206185568,0.9696969696969696,-2.0,-2.0,-2.0,0.6907528443476156,-2.0,-2.0,0.918918918918919,0.1818181818181818,-2.0,-2.0,-2.0,1789,1789,Gen-and-Run-Pipeline,0,PC1,2
