dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_33_rnc,AutoSklearn,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,33,34.920706272125244,0.5,-2.0,-2.0,0.2871709844559585,0.128137093376542,-2.0,-2,-2.0,0.5,-2.0,-2.0,0.2820116054158607,0.1240714908558614,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_33_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,33,46.10754084587097,0.9986249338765648,-2.0,-2.0,-2.0,-2.0,,-2,0.0992852919629025,0.9954866839021332,-2.0,-2.0,-2.0,-2.0,,-2,0.1454747407917581,0,0,Run-AutoML,0
oml_dataset_33_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,33,35.16561412811279,0.9999016122233038,-2.0,-2.0,0.9951917098445596,0.9951939822111632,-2.0,-2,-2.0,0.9954959917562436,-2.0,-2.0,0.9724371373307544,0.9724642321067158,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_33_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,33,34.52467370033264,0.9997952590823284,-2.0,-2.0,0.997678756476684,0.9983722822927568,-2.0,-2,-2.0,0.9963700523789674,-2.0,-2.0,0.9754352030947776,0.9828864034496698,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_33_rnc,AutoSklearn,,llama3-70b-8192,,binary,True,1,0,No,0,0,51,65.3354263305664,0.9929240118684431,-2.0,-2.0,0.9602487046632124,0.9602768404283344,-2.0,-2,-2.0,0.9909300158385956,-2.0,-2.0,0.957833655705996,0.9578468008749867,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_33_rnc,H2O,,llama3-70b-8192,,binary,True,1,0,No,0,0,51,63.1721408367157,0.9894531022852824,-2.0,-2.0,-2.0,-2.0,,-2,0.2282022607500745,0.9873497255037604,-2.0,-2.0,-2.0,-2.0,,-2,0.233102350495968,0,0,Run-AutoML,0
oml_dataset_33_rnc,Flaml,,llama3-70b-8192,,binary,True,1,0,No,0,0,51,59.52260732650757,0.9999958452525622,-2.0,-2.0,0.998963730569948,0.998964064808274,-2.0,-2,-2.0,0.9964415588710918,-2.0,-2.0,0.9751450676982591,0.9751669429220526,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_33_rnc,Autogluon,,llama3-70b-8192,,binary,True,1,0,No,0,0,51,52.38866829872131,0.9997968790141576,-2.0,-2.0,0.997678756476684,0.998372376911004,-2.0,-2,-2.0,0.9965329744705196,-2.0,-2.0,0.975725338491296,0.9830828334568984,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_34_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,5,16.79201579093933,-2.0,0.995792761553186,0.9960114149068134,-2.0,-2.0,,-2,0.5580835931989471,-2.0,0.99283693489375,0.993109692818232,-2.0,-2.0,,-2,0.564825687805498,0,0,Run-AutoML,0
oml_dataset_34_rnc,Flaml,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,5,6.58935809135437,-2.0,0.9989547390106828,0.999010872604185,0.9843894423333676,-2.0,0.0807796407975875,-2,-2.0,-2.0,0.9969791626038398,0.9971168998619808,0.9769949676491732,-2.0,0.1100383806292673,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_34_rnc,Autogluon,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,5,10.423610925674438,-2.0,0.9998777467014508,0.9998740126541056,0.9963027626579029,-2.0,-2.0,-2,-2.0,-2.0,0.99844286980884,0.9985390214424276,0.9906542056074766,-2.0,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_34_rnc,H2O,,llama3-70b-8192,,multiclass,True,1,0,No,0,0,27,37.92261219024658,-2.0,0.9984132945081472,0.9984687169663778,-2.0,-2.0,,-2,0.4508614408453711,-2.0,0.996741807633524,0.996844392627815,-2.0,-2.0,,-2,0.4602041229371459,0,0,Run-AutoML,0
