dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
oml_dataset_20_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.049870491027832,7.788668632507324,0.8607034683227539,0.8487980365753174,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,782,782,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.049870491027832,11.230344772338867,12.42647409439087,2.2599024772644043,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,782,2232,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.049870491027832,12.22601318359375,13.97286891937256,1.3886985778808594,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,1334,2909,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.049870491027832,22.099586486816406,32.869075536727905,32.86036705970764,-2,1.0,1.0,1.0,-2,1.5841558920594885e-05,-2.0,-2.0,-2,1.0,1.0,1.0,-2,0.000168818156352,-2.0,-2.0,1567,1567,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,2,4,No,0.049870491027832,12.596332550048828,35.69623374938965,1.008516550064087,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,782,5449,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.049870491027832,11.512365579605104,1.085094928741455,1.0762898921966553,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,1430,1430,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.049870491027832,20.05798411369324,8.632014513015747,8.623338460922241,-2,0.8934750539015212,0.904808827728747,0.3725366394979528,-2,2.090144760044297,-2.0,-2.0,-2,0.8534621487443185,0.8722307117418366,0.3554464285714285,-2,2.1495138364904407,-2.0,-2.0,1536,1536,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,3,2,No,0.049870491027832,9.916511297225952,8.635913848876953,0.1979846954345703,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,782,2203,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,3,3,No,0.049870491027832,12.811830043792725,25.258672952651978,0.0707080364227294,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,1249,4433,Gen-and-Run-Pipeline
oml_dataset_20_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,3,2,No,0.049870491027832,23.501580715179443,35.49554991722107,14.6401686668396,-2,1.0,1.0,1.0,-2,0.0001012438371749,-2.0,-2.0,-2,1.0,1.0,1.0,-2,0.0002784167242092,-2.0,-2.0,1577,3592,Gen-and-Run-Pipeline
