dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,Yes,0.0296432971954345,28.0407929420471,21.5645978450775,0.241713047027588,-2.0,1.0,1.0,1.0,-2.0,0.0913334484197822,-2,-2,-2.0,0.856427469135802,0.870090350955197,0.877659574468085,-2.0,0.620753782075955,-2,-2,1619,3473,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,Yes,0.0296432971954345,22.4983983039856,19.8456676006317,0.196690320968628,-2.0,1.0,1.0,1.0,-2.0,0.0446172258275764,-2,-2,-2.0,1.0,1.0,0.99468085106383,-2.0,0.153212749908932,-2,-2,1619,3373,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,Yes,0.0296432971954345,30.5981674194336,0.247609853744507,0.2411789894104,-2.0,1.0,1.0,1.0,-2.0,0.0899334172666628,-2,-2,-2.0,0.858962191358025,0.873208426889274,0.877659574468085,-2.0,0.616506650357494,-2,-2,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,3,Yes,0.0296432971954345,31.2061109542847,55.4740710258484,0.235987424850464,-2.0,1.0,1.0,1.0,-2.0,0.0863581057924671,-2,-2,-2.0,0.882231224279835,0.890327658841314,0.893617021276596,-2.0,0.423273459046154,-2,-2,1619,5866,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,Yes,0.0296432971954345,34.8343942165375,0.21522855758667,0.208625078201294,-2.0,1.0,1.0,1.0,-2.0,0.0152768197546591,-2,-2,-2.0,0.996109825102881,0.996166244275488,0.984042553191489,-2.0,0.072953470955218,-2,-2,1619,1619,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,2,Yes,0.0296432971954345,32.6614909172058,25.3991339206696,0.305767774581909,-2.0,1.0,1.0,1.0,-2.0,0.0605278812214688,-2,-2,-2.0,0.89405574845679,0.902805636143346,0.88031914893617,-2.0,0.475130614241912,-2,-2,1619,3563,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,2,Yes,0.0296432971954345,27.5851800441742,20.8981137275696,0.211436748504639,-2.0,1.0,1.0,1.0,-2.0,0.0899334172666628,-2,-2,-2.0,0.858962191358025,0.873208426889274,0.877659574468085,-2.0,0.616506650357494,-2,-2,1619,3418,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,2,Yes,0.0296432971954345,27.4520976543427,21.0390021800995,0.233070850372314,-2.0,1.0,1.0,1.0,-2.0,0.0899334172666628,-2,-2,-2.0,0.858962191358025,0.873208426889274,0.877659574468085,-2.0,0.616506650357494,-2,-2,1619,3444,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,2,Yes,0.0296432971954345,27.0080764293671,21.3293614387512,0.206841707229614,-2.0,1.0,1.0,1.0,-2.0,0.0915301657829517,-2,-2,-2.0,0.849890689300412,0.864169741970862,0.877659574468085,-2.0,0.459456467654989,-2,-2,1619,3441,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,2,Yes,0.0296432971954345,37.2652354240417,29.2104728221893,0.388954877853393,-2.0,1.0,1.0,1.0,-2.0,0.0567225373693832,-2,-2,-2.0,0.889819958847736,0.897769084485646,0.893617021276596,-2.0,0.563861380531031,-2,-2,1619,3797,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.0008587837219238,17.2454738616943,0.775409460067749,0.767199039459229,-2.0,1.0,1.0,1.0,-2.0,0.122051614208414,-2,-2,-2.0,0.73656378600823,0.765188922791339,0.819148936170213,-2.0,0.998689347274533,-2,-2,1428,1428,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,No,0.0008587837219238,27.3352248668671,19.6631319522858,0.238590240478516,-2.0,1.0,1.0,1.0,-2.0,0.078210377209985,-2,-2,-2.0,0.956314300411523,0.958403222400071,0.898936170212766,-2.0,0.335416895888706,-2,-2,1428,3181,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,No,0.0008587837219238,28.1828620433807,0.233656644821167,0.227319955825806,-2.0,1.0,1.0,1.0,-2.0,0.122559448221565,-2,-2,-2.0,0.708472222222222,0.739838944837194,0.813829787234043,-2.0,1.20191231316914,-2,-2,1428,1428,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,2,No,0.0008587837219238,27.0422313213348,21.6640276908875,0.204458951950073,-2.0,1.0,1.0,1.0,-2.0,0.025976570624599,-2,-2,-2.0,0.758697273662551,0.782548459198494,0.840425531914894,-2.0,2.1738882596922,-2,-2,1428,3284,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,2,No,0.0008587837219238,31.8389286994934,24.1720309257507,0.220619678497314,-2.0,1.0,1.0,1.0,-2.0,0.0668108808051897,-2,-2,-2.0,0.976093106995885,0.979362207846101,0.914893617021277,-2.0,0.264396902718624,-2,-2,1428,3424,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,2,No,0.0008587837219238,27.9062483310699,20.094096660614,0.192416667938232,-2.0,1.0,1.0,1.0,-2.0,0.0400328560530023,-2,-2,-2.0,0.999228395061728,0.999183006535948,0.973404255319149,-2.0,0.159629649501311,-2,-2,1428,3221,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,1,No,0.0008587837219238,19.3417119979858,0.242188692092895,0.236183404922485,-2.0,1.0,1.0,1.0,-2.0,0.120098272366899,-2,-2,-2.0,0.721071244855967,0.748890111600196,0.835106382978723,-2.0,1.35221956378585,-2,-2,1428,1428,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,2,No,0.0008587837219238,30.4490857124329,24.7481243610382,0.228172779083252,-2.0,1.0,1.0,1.0,-2.0,0.0196603664815855,-2,-2,-2.0,1.0,1.0,1.0,-2.0,0.0508009792569013,-2,-2,1428,3452,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,2,No,0.0008587837219238,25.5157284736633,21.8344469070435,0.270024061203003,-2.0,0.996704012833045,0.997707211619228,0.965675057208238,-2.0,0.13375291820758,-2,-2,-2.0,0.753521090534979,0.784927721088435,0.829787234042553,-2.0,1.12259031119609,-2,-2,1428,3250,Gen-and-Run-Pipeline
Balance-Scale,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,3,No,0.0008587837219238,32.2600791454315,50.3192546367645,0.224748373031616,-2.0,1.0,1.0,1.0,-2.0,0.125093314092453,-2,-2,-2.0,0.71309670781893,0.742762567990159,0.819148936170213,-2.0,1.19195020586261,-2,-2,1428,5370,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,3,Yes,0.0576732158660888,19.5437381267548,36.1473622322082,0.362059593200684,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.996399123264795,-2.0,-2.0,0.980952380952381,0.970588235294118,-2.0,-2,-2,2107,5646,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,1,Yes,0.0576732158660888,20.9399182796478,0.208319425582886,0.195114612579346,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.995303204258428,-2.0,-2.0,0.980952380952381,0.970588235294118,-2.0,-2,-2,2107,2107,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,2,Yes,0.0576732158660888,23.4616417884827,20.9233672618866,1.00353789329529,1.0,-2.0,-2.0,0.997955010224949,0.997118155619596,-2.0,-2,-2,0.5,-2.0,-2.0,0.680952380952381,0.0,-2.0,-2,-2,2107,3979,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,1,Yes,0.0576732158660888,18.6264519691467,0.224488973617554,0.211570978164673,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.996607869742198,-2.0,-2.0,0.976190476190476,0.962962962962963,-2.0,-2,-2,2107,2107,Gen-and-Run-Pipeline
Breast-w,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,2,Yes,0.0576732158660888,25.712123632431,24.2951846122742,2.00528955459595,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.5,-2.0,-2.0,0.319047619047619,0.483754512635379,-2.0,-2,-2,2107,4192,Gen-and-Run-Pipeline
