dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_1_rnc,H2O,,gpt-4o,,multiclass,True,1,0,No,0,0,14,24.49959683418274,-2.0,0.9000820341546149,0.9168727129620696,-2.0,-2.0,,-2.0,0.392407540219795,-2.0,0.801116255144033,0.8308657490774087,-2.0,-2.0,,-2.0,0.4398370287997941,0,0,Run-AutoML,0
oml_dataset_1_rnc,Flaml,,gpt-4o,,multiclass,True,1,0,No,0,0,14,14.17456603050232,-2.0,1.0,1.0,1.0,-2.0,0.0118060578623667,-2.0,-2.0,-2.0,0.9481455761316872,0.956132591925659,0.8776595744680851,-2.0,0.3149208815673167,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,Autogluon,,gpt-4o,,multiclass,True,1,0,No,0,0,14,17.343235731124878,-2.0,0.9988455951157564,0.9991588623276249,0.9839816933638444,-2.0,-2.0,-2.0,-2.0,-2.0,0.9902906378600824,0.991112000355698,0.9148936170212766,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,H2O,,gpt-4o,,binary,True,1,0,No,0,0,15,24.456122398376465,0.9945995256340084,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1593365551311013,0.9977037887485648,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1505102793640383,0,0,Run-AutoML,0
oml_dataset_2_rnc,Flaml,,gpt-4o,,binary,True,1,0,No,0,0,15,15.077191352844238,0.9964787447546068,-2.0,-2.0,0.9693251533742332,0.969344716325056,-2.0,-2.0,-2.0,0.995355390877779,-2.0,-2.0,0.9666666666666668,0.9667316439246264,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,Autogluon,,gpt-4o,,binary,True,1,0,No,0,0,15,14.026381969451904,0.9995438788542236,-2.0,-2.0,0.985685071574642,0.9799426934097422,-2.0,-2.0,-2.0,0.9983300281807744,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_3_rnc,H2O,,gpt-4o,,multiclass,True,1,0,No,0,0,16,26.70770502090454,-2.0,0.7005756450000652,0.7011927114772036,-2.0,-2.0,,-2.0,0.6022267718837143,-2.0,0.7153137257761122,0.7164037964897666,-2.0,-2.0,,-2.0,0.5982758846332841,0,0,Run-AutoML,0
oml_dataset_3_rnc,Flaml,,gpt-4o,,multiclass,True,1,0,No,0,0,16,16.04044198989868,-2.0,0.7810484749099494,0.7847596643687987,0.6042677012609118,-2.0,0.8492159951379293,-2.0,-2.0,-2.0,0.7674274738645757,0.7723139704489078,0.581447963800905,-2.0,0.8699917240658916,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_3_rnc,Autogluon,,gpt-4o,,multiclass,True,1,0,No,0,0,16,18.450581312179565,-2.0,0.1741577713969212,0.1752060914860246,0.1348205625606207,-2.0,-2.0,-2.0,-2.0,-2.0,0.2593373949219033,0.2572343139601599,0.1651583710407239,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_4_rnc,H2O,,gpt-4o,,binary,True,1,0,No,0,0,17,26.34335660934448,0.9869030101638098,-2.0,-2.0,-2.0,-2.0,,-2.0,0.2653151357445303,0.7711236132288765,-2.0,-2.0,-2.0,-2.0,,-2.0,0.4104955094557438,0,0,Run-AutoML,0
