dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
oml_dataset_19_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,1,0,No,0,0,4171.209210157394,4125.612764120102,0.8578056739061776,0.8578056739061776,0.8288400041484953,0.5565613567829132,-2,-2,-2,-2,0.8575867142424443,0.8575867142424443,0.828725367252672,0.5565860480070114,-2,-2,-2,-2,3516,3516,Run-CAAFE
oml_dataset_11_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,1,0,No,0,0,93263.73645544052,93149.88388490677,0.661057458538645,0.661057458538645,0.661057458538645,0.5964808851480484,-2,-2,-2,-2,0.6609869588760892,0.6609869588760892,0.6609869588760892,0.5964571446180343,-2,-2,-2,-2,2920,2920,Run-CAAFE
oml_dataset_11_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,1,0,No,0,0,95099.46354961395,95002.35217761993,0.5872506465902039,0.5872506465902039,0.5872506465902039,0.5351564109325408,-2,-2,-2,-2,0.5871211789305539,0.5871211789305539,0.5871211789305539,0.5351027935743332,-2,-2,-2,-2,2520,2520,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,1,0,No,0,0,471.65451669692993,471.6331021785736,0.8769777087588579,0.8769777087588579,0.8785125729168257,0.0879409730434417,-2,-2,-2,-2,0.7277348797066091,0.7277348797066091,0.7313589321292794,0.1125,-2,-2,-2,-2,1195,1195,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,2,0,No,0,0,471.65451669692993,471.6331021785736,0.8700872021766273,0.8700872021766273,0.8712122307170962,0.089341951161623,-2,-2,-2,-2,0.7305868258929649,0.7305868258929649,0.7340936923798598,0.1134755421429872,-2,-2,-2,-2,1195,2463,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,3,0,No,0,0,471.65451669692993,471.6331021785736,0.8719574466429393,0.8719574466429393,0.8732397778444007,0.0945683609694242,-2,-2,-2,-2,0.7286596809734347,0.7286596809734347,0.7322195668449187,0.1178351385518908,-2,-2,-2,-2,1195,3791,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,4,0,No,0,0,471.65451669692993,471.6331021785736,0.8732570589837667,0.8732570589837667,0.8750128948201491,0.0939757466316223,-2,-2,-2,-2,0.7274786264152476,0.7274786264152476,0.7312093773487589,0.1144324129447341,-2,-2,-2,-2,1195,5177,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,5,0,No,0,0,471.65451669692993,471.6331021785736,0.8894649339410596,0.8894649339410596,0.8907205912393431,0.0832526590675115,-2,-2,-2,-2,0.729449514048283,0.729449514048283,0.7337468859747964,0.1178398065268993,-2,-2,-2,-2,1195,6621,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,6,0,No,0,0,471.65451669692993,471.6331021785736,0.8763226501806086,0.8763226501806086,0.8777647019682785,0.0915506549179554,-2,-2,-2,-2,0.7280865814983464,0.7280865814983464,0.731398577934305,0.1187966782599687,-2,-2,-2,-2,1195,8110,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,7,0,No,0,0,471.65451669692993,471.6331021785736,0.8724714559994571,0.8724714559994571,0.873850163920294,0.0921972639858722,-2,-2,-2,-2,0.7299475665909009,0.7299475665909009,0.7338166201423795,0.1217139665037393,-2,-2,-2,-2,1195,9662,Run-CAAFE
oml_dataset_3_rnc,CAAFE,,llama3-70b-8192,TabPFN,multiclass,True,8,0,No,0,0,471.65451669692993,471.6331021785736,0.8651816218121351,0.8651816218121351,0.8668115279058858,0.097262617573142,-2,-2,-2,-2,0.7289689035488599,0.7289689035488599,0.732603695906669,0.1149271856993436,-2,-2,-2,-2,1195,11266,Run-CAAFE
oml_dataset_4_rnc,CAAFE,,llama3-70b-8192,TabPFN,binary,True,1,0,No,0,0,414.9108929634094,414.8614056110382,0.9514305088002052,0.9514305088002052,0.9514305088002052,0.8834920585155487,-2,-2,-2,-2,0.7452369556953041,0.7452369556953041,0.7452369556953041,0.714999994635582,-2,-2,-2,-2,1940,1940,Run-CAAFE
oml_dataset_4_rnc,CAAFE,,llama3-70b-8192,TabPFN,binary,True,2,0,No,0,0,414.9108929634094,414.8614056110382,0.976832111853893,0.976832111853893,0.976832111853893,0.9002380818128586,-2,-2,-2,-2,0.7483748525584744,0.7483748525584744,0.7483748525584744,0.7235714316368103,-2,-2,-2,-2,1940,4017,Run-CAAFE
