dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,1,7,Yes,0.0182697772979736,3.363322257995605,239.4256896972656,0.0668561458587646,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,2,7,Yes,0.0182697772979736,58.025816202163696,255.0719375610352,0.2764489650726318,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,3,7,Yes,0.0182697772979736,59.19625449180603,290.8182632923126,0.6245081424713135,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,4,7,Yes,0.0182697772979736,55.627458810806274,252.82508087158203,0.0881140232086181,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,5,7,Yes,0.0182697772979736,28.137222290039062,218.7195920944214,0.0732426643371582,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,6,7,Yes,0.0182697772979736,58.41239380836487,286.88238620758057,0.1592950820922851,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,7,7,Yes,0.0182697772979736,58.31756806373596,255.4626851081848,0.0560245513916015,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,8,7,Yes,0.0182697772979736,58.60596060752869,280.33299565315247,0.0784134864807128,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,9,7,Yes,0.0182697772979736,59.23422527313232,280.43976378440857,0.0600049495697021,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,mixtral-8x7b-32768,Auto,binary,True,10,7,Yes,0.0182697772979736,59.47378873825073,319.83077359199524,0.1829867362976074,0.9984,-2.0,-2.0,0.9821,0.9822,-2.0,-2,-2,0.9986,-2.0,-2.0,0.9929,0.9929,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,True,1,6,Yes,0.0013673305511474,40.413416624069214,127.54644441604614,0.9291715621948242,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.992,-2.0,-2.0,0.966,0.961,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,True,2,6,Yes,0.0013673305511474,39.44937133789063,142.7496702671051,1.005814790725708,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.993,-2.0,-2.0,0.97,0.967,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,True,3,6,Yes,0.0013673305511474,39.6489794254303,166.23617935180664,1.003610372543335,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.991,-2.0,-2.0,0.97,0.967,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,True,4,5,Yes,0.0013673305511474,39.902976989746094,140.85812664031982,0.9534966945648192,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.963,-2.0,-2.0,0.966,0.948,-2.0,-2,-2,0,0,Gen-and-Run-Pipeline
CMC,CatDB,,llama3-70b-8192,Auto,multiclass,True,1,6,Yes,0.0012896060943603,4.1063759326934814,90.96275210380554,0.4390885829925537,-2.0,0.9982838063805662,0.9983669374065408,0.9641125121241512,-2.0,0.2700618252132326,-2,-2,-2.0,0.6882098029916603,0.6940432214311355,0.504524886877828,-2.0,0.9758279457182396,-2,-2,0,0,Gen-and-Run-Pipeline
