dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_25_rnc,H2O,,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,7003,7025.775266647339,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.0249195232786656,29.762649354058404,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.0249217001296366,29.936903880394937,0,0,Run-AutoML,0
oml_dataset_25_rnc,Flaml,,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,7003,7289.578876495361,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.1423322726557762,27.226150390180035,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0619660054678478,28.639855838122426,0,0,Run-AutoML,0
oml_dataset_25_rnc,Autogluon,,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,7003,7043.261524677277,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.1973034541298211,26.33918919795167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0580063480595237,28.70023989339852,0,0,Run-AutoML,0
oml_dataset_25_rnc,H2O,,llama3-70b-8192,,regression,True,1,0,No,0,0,31823,31839.279016971588,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.0245758179432744,29.7576585040898,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.0244814084764504,29.930472957529307,0,0,Run-AutoML,0
oml_dataset_25_rnc,Flaml,,llama3-70b-8192,,regression,True,1,0,No,0,0,31823,32229.599152326584,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.1971467506540123,26.34176005807123,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0617849161631496,28.642620194918106,0,0,Run-AutoML,0
oml_dataset_25_rnc,Autogluon,,llama3-70b-8192,,regression,True,1,0,No,0,0,31823,31849.172572135925,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.1916707332154832,26.431441955120302,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0582082387125854,28.69716417167813,0,0,Run-AutoML,0
oml_dataset_1_rnc,H2O,,gpt-4o,,multiclass,True,1,0,No,0,0,14,23.407411098480225,-2.0,1.0,1.0,-2.0,-2.0,,-2.0,0.1434154907045339,-2.0,0.7782073045267489,0.796330175588754,-2.0,-2.0,,-2.0,0.3908794687599015,0,0,Run-AutoML,0
oml_dataset_1_rnc,Flaml,,gpt-4o,,multiclass,True,1,0,No,0,0,14,14.150516748428345,-2.0,1.0,1.0,1.0,-2.0,0.0118060578623667,-2.0,-2.0,-2.0,0.9481455761316872,0.956132591925659,0.8776595744680851,-2.0,0.3149208815673167,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,Autogluon,,gpt-4o,,multiclass,True,1,0,No,0,0,14,17.517662286758423,-2.0,0.9988455951157564,0.9991588623276249,0.9839816933638444,-2.0,-2.0,-2.0,-2.0,-2.0,0.9902906378600824,0.991112000355698,0.9148936170212766,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,H2O,,gpt-4o,,binary,True,1,0,No,0,0,14,22.544745445251465,0.9945995256340084,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1593365551311013,0.9977037887485648,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1505102793640383,0,0,Run-AutoML,0
oml_dataset_2_rnc,Flaml,,gpt-4o,,binary,True,1,0,No,0,0,14,14.075634241104126,0.9964787447546068,-2.0,-2.0,0.9693251533742332,0.969344716325056,-2.0,-2.0,-2.0,0.995355390877779,-2.0,-2.0,0.9666666666666668,0.9667316439246264,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,Autogluon,,gpt-4o,,binary,True,1,0,No,0,0,14,12.759661197662354,0.9995438788542236,-2.0,-2.0,0.985685071574642,0.9799426934097422,-2.0,-2.0,-2.0,0.9983300281807744,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_3_rnc,H2O,,gpt-4o,,multiclass,True,1,0,No,0,0,14,22.8354914188385,-2.0,0.9894167840845904,0.98961915748344,-2.0,-2.0,,-2.0,0.3014846170718898,-2.0,0.6689131489416562,0.6765060882291393,-2.0,-2.0,,-2.0,0.6068246106999471,0,0,Run-AutoML,0
oml_dataset_3_rnc,Flaml,,gpt-4o,,multiclass,True,1,0,No,0,0,14,14.045244455337524,-2.0,0.7810484749099494,0.7847596643687987,0.6042677012609118,-2.0,0.8492159951379293,-2.0,-2.0,-2.0,0.7674274738645757,0.7723139704489078,0.581447963800905,-2.0,0.8699917240658916,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_3_rnc,Autogluon,,gpt-4o,,multiclass,True,1,0,No,0,0,14,17.50639319419861,-2.0,0.1805649607856801,0.1816278224610349,0.1823472356935014,-2.0,-2.0,-2.0,-2.0,-2.0,0.2607573191571208,0.2588218479057584,0.2013574660633484,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_4_rnc,H2O,,gpt-4o,,binary,True,1,0,No,0,0,19,28.38412642478943,0.9947865405041952,-2.0,-2.0,-2.0,-2.0,,-2.0,0.2456630381052917,0.7673905042326095,-2.0,-2.0,-2.0,-2.0,,-2.0,0.4152177887225125,0,0,Run-AutoML,0
oml_dataset_4_rnc,Flaml,,gpt-4o,,binary,True,1,0,No,0,0,19,19.17767858505249,0.856566522768688,-2.0,-2.0,0.7242857142857143,0.628678689631881,-2.0,-2.0,-2.0,0.7943635312056365,-2.0,-2.0,0.71,0.6021907243355915,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_4_rnc,Autogluon,,gpt-4o,,binary,True,1,0,No,0,0,19,19.316644191741943,0.9804519630867576,-2.0,-2.0,0.9185714285714286,0.9446064139941692,-2.0,-2.0,-2.0,0.7983069562016932,-2.0,-2.0,0.7566666666666667,0.840958605664488,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_5_rnc,H2O,,gpt-4o,,binary,True,1,0,No,0,0,20,29.298355102539062,0.9995122843382308,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1930196737050322,0.8051324503311258,-2.0,-2.0,-2.0,-2.0,,-2.0,0.4160241580862028,0,0,Run-AutoML,0
oml_dataset_5_rnc,Flaml,,gpt-4o,,binary,True,1,0,No,0,0,20,20.092332363128666,0.8625480095104554,-2.0,-2.0,0.7560521415270018,0.7320212216087121,-2.0,-2.0,-2.0,0.7925496688741721,-2.0,-2.0,0.7445887445887446,0.7275067436964072,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_5_rnc,Autogluon,,gpt-4o,,binary,True,1,0,No,0,0,20,11.989758968353271,0.960083521307078,-2.0,-2.0,0.888268156424581,0.8224852071005917,-2.0,-2.0,-2.0,0.8032284768211921,-2.0,-2.0,0.7359307359307359,0.6013071895424836,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
