dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
PASS,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,1,5,Yes,0.0055441856384277,11.751091718673706,72.08492469787598,31.28549194335937,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,660,5222,Gen-and-Run-Pipeline
PASS,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,regression,True,1,1,Yes,0.0055441856384277,12.63102889060974,30.694515228271484,30.68592977523804,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1091,1091,Gen-and-Run-Pipeline
PASS,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,regression,True,1,3,Yes,0.0055441856384277,16.54530096054077,4673.717077970505,4636.64101266861,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0411517858960097,24053.40966264448,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.2099986442363342,20983.07368991105,1307,4124,Gen-and-Run-Pipeline
Aloi,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,1,2,Yes,0.0782971382141113,18.285430431365967,20.63003706932068,3.4665677547454834,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4942,10208,Gen-and-Run-Pipeline
Aloi,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,regression,True,1,1,Yes,0.0782971382141113,16.880397081375122,7.409148693084717,7.291714906692505,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5824,5824,Gen-and-Run-Pipeline
Aloi,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,2,3,Yes,0.0782971382141113,17.313705682754517,40.488935708999634,7.4487152099609375,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4942,15348,Gen-and-Run-Pipeline
Aloi,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,regression,True,2,2,Yes,0.0782971382141113,18.95918655395508,22.330384254455566,3.4891154766082764,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5833,11143,Gen-and-Run-Pipeline
Aloi,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,3,3,Yes,0.0782971382141113,17.970210075378418,34.992003440856934,1.6867625713348389,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4942,15435,Gen-and-Run-Pipeline
Aloi,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,regression,True,3,1,Yes,0.0782971382141113,17.548240184783936,1.7897708415985107,1.6720361709594729,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5818,5818,Gen-and-Run-Pipeline
Aloi,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,4,3,Yes,0.0782971382141113,15.603079557418823,30.614209175109863,1.6853306293487549,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4942,15130,Gen-and-Run-Pipeline
