dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
EU-IT,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,4.454754590988159,4.454754590988159,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.392,-2.0,-2.0,-2.0,-2.0,0,0,Run-Local-Pipeline-M,0
EU-IT,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,1.4188227653503418,1.4188227653503418,-2,-2,-2,1.0,-2,-2,-2.0,-2.0,-2,-2,-2,0.9180887372013652,-2,-2,-2.0,-2.0,0,0,Run-Local-Pipeline-G,0
Etailing,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,1.587266206741333,1.587266206741333,-2.0,1.0,1.0,1.0,-2.0,0.0218447493037869,-2.0,-2.0,-2.0,0.6833119481710812,0.6857534674013481,0.3939393939393939,-2.0,1.821825286893601,-2.0,-2.0,0,0,Run-Local-Pipeline-M,0
Etailing,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,1.734281301498413,1.734281301498413,-2.0,1.0,1.0,1.0,-2.0,0.001479111451246,-2.0,-2.0,-2.0,0.9999868716481124,0.9999884894140288,0.9990016638935107,-2.0,0.0060727525243682,-2.0,-2.0,0,0,Run-Local-Pipeline-G,0
Midwest-Survey,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,1.7513504028320312,1.7513504028320312,-2.0,1.0,1.0,1.0,-2.0,0.2553981841768014,-2.0,-2.0,-2.0,0.9024218838147976,0.9220321244729934,0.6294964028776978,-2.0,1.1790600489688756,-2.0,-2.0,0,0,Run-Local-Pipeline-M,0
Midwest-Survey,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,1.390662670135498,1.390662670135498,-2.0,1.0,1.0,1.0,-2.0,0.1882458006531533,-2.0,-2.0,-2.0,0.9676492589314604,0.9720707305158164,0.8069544364508393,-2.0,0.7645783224978338,-2.0,-2.0,0,0,Run-Local-Pipeline-G,0
WiFi,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0,0,0.8203203678131104,0.8203203678131104,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0,0,Run-Local-Pipeline-M,0
WiFi,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0,0,0.772897481918335,0.772897481918335,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0,0,Run-Local-Pipeline-G,0
Utility,CatDB,,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0,0,4.203061580657959,4.203061580657959,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.998924132635436,0.0650444516737073,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.988293289961959,0.2066972586588223,0,0,Run-Local-Pipeline-M,0
Utility,CatDB,,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0,0,3.75143051147461,3.75143051147461,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9988873858222728,0.0661459388274721,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9882360804757772,0.2072016972318545,0,0,Run-Local-Pipeline-G,0
Yelp,CatDBChain,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,584.3555598258972,584.3555598258972,-2.0,0.999823338293145,0.9998234671881412,0.9928107174369616,-2.0,0.2890947752436762,-2.0,-2.0,-2.0,0.6581574881995078,0.6685710905743896,0.4163513258811419,-2.0,1.9817723913622725,-2.0,-2.0,0,0,Run-Local-Pipeline-M,0
Yelp,CatDBChain,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,2477.387666940689,2477.387666940689,-2.0,0.9999227076084448,0.9999213381949092,0.9921214614981337,-2.0,0.09375090359558148,-2.0,-2.0,-2.0,0.9816262288756802,0.9826023436795739,0.9155311226777394,-2.0,0.41707456406851257,-2.0,-2.0,0,0,Run-Local-Pipeline-G,0
