dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_24_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0.0227699279785156,14.389312744140623,1548.6786513328552,1534.2893385887146,-2,-2,-2,-2,-2,-2,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2.0,-2.0,1801,1801,Gen-and-Verify-Pipeline,0
oml_dataset_24_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0.0227699279785156,14.902130603790283,289.89433693885803,274.9922063350677,-2,-2,-2,-2,-2,-2,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2.0,-2.0,2426,2426,Gen-and-Verify-Pipeline,0
oml_dataset_24_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0.0227699279785156,18.16781735420227,290.96167039871216,272.7938530445099,-2,-2,-2,-2,-2,-2,0.8274367888706442,0.2471408029964993,-2,-2,-2,-2,-2,-2,0.6057452365586926,0.3748642308338777,2447,2447,Gen-and-Verify-Pipeline,0
oml_dataset_24_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0.0227699279785156,18.16781735420227,115.637714385986,96.676043987274,-2,-2,-2,-2,-2,-2,0.7581304745352011,0.2936594565256024,-2,-2,-2,-2,-2,-2,0.6553854204814629,0.3504712127472373,2447,2447,Run-Pipeline,0
oml_dataset_24_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,2,2,No,0.0227699279785156,15.265251874923706,65.5182831287384,17.090779304504395,-2,-2,-2,-2,-2,-2,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2.0,-2.0,1801,6857,Gen-and-Verify-Pipeline,0
oml_dataset_24_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,regression,True,2,1,No,0.0227699279785156,21.008765697479248,120.05626893043518,80.58544588088989,-2,-2,-2,-2,-2,-2,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2.0,-2.0,2612,5643,Gen-and-Verify-Pipeline,0
oml_dataset_24_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,regression,True,2,0,No,0.0227699279785156,14.954434156417848,18.22345614433289,3.269021987915039,-2,-2,-2,-2,-2,-2,0.6137232940599526,0.3697597258856318,-2,-2,-2,-2,-2,-2,0.5475991177977322,0.4015570447692455,2721,2721,Gen-and-Verify-Pipeline,0
oml_dataset_24_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,regression,True,2,0,No,0.0227699279785156,14.954434156417848,115.0647473335266,96.84129118919373,-2,-2,-2,-2,-2,-2,0.5869295085281458,0.3837651204343072,-2,-2,-2,-2,-2,-2,0.5717085581042887,0.3907106289988336,2721,2721,Run-Pipeline,0
oml_dataset_23_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0.0221877098083496,15.327535152435305,28.96175742149353,13.634222269058228,-2,-2,-2,-2,-2,-2,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2.0,-2.0,2085,2085,Gen-and-Verify-Pipeline,0
oml_dataset_23_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,regression,True,1,0,No,0.0221877098083496,15.097582817077637,22.466212511062626,7.368629693984985,-2,-2,-2,-2,-2,-2,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2.0,-2.0,2751,2751,Gen-and-Verify-Pipeline,0
