dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0.0336525440216064,15.945733785629272,16.07635760307312,0.1306238174438476,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1466,1466,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0.0336525440216064,12.86892294883728,12.901752710342407,0.0328297615051269,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,2014,2014,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,7,No,0.0336525440216064,20.42729949951172,162.16062760353088,0.1963582038879394,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.8397870785930488,-2.0,-2.0,0.8285714285714286,0.7391304347826086,-2.0,-2,-2,2262,16283,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,13,No,0.0336525440216064,20.42729949951172,421.565286397934,0.2267916202545166,1.0,-2.0,-2.0,0.9979550102249488,0.997134670487106,-2.0,-2,-2,0.9129527189228682,-2.0,-2.0,0.6714285714285714,0.649746192893401,-2.0,-2,-2,2262,46040,Run-Pipeline,0
oml_dataset_2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,2,1,No,0.0336525440216064,14.05761218070984,28.22525000572205,0.1646194458007812,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1466,3510,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,2,0,No,0.0336525440216064,13.036873579025269,13.203301668167114,0.1664280891418457,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1466,1466,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,binary,True,2,0,No,0.0336525440216064,13.59621238708496,13.759926319122314,0.1637139320373535,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1998,1998,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,2,0,No,0.0336525440216064,19.32093071937561,19.66563725471497,0.3447065353393554,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9913892078071184,-2.0,-2.0,0.9047619047619048,0.8333333333333334,-2.0,-2,-2,2306,2306,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,2,0,No,0.0336525440216064,19.32093071937561,20.05682182312012,0.3911845684051513,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.996138190168041,-2.0,-2.0,0.9714285714285714,0.9552238805970148,-2.0,-2,-2,2306,2306,Run-Pipeline,0
oml_dataset_2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,3,0,No,0.0336525440216064,13.62229824066162,13.83887267112732,0.2165744304656982,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1466,1466,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,binary,True,3,0,No,0.0336525440216064,13.374539852142334,13.531961679458618,0.1574218273162841,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,2051,2051,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,3,0,No,0.0336525440216064,18.08800768852234,18.431034326553345,0.3430266380310058,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9907629683749088,-2.0,-2.0,0.9047619047619048,0.8333333333333334,-2.0,-2,-2,2264,2264,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,3,0,No,0.0336525440216064,18.08800768852234,18.808480501174927,0.377446174621582,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9959294436906376,-2.0,-2.0,0.9666666666666668,0.9473684210526316,-2.0,-2,-2,2264,2264,Run-Pipeline,0
oml_dataset_2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,4,4,No,0.0336525440216064,14.03493356704712,68.38009762763977,0.1526832580566406,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1466,8372,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,binary,True,4,0,No,0.0336525440216064,16.825345993041992,16.98303985595703,0.157693862915039,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,2055,2055,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,4,0,No,0.0336525440216064,21.48747611045837,21.672441959381104,0.1849658489227295,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.9872664648784052,-2.0,-2.0,0.919047619047619,0.8617886178861789,-2.0,-2,-2,2468,2468,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,4,0,No,0.0336525440216064,21.48747611045837,21.890163898468018,0.217721939086914,1.0,-2.0,-2.0,0.9918200408997956,0.9886363636363636,-2.0,-2,-2,0.9947813380649202,-2.0,-2.0,0.9809523809523808,0.9705882352941176,-2.0,-2,-2,2468,2468,Run-Pipeline,0
oml_dataset_2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,5,0,No,0.0336525440216064,11.836675882339478,11.86251187324524,0.0258359909057617,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1466,1466,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,binary,True,5,0,No,0.0336525440216064,13.204578161239624,13.236429691314695,0.0318515300750732,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1942,1942,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,5,0,No,0.0336525440216064,12.667370080947876,12.809499979019163,0.142129898071289,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1466,1466,Gen-and-Verify-Pipeline,0
oml_dataset_2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,binary,True,5,2,No,0.0336525440216064,14.881389379501345,46.92353892326355,0.4318099021911621,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2,-2,1925,5927,Gen-and-Verify-Pipeline,0
