dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
Airline,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0.0654733180999755,23.744574308395386,192.91161847114563,32.87279272079468,-2.0,1.0,1.0,1.0,-2.0,0.000913410158594,-2.0,-2.0,-2.0,1.0,1.0,1.0,-2.0,0.002475495665846,-2.0,-2.0,6705,30684,Run-Pipeline,0
Airline,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,0,No,0.0654733180999755,21.73656535148621,127.77849888801576,36.0273711681366,-2.0,1.0,1.0,1.0,-2.0,0.0003168474183361,-2.0,-2.0,-2.0,1.0,1.0,1.0,-2.0,0.0008795185860599,-2.0,-2.0,6705,18820,Run-Pipeline,0
Airline,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,0,No,0.0604438781738281,37.192193269729614,241.4547619819641,122.5132863521576,-2.0,1.0,1.0,1.0,-2.0,1.2450666344403687e-05,-2.0,-2.0,-2.0,1.0,1.0,1.0,-2.0,3.394789780079153e-05,-2.0,-2.0,6709,18183,Run-Pipeline,0
Airline,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,0,No,0.0604438781738281,23.153155088424683,100.85869407653809,45.03558802604675,-2.0,1.0,1.0,1.0,-2.0,0.0009573294087145,-2.0,-2.0,-2.0,1.0,1.0,1.0,-2.0,0.0026298863881712,-2.0,-2.0,6709,11873,Run-Pipeline,0
Airline,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0.0599455833435058,24.691816806793213,362.17784452438354,29.144840955734253,-2.0,1.0,1.0,0.9999967028691632,-2.0,0.0822049647416041,-2.0,-2.0,-2.0,1.0,1.0,1.0,-2.0,0.0825954965986625,-2.0,-2.0,5942,50320,Run-Pipeline,0
Airline,CatDB,,llama-3.1-70b-versatile,Auto,multiclass,True,1,0,No,0.139876127243042,6.26062798500061,717.1191306114197,591.3713085651398,-2.0,1.0,1.0,1.0,-2.0,0.0071766699341075,-2.0,-2.0,-2.0,1.0,1.0,1.0,-2.0,0.0200941923954115,-2.0,-2.0,4618,39767,Run-Pipeline,0
IMDB-IJS,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0.0242137908935546,19.6420094966888,1279.34273171425,988.787217378616,0.994484536357549,-2.0,-2.0,0.990532594326978,0.990576359770261,-2.0,-2.0,-2.0,0.994525374933592,-2.0,-2.0,0.990575923775867,0.990619272317142,-2.0,-2.0,-2.0,2358,2358,Run-Pipeline,0
Accidents,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0.0510110855102539,26.0952999591827,125.64569234848,37.8371124267578,-2.0,0.878139627765623,0.918137252897124,0.675470370231722,-2.0,0.762822840478615,-2.0,-2.0,-2.0,0.872450525009541,0.913775843136199,0.672930111002023,-2.0,0.769310481412335,-2.0,-2.0,4369,12150,Run-Pipeline,0
Accidents,CatDBChain,ModelSelection,llama-3.1-70b-versatile,Auto,multiclass,True,1,0,No,0.162285089492798,7.97911429405212,140.867451667786,96.5232810974121,-2.0,0.979525386571411,0.979525386571411,0.906354583910456,-2.0,0.265247077181631,-2.0,-2.0,-2.0,0.951897249612446,0.951897249612446,0.887882304495938,-2.0,0.348031117745092,-2.0,-2.0,4247,11085,Run-Pipeline,0
Accidents,CatDBChain,ModelSelection,llama-3.1-70b-versatile,Auto,multiclass,True,2,0,No,0.162285089492798,7.982182264328,1090.92502117157,996.958055496216,-2.0,0.999999995327989,0.999999995327989,0.999985026017295,-2.0,0.0841692011827899,-2.0,-2.0,-2.0,0.940249930103874,0.940249930103874,0.886100400554037,-2.0,0.469750487091322,-2.0,-2.0,4202,4202,Run-Pipeline,0
