error_class,llm_model,ratio,count,total
ValueError,gemini-1.5,55.164,5539,10041
TypeError,gemini-1.5,9.939,998,10041
KeyError,gemini-1.5,9.013,905,10041
AttributeError,gemini-1.5,2.062,207,10041
FileNotFoundError,gemini-1.5,6.165,619,10041
IndexError,gemini-1.5,1.942,195,10041
ModuleNotFoundError,gemini-1.5,4.641,466,10041
NameError,gemini-1.5,3.555,357,10041
InvalidIndexError,gemini-1.5,3.207,322,10041
SyntaxError,gemini-1.5,0.508,51,10041
PicklingError,gemini-1.5,1.354,136,10041
MemoryError,gemini-1.5,1.693,170,10041
UFuncTypeError,gemini-1.5,0.010,1,10041
ImportError,gemini-1.5,0.209,21,10041
InvalidParameterError,gemini-1.5,0.020,2,10041
AxisError,gemini-1.5,0.060,6,10041
IndentationError,gemini-1.5,0.050,5,10041
NotFittedError,gemini-1.5,0.159,16,10041
RecursionError,gemini-1.5,0.000,0,10041
AssertionError,gemini-1.5,0.000,0,10041
OutOfBoundsDatetime,gemini-1.5,0.090,9,10041
NotImplementedError,gemini-1.5,0.040,4,10041
IntCastingNaNError,gemini-1.5,0.010,1,10041
ZeroDivisionError,gemini-1.5,0.000,0,10041
ValueError,llama3,77.041,16077,20868
TypeError,llama3,11.587,2418,20868
KeyError,llama3,1.984,414,20868
AttributeError,llama3,2.909,607,20868
FileNotFoundError,llama3,0.010,2,20868
IndexError,llama3,1.960,409,20868
ModuleNotFoundError,llama3,0.211,44,20868
NameError,llama3,0.748,156,20868
InvalidIndexError,llama3,0.000,0,20868
SyntaxError,llama3,1.107,231,20868
PicklingError,llama3,0.350,73,20868
MemoryError,llama3,0.058,12,20868
UFuncTypeError,llama3,0.829,173,20868
ImportError,llama3,0.407,85,20868
InvalidParameterError,llama3,0.240,50,20868
AxisError,llama3,0.182,38,20868
IndentationError,llama3,0.158,33,20868
NotFittedError,llama3,0.086,18,20868
RecursionError,llama3,0.081,17,20868
AssertionError,llama3,0.043,9,20868
OutOfBoundsDatetime,llama3,0.000,0,20868
NotImplementedError,llama3,0.000,0,20868
IntCastingNaNError,llama3,0.005,1,20868
ZeroDivisionError,llama3,0.005,1,20868
