dataset_name,dataset_name_orig,time,dataset_load_time,llm_model
Volkert-out-0.01-np-0-nc-0-mv-0,Volkert,53.37,2.3,gemini-1.5-pro-latest
Volkert-out-0.02-np-0-nc-0-mv-0,Volkert,5.93,2.3,gemini-1.5-pro-latest
Volkert-out-0.03-np-0-nc-0-mv-0,Volkert,58.64,2.3,gemini-1.5-pro-latest
Volkert-out-0.04-np-0-nc-0-mv-0,Volkert,57.16,2.3,gemini-1.5-pro-latest
Volkert-out-0.05-np-0-nc-0-mv-0,Volkert,5.72,2.3,gemini-1.5-pro-latest
Volkert-out-0-np-1-nc-180-mv-0.1,Volkert,7.11,2.3,gemini-1.5-pro-latest
Volkert-out-0-np-1-nc-180-mv-0.2,Volkert,5.58,2.3,gemini-1.5-pro-latest
Volkert-out-0-np-1-nc-180-mv-0.3,Volkert,4.90,2.3,gemini-1.5-pro-latest
Volkert-out-0-np-1-nc-180-mv-0.4,Volkert,4.05,2.3,gemini-1.5-pro-latest
Volkert-out-0-np-1-nc-180-mv-0.5,Volkert,3.73,2.3,gemini-1.5-pro-latest
Volkert-out-0.05-np-1-nc-180-mv-0.1,Volkert,5.21,2.3,gemini-1.5-pro-latest
Volkert-out-0.05-np-1-nc-180-mv-0.2,Volkert,4.99,2.3,gemini-1.5-pro-latest
Volkert-out-0.05-np-1-nc-180-mv-0.3,Volkert,5.03,2.3,gemini-1.5-pro-latest
Volkert-out-0.05-np-1-nc-180-mv-0.4,Volkert,19.38,2.3,gemini-1.5-pro-latest
Volkert-out-0.05-np-1-nc-180-mv-0.5,Volkert,3.31,2.3,gemini-1.5-pro-latest
Utility-out-0.01-np-0-nc-0-mv-0,Utility,0.53,1.0,gemini-1.5-pro-latest
Utility-out-0.02-np-0-nc-0-mv-0,Utility,2.94,1.0,gemini-1.5-pro-latest
Utility-out-0.03-np-0-nc-0-mv-0,Utility,6.39,1.0,gemini-1.5-pro-latest
Utility-out-0.04-np-0-nc-0-mv-0,Utility,6.64,1.0,gemini-1.5-pro-latest
Utility-out-0.05-np-0-nc-0-mv-0,Utility,0.69,1.0,gemini-1.5-pro-latest
Utility-out-0-np-1-nc-12-mv-0.1,Utility,1.49,1.0,gemini-1.5-pro-latest
Utility-out-0-np-1-nc-12-mv-0.2,Utility,0.30,1.0,gemini-1.5-pro-latest
Utility-out-0-np-1-nc-12-mv-0.3,Utility,0.95,1.0,gemini-1.5-pro-latest
Utility-out-0-np-1-nc-12-mv-0.4,Utility,0.91,1.0,gemini-1.5-pro-latest
Utility-out-0-np-1-nc-12-mv-0.5,Utility,3.61,1.0,gemini-1.5-pro-latest
Utility-out-0.05-np-1-nc-12-mv-0.1,Utility,3.14,1.0,gemini-1.5-pro-latest
Utility-out-0.05-np-1-nc-12-mv-0.2,Utility,3.66,1.0,gemini-1.5-pro-latest
Utility-out-0.05-np-1-nc-12-mv-0.3,Utility,1.12,1.0,gemini-1.5-pro-latest
Utility-out-0.05-np-1-nc-12-mv-0.4,Utility,1.33,1.0,gemini-1.5-pro-latest
Utility-out-0.05-np-1-nc-12-mv-0.5,Utility,0.99,1.0,gemini-1.5-pro-latest
