dataset_name,Config,OUT,MV,NC,Result,llm_model,has_description,task_type,task,samples
Utility,CatDB,0.0,0.0,0,0.9882,gemini-1.5-pro-latest,No,regression,regression,0
Utility,H2O,0.0,0.0,0,0.0,gemini-1.5-pro-latest,No,regression,regression,0
Utility,Flaml,0.0,0.0,0,0.9902,gemini-1.5-pro-latest,No,regression,regression,0
Utility,Autogluon,0.0,0.0,0,0.9956,gemini-1.5-pro-latest,No,regression,regression,0
Utility,AutoSklearn,0.0,0.0,0,0.0,gemini-1.5-pro-latest,No,regression,regression,0
Volkert,CatDB,0.0,0.0,0,0.92,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CAAFE,0.0,0.0,0,0.7152,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,H2O,0.0,0.0,0,0.9074,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,Flaml,0.0,0.0,0,0.9357,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,Autogluon,0.0,0.0,0,0.9515,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,AutoSklearn,0.0,0.0,0,0.9322,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDB,0.0,0.1,180,0.9127424518072204,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.0,0.1,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.0,0.1,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.0,0.1,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.0,0.1,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.0,0.1,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.0,0.1,180,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.0,0.1,12,0.9999575121815796,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.0,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.0,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.0,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.0,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.0,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.0,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.0,0.2,180,0.8987808547068601,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.0,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.0,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.0,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.0,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.0,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.0,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.0,0.2,12,1.0,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.0,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.0,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.0,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.0,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.0,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.0,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.0,0.3,180,0.8840238664424327,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.0,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.0,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.0,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.0,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.0,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.0,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.0,0.3,12,0.8672519062638496,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.0,0.3,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.0,0.3,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.0,0.3,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.0,0.3,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.0,0.3,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.0,0.3,12,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.0,0.4,180,0.8702389268885323,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.0,0.4,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.0,0.4,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.0,0.4,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.0,0.4,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.0,0.4,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.0,0.4,180,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.0,0.4,12,0.7430036958323074,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.0,0.4,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.0,0.4,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.0,0.4,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.0,0.4,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.0,0.4,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.0,0.4,12,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.0,0.5,180,0.8606670023009142,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.0,0.5,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.0,0.5,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.0,0.5,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.0,0.5,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.0,0.5,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.0,0.5,180,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.0,0.5,12,0.6777855103355586,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.0,0.5,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.0,0.5,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.0,0.5,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.0,0.5,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.0,0.5,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.0,0.5,12,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.01,0.0,0,0.9269209607317008,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.01,0.0,0,0.9999963881405894,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.01,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.02,0.0,0,0.9243300770114262,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.02,0.0,0,0.9813807493946304,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.02,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.03,0.0,0,0.921449674999974,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.03,0.0,0,0.985829585025016,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.03,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.04,0.0,0,0.9202008650124636,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.04,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.04,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.04,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.04,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.04,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.04,0.0,0,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.04,0.0,0,0.9830351176394242,gemini-1.5-pro-latest,No,regression,regression,0
