dataset_name,dataset_name_orig,EXE_M,EXE_G,CatDB,CatDBChain,CAAFETabPFN,CAAFERandomForest,CatDB_min,CatDBChain_min,CAAFETabPFN_min,CAAFERandomForest_min,CatDB_10_min,CatDBChain_10_min,CAAFETabPFN_10_min,CAAFERandomForest_10_min,dataset_load_time,llm_model,has_description,task_type,task,samples
Airline,Airline,0,0,165.75,362.18,0,0,2.76,6.04,0.001,0.001,27.63,60.36,0.001,0.001,11.503,gemini-1.5-pro-latest,No,multiclass,classification,0
Airline,Airline,0,0,452.79,66.11,0,0,7.55,1.10,0.001,0.001,75.46,11.02,0.001,0.001,11.503,llama-3.1-70b-versatile,No,multiclass,classification,0
Airline,Airline,0,0,102.21,66.11,0,0,1.70,1.10,0.001,0.001,17.04,11.02,0.001,0.001,11.503,gpt-4o,No,multiclass,classification,0
IMDB-IJS,IMDB-IJS,0,0,1679.71,1479.53,0,0,28.00,24.66,0.001,0.001,279.95,246.59,0.001,0.001,88.732,gemini-1.5-pro-latest,No,binary,classification,0
IMDB-IJS,IMDB-IJS,0,0,1679.71,1679.71,0,0,28.00,28.00,0.001,0.001,279.95,279.95,0.001,0.001,88.732,llama-3.1-70b-versatile,No,binary,classification,0
IMDB-IJS,IMDB-IJS,0,0,1679.71,1679.71,0,0,28.00,28.00,0.001,0.001,279.95,279.95,0.001,0.001,88.732,gpt-4o,No,binary,classification,0
Accidents,Accidents,0,0,884.25,1688.84,0,0,14.74,28.15,0.001,0.001,147.37,281.47,0.001,0.001,6.329,gemini-1.5-pro-latest,No,multiclass,classification,0
Accidents,Accidents,0,0,884.25,615.90,0,0,14.74,10.26,0.001,0.001,147.37,102.65,0.001,0.001,6.329,llama-3.1-70b-versatile,No,multiclass,classification,0
Accidents,Accidents,0,0,7073.73,1978.25,0,0,117.90,32.97,0.001,0.001,1178.95,329.71,0.001,0.001,6.329,gpt-4o,No,multiclass,classification,0
Financial,Financial,0,0,215.28,95.44,0,0,3.59,1.59,0.001,0.001,35.88,15.91,0.001,0.001,4.591,gemini-1.5-pro-latest,No,multiclass,classification,0
Financial,Financial,0,0,215.28,889.89,0,0,3.59,14.83,0.001,0.001,35.88,148.31,0.001,0.001,4.591,llama-3.1-70b-versatile,No,multiclass,classification,0
Financial,Financial,0,0,215.28,3169.58,0,0,3.59,52.83,0.001,0.001,35.88,528.26,0.001,0.001,4.591,gpt-4o,No,multiclass,classification,0
Yelp,Yelp,0,0,0,1561.52,0,1029.74,0.001,26.03,0.001,17.16,0.001,260.25,0.001,171.62,8.213,gemini-1.5-pro-latest,No,multiclass,classification,0
EU-IT,EU-IT,0,0,74.95,0,132.14,238.39,1.25,0.001,2.20,3.97,12.49,0.001,22.02,39.73,0.668,gemini-1.5-pro-latest,No,multiclass,classification,0
Etailing,Etailing,0,0,84.73,183.21,178.94,98.07,1.41,3.05,2.98,1.63,14.12,30.53,29.82,16.34,0.717,gemini-1.5-pro-latest,No,multiclass,classification,0
Midwest-Survey,Midwest-Survey,0,0,24.83,0,297.36,114.64,0.41,0.001,4.96,1.91,4.14,0.001,49.56,19.11,0.844,gemini-1.5-pro-latest,No,multiclass,classification,0
WiFi,WiFi,0,0,115.22,29.55,86.30,89.52,1.92,0.49,1.44,1.49,19.20,4.92,14.38,14.92,0.614,gemini-1.5-pro-latest,No,binary,classification,0
Utility,Utility,0,0,23.06,26.84,0,0,0.38,0.45,0.001,0.001,3.84,4.47,0.001,0.001,0.708,gemini-1.5-pro-latest,No,regression,regression,0
oml_dataset_2_rnc,Breast-w,0,0,40.51,24.30,494.77,481.10,0.68,0.40,8.25,8.02,6.75,4.05,82.46,80.18,0.653,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_2_rnc,Breast-w,0,0,20.74,0,266.19,144.31,0.35,0.001,4.44,2.41,3.46,0.001,44.36,24.05,0.653,llama-3.1-70b-versatile,No,binary,classification,0
oml_dataset_2_rnc,Breast-w,0,0,0,0,202.25,87.81,0.001,0.001,3.37,1.46,0.001,0.001,33.71,14.64,0.653,gpt-4o,No,binary,classification,0
oml_dataset_3_rnc,CMC,0,0,20.89,19.80,445.14,258.94,0.35,0.33,7.42,4.32,3.48,3.30,74.19,43.16,0.702,gemini-1.5-pro-latest,No,multiclass,classification,0
oml_dataset_3_rnc,CMC,0,0,19.09,80621.57,0,0,0.32,1343.69,0.001,0.001,3.18,13436.93,0.001,0.001,0.702,llama-3.1-70b-versatile,No,multiclass,classification,0
oml_dataset_3_rnc,CMC,0,0,12.96,14.21,445.96,86.12,0.22,0.24,7.43,1.44,2.16,2.37,74.33,14.35,0.702,gpt-4o,No,multiclass,classification,0
oml_dataset_4_rnc,Credit-g,0,0,47.38,38.28,504.52,489.20,0.79,0.64,8.41,8.15,7.90,6.38,84.09,81.53,0.786,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_4_rnc,Credit-g,0,0,101.93,0,362.79,122.81,1.70,0.001,6.05,2.05,16.99,0.001,60.47,20.47,0.786,llama-3.1-70b-versatile,No,binary,classification,0
oml_dataset_4_rnc,Credit-g,0,0,0,0,350.13,101.68,0.001,0.001,5.84,1.69,0.001,0.001,58.35,16.95,0.786,gpt-4o,No,binary,classification,0
oml_dataset_5_rnc,Diabetes,0,0,30.72,25.77,511.26,483.15,0.51,0.43,8.52,8.05,5.12,4.29,85.21,80.53,0.733,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_5_rnc,Diabetes,0,0,76.71,0,0,102.68,1.28,0.001,0.001,1.71,12.78,0.001,0.001,17.11,0.733,llama-3.1-70b-versatile,No,binary,classification,0
oml_dataset_5_rnc,Diabetes,0,0,0,0,222.84,102.92,0.001,0.001,3.71,1.72,0.001,0.001,37.14,17.15,0.733,gpt-4o,No,binary,classification,0
oml_dataset_6_rnc,Tic-Tac-Toe,0,0,15.75,14.28,268.40,251.80,0.26,0.24,4.47,4.20,2.63,2.38,44.73,41.97,0.87,gemini-1.5-pro-latest,No,binary,classification,0
oml_dataset_6_rnc,Tic-Tac-Toe,0,0,32.95,26.45,0,0,0.55,0.44,0.001,0.001,5.49,4.41,0.001,0.001,0.87,llama-3.1-70b-versatile,No,binary,classification,0
oml_dataset_6_rnc,Tic-Tac-Toe,0,0,8.62,23.28,226.34,81.17,0.17,0.39,3.77,1.35,1.67,3.88,37.72,13.53,0.87,gpt-4o,No,binary,classification,0
