dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
Etailing,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,84,92.04273104667664,-2.0,0.9903773700655574,0.991553725969759,-2.0,-2.0,,-2.0,0.4866126046237465,-2.0,0.5866291136337576,0.5869131586744097,-2.0,-2.0,,-2.0,0.7585044747238203,0,0,Run-AutoML,0
Etailing,Autogluon,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,84,88.48291993141174,-2.0,0.969069658041868,0.9695631202085516,0.8729641693811075,-2.0,-2.0,-2.0,-2.0,-2.0,0.6808528838435959,0.6776628754593411,0.4166666666666667,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
Midwest-Survey,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,24,33.06373047828674,-2.0,0.8195366110656884,0.8492462301487381,-2.0,-2.0,,-2.0,0.7788721493675843,-2.0,0.806998770301422,0.8433077813860435,-2.0,-2.0,,-2.0,0.7796170609724812,0,0,Run-AutoML,0
WiFi,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,44,51.72706198692322,0.8975845410628019,-2.0,-2.0,-2.0,-2.0,,-2.0,0.3978361366889172,0.5610859728506787,-2.0,-2.0,-2.0,-2.0,,-2.0,0.5045822253389581,0,0,Run-AutoML,0
WiFi,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,44,44.05850386619568,0.8497584541062803,-2.0,-2.0,0.75,0.6965839510151466,-2.0,-2.0,-2.0,0.7375565610859729,-2.0,-2.0,0.6666666666666666,0.668154761904762,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
WiFi,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,44,10.64363408088684,0.9062801932367148,-2.0,-2.0,0.7794117647058824,0.8514851485148515,-2.0,-2.0,-2.0,0.6108597285067873,-2.0,-2.0,0.6,0.7272727272727273,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
Utility,H2O,,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,13,21.781206369400024,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-6.364876832481989,5.381627508751676,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-7.051521870002789,5.420711252042145,0,0,Run-AutoML,0
Utility,Flaml,,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,13,13.102222204208374,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9997508989075136,0.0312981527760937,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.990246792937758,0.188664855923295,0,0,Run-AutoML,0
Utility,Autogluon,,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,13,13.685953378677368,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9996101467915088,0.0391544787235943,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9956145465042942,0.1265099083328105,0,0,Run-AutoML,0
Yelp,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1561,1581.8403096199036,-2.0,0.7939196377183927,0.8054490409894693,-2.0,-2.0,,-2.0,0.655905828698912,-2.0,0.7535547157991564,0.76888452139214,-2.0,-2.0,,-2.0,0.6689911185222572,0,0,Run-AutoML,0
Yelp,Flaml,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1561,1803.5063269138336,-2.0,0.8146720799608579,0.8251024849920272,0.5540470006338002,-2.0,1.0482230190821946,-2.0,-2.0,-2.0,0.7565926410870134,0.7700969589975946,0.4985284096675511,-2.0,1.1548154204403704,-2.0,-2.0,0,0,Run-AutoML,0
Yelp,Autogluon,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1561,1634.6149680614471,-2.0,0.819874825855235,0.8409387074451548,0.5331999453191991,-2.0,-2.0,-2.0,-2.0,-2.0,0.7918174503871024,0.8152866839537175,0.5106490945732388,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
