dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-exp-0801,Auto,multiclass,True,1,0,No,0.0008356571197509,13.553083419799805,14.053561210632324,0.5004777908325195,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,772,772,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-exp-0801,Auto,multiclass,True,1,0,No,0.0008356571197509,12.30799651145935,12.32763957977295,0.0196430683135986,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1207,1207,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,1,1,No,0.0008356571197509,24.545169353485107,49.54853391647339,0.1944386959075927,-2.0,1.0,1.0,1.0,-2.0,0.1486354736349906,-2.0,-2.0,-2.0,0.7444920267489712,0.769942930876054,0.7819148936170213,-2.0,1.927447204343528,-2.0,-2.0,1477,3387,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,1,0,No,0.0008356571197509,24.545169353485107,49.750093936920166,0.2015600204467773,-2.0,1.0,1.0,0.9931350114416476,-2.0,0.1984636198596905,-2.0,-2.0,-2.0,0.728193158436214,0.7551842496257762,0.8351063829787234,-2.0,0.6671853351427528,-2.0,-2.0,1477,3387,Run-Pipeline,0
oml_dataset_1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-exp-0801,Auto,multiclass,True,2,1,No,0.0008356571197509,13.361724138259888,23.243077278137207,0.0200920104980468,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,772,1935,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-exp-0801,Auto,multiclass,True,2,0,No,0.0008356571197509,16.496165990829468,16.582005977630615,0.0858399868011474,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1186,1186,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,2,0,No,0.0008356571197509,20.85451722145081,21.27083778381348,0.4163205623626709,-2.0,1.0,1.0,1.0,-2.0,0.1492658625620602,-2.0,-2.0,-2.0,0.7280529835390945,0.7524932658248485,0.7712765957446809,-2.0,2.4221713676963645,-2.0,-2.0,1416,1416,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,2,0,No,0.0008356571197509,20.85451722145081,21.798997163772583,0.5281593799591064,-2.0,1.0,1.0,1.0,-2.0,0.1219425336488882,-2.0,-2.0,-2.0,0.7221489197530865,0.7506620009114758,0.8297872340425532,-2.0,1.3544081979734472,-2.0,-2.0,1416,1416,Run-Pipeline,0
oml_dataset_1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-exp-0801,Auto,multiclass,True,3,0,No,0.0008356571197509,13.283994913101196,13.302282094955444,0.018287181854248,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,772,772,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-exp-0801,Auto,multiclass,True,3,0,No,0.0008356571197509,11.71836233139038,11.737666606903076,0.0193042755126953,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1206,1206,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,3,1,No,0.0008356571197509,23.416964769363403,47.28317189216614,0.1897261142730713,-2.0,1.0,1.0,1.0,-2.0,0.2697356071012006,-2.0,-2.0,-2.0,0.7492322530864198,0.7761465234241843,0.7712765957446809,-2.0,0.7882353892523237,-2.0,-2.0,1463,3339,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,3,0,No,0.0008356571197509,23.416964769363403,47.47025680541992,0.1870849132537841,-2.0,0.9779801478390188,0.9819803750997036,0.9130434782608696,-2.0,0.503678601732685,-2.0,-2.0,-2.0,0.7621502057613169,0.7876037452017844,0.8351063829787234,-2.0,0.6757621620534694,-2.0,-2.0,1463,3339,Run-Pipeline,0
oml_dataset_1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-exp-0801,Auto,multiclass,True,4,0,No,0.0008356571197509,12.97898006439209,12.997355699539185,0.0183756351470947,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,772,772,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-exp-0801,Auto,multiclass,True,4,1,No,0.0008356571197509,11.813425064086914,23.866082906723022,0.0180845260620117,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1199,2452,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,4,0,No,0.0008356571197509,23.94181084632873,24.13059782981873,0.1887869834899902,-2.0,1.0,1.0,0.9772727272727272,-2.0,0.2788273105245233,-2.0,-2.0,-2.0,0.7409606481481482,0.7681695826478739,0.776595744680851,-2.0,0.9416881314313386,-2.0,-2.0,1461,1461,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,4,0,No,0.0008356571197509,23.94181084632873,24.31645369529724,0.1858558654785156,-2.0,0.9800191221562188,0.9838865314806382,0.9107551487414188,-2.0,0.5062907846909653,-2.0,-2.0,-2.0,0.7565149176954732,0.7840985468261379,0.8191489361702128,-2.0,0.6777599858997422,-2.0,-2.0,1461,1461,Run-Pipeline,0
oml_dataset_1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-exp-0801,Auto,multiclass,True,5,0,No,0.0008356571197509,11.576103448867798,11.592614650726318,0.0165112018585205,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,772,772,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-exp-0801,Auto,multiclass,True,5,0,No,0.0008356571197509,11.471075773239136,11.489627361297607,0.0185515880584716,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1132,1132,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,5,1,No,0.0008356571197509,23.45526647567749,45.64254665374756,0.188061237335205,-2.0,1.0,1.0,1.0,-2.0,0.1502196041846008,-2.0,-2.0,-2.0,0.7527726337448559,0.7770009392645947,0.7712765957446809,-2.0,1.753071358580127,-2.0,-2.0,1445,3244,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,5,0,No,0.0008356571197509,23.45526647567749,45.84458351135254,0.2020368576049804,-2.0,1.0,1.0,1.0,-2.0,0.1167828223604442,-2.0,-2.0,-2.0,0.7340779320987654,0.7628331193588548,0.8085106382978723,-2.0,1.326976547975408,-2.0,-2.0,1445,3244,Run-Pipeline,0
oml_dataset_1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-exp-0801,Auto,multiclass,True,6,1,No,0.0008356571197509,12.025929689407349,21.58713412284851,0.0169711112976074,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,772,1930,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-exp-0801,Auto,multiclass,True,6,0,No,0.0008356571197509,10.35514783859253,10.375251531600952,0.0201036930084228,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1178,1178,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,6,1,No,0.0008356571197509,20.12032914161682,41.44052577018738,0.1900920867919922,-2.0,1.0,1.0,1.0,-2.0,0.2861593609734665,-2.0,-2.0,-2.0,0.7326581790123456,0.7605870125828109,0.7446808510638298,-2.0,0.9563539491007949,-2.0,-2.0,1386,3120,Gen-and-Verify-Pipeline,0
oml_dataset_1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-exp-0801,Auto,multiclass,True,6,0,No,0.0008356571197509,20.12032914161682,41.63078737258911,0.1902616024017334,-2.0,0.9806081388742678,0.9833911184220234,0.9153318077803204,-2.0,0.5093853203183953,-2.0,-2.0,-2.0,0.7500077160493827,0.7779351555436991,0.8297872340425532,-2.0,0.6866789086450233,-2.0,-2.0,1386,3120,Run-Pipeline,0
