dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
Etailing,CatDBChain,DataPreprocessing,llama3-70b-8192,Auto,multiclass,True,1,1,No,0.0568275451660156,3.5521669387817383,7.364830017089844,0.3387894630432129,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2538,5449,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,DataPreprocessing,llama3-70b-8192,Auto,multiclass,True,1,1,No,0.0568275451660156,3.603349924087525,7.35273551940918,0.3223440647125244,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2538,5449,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,DataPreprocessing,llama3-70b-8192,Auto,multiclass,True,1,1,No,0.0568275451660156,3.529754400253296,7.610262393951416,0.3356633186340332,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2538,5449,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,DataPreprocessing,llama3-70b-8192,Auto,multiclass,True,1,1,No,0.0568275451660156,3.65720534324646,7.472348928451538,0.3617007732391357,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2538,5449,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,DataPreprocessing,llama3-70b-8192,Auto,multiclass,True,1,1,No,0.0568275451660156,3.48680067062378,7.261030912399292,0.3641066551208496,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2538,5449,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0.0417869091033935,32.26380634307861,32.721354484558105,0.4575481414794922,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3227,3227,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.0417869091033935,22.0198187828064,64.89965677261353,0.4067709445953369,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3898,11679,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,9,No,0.0417869091033935,35.534019947052,466.35499715805054,0.6605536937713623,-2.0,0.999922999549151,0.9999438066521296,0.955777460770328,-2.0,0.4369814544734753,-2.0,-2.0,-2.0,0.9801077169716969,0.984332771826106,0.8502495840266223,-2.0,0.6471737122820698,-2.0,-2.0,4514,23855,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0.0417869091033935,35.534019947052,468.3172354698181,1.962238311767578,-2.0,0.9997391247638718,0.999848996114203,0.968041090027108,-2.0,0.4879459975638375,-2.0,-2.0,-2.0,0.9993027248247248,0.9996943593739674,0.961730449251248,-2.0,0.5171905738629246,-2.0,-2.0,4514,23855,Run-Pipeline,0
Etailing,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.0417869091033935,16.79860281944275,32.51490092277527,0.2579903602600097,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3227,6796,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,2,0,No,0.0417869091033935,16.039285898208618,16.304442882537842,0.2651569843292236,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3938,3938,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.0417869091033935,26.56758570671081,46.22323131561279,0.1304240226745605,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3227,7194,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,2,0,No,0.0417869091033935,23.50330805778504,23.619170665740967,0.1158626079559326,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4125,4125,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,2,0,No,0.0417869091033935,32.229546308517456,34.57832646369934,2.3487801551818848,-2.0,0.9994294415602716,0.9994895745270423,0.9771754636233952,-2.0,0.2322425904135312,-2.0,-2.0,-2.0,0.9566416605433808,0.9615756181290248,0.8775374376039934,-2.0,0.4852317075675516,-2.0,-2.0,4567,4567,Gen-and-Verify-Pipeline,0
Etailing,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,2,0,No,0.0417869091033935,32.229546308517456,51.98904871940613,17.410722255706787,-2.0,0.9978162753708392,0.9980453198835398,0.9621914681124268,-2.0,0.311447583902811,-2.0,-2.0,-2.0,0.995077698662314,0.9959070308896264,0.951414309484193,-2.0,0.3383206147729245,-2.0,-2.0,4567,4567,Run-Pipeline,0
Midwest-Survey,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.0344884395599365,17.138005018234253,33.0836067199707,0.0012378692626953,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2139,4861,Gen-and-Verify-Pipeline,0
WiFi,CatDBChain,DataPreprocessing,llama3-70b-8192,Auto,binary,True,1,4,No,0.0324606895446777,1.8573851585388184,11.01777458190918,0.2841246128082275,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,840,6014,Gen-and-Verify-Pipeline,0
WiFi,CatDBChain,FeatureEngineering,llama3-70b-8192,Auto,binary,True,1,0,No,0.0324606895446777,2.762720823287964,3.5972111225128174,0.8344902992248535,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1480,1480,Gen-and-Verify-Pipeline,0
WiFi,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,1,4,No,0.0324606895446777,2.8906095027923584,25.945042610168457,0.0449950695037841,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.4705882352941176,-2.0,-2.0,0.5333333333333333,0.6111111111111112,-2.0,-2.0,-2.0,1695,13551,Gen-and-Verify-Pipeline,0
WiFi,CatDBChain,ModelSelection,llama3-70b-8192,Auto,binary,True,1,0,No,0.0324606895446777,2.8906095027923584,25.977830171585083,0.0327875614166259,0.8070987654320988,-2.0,-2.0,0.7407407407407407,0.825,-2.0,-2.0,-2.0,0.6199095022624435,-2.0,-2.0,0.6333333333333333,0.6857142857142857,-2.0,-2.0,-2.0,1695,13551,Run-Pipeline,0
WiFi,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,binary,True,1,3,No,0.0296850204467773,10.094894647598268,36.55333399772644,0.1949281692504882,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1377,5562,Gen-and-Verify-Pipeline,0
WiFi,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0.0296850204467773,11.367910146713257,11.560818672180176,0.1929085254669189,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1743,1743,Gen-and-Verify-Pipeline,0
WiFi,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0.0296850204467773,15.99705410003662,16.475631713867188,0.4785776138305664,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.4411764705882353,-2.0,-2.0,0.6,0.584688995215311,-2.0,-2.0,-2.0,2076,2076,Gen-and-Verify-Pipeline,0
