dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,1,0,No,0,0,991.7167801856996,8.06235384941101,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21123,21123,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,2,0,No,0,0,998.270421743393,13.760088205337524,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,20869,20869,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,3,0,No,0,0,1017.3120064735411,33.14524841308594,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21697,21697,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,4,0,No,0,0,997.9498510360718,14.259980916976929,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21281,21281,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,5,0,No,0,0,1010.1007697582244,26.3696346282959,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21719,21719,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,6,0,No,0,0,1022.1494777202606,10.677855730056764,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21685,21685,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,7,0,No,0,0,987.6529836654664,4.426689386367798,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21809,21809,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,8,0,No,0,0,1039.7176201343536,9.116907835006714,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21728,21728,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,9,0,No,0,0,1038.9258086681366,51.55074906349182,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21728,21728,Run-Pipeline,0,Breast-w,5
oml_dataset_2_rnc,AIDE,,llama-3.1-70b-versatile,Auto,binary,True,10,0,No,0,0,1055.9903304576874,12.386263847351074,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9953032042584282,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,21441,21441,Run-Pipeline,0,Breast-w,5
