dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,1,0,No,0,0,36.2970666885376,13.563039302825928,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2145,2145,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,2,0,No,0,0,35.61558389663696,13.736454486846924,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2123,2123,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,3,0,No,0,0,36.28383111953735,13.465972423553469,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2126,2126,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,4,0,No,0,0,35.14820432662964,14.096221685409546,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2082,2082,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,5,0,No,0,0,37.13963031768799,14.087114572525024,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2196,2196,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,6,0,No,0,0,27.70368480682373,2.6175153255462646,-2.0,0.9997083994298936,0.999717882032928,0.9955838553969396,-2.0,0.0451245511195943,-2.0,-2.0,-2.0,0.998261483432226,0.9983338081524072,0.98921639108555,-2.0,0.0693821192618991,-2.0,-2.0,2296,2296,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,7,0,No,0,0,35.0279335975647,13.750301122665403,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2105,2105,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,8,0,No,0,0,35.92645025253296,13.96138310432434,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2143,2143,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,9,0,No,0,0,32.900781869888306,13.54234528541565,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2004,2004,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,10,0,No,0,0,37.30843544006348,14.127405405044556,-2.0,0.999999931010284,0.9999999484117078,0.999589195850878,-2.0,0.00909239533128,-2.0,-2.0,-2.0,0.9995228664598548,0.9995400717049876,0.9947280134196022,-2.0,0.0317660719302041,-2.0,-2.0,2178,2178,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,11,0,No,0,0,40.58726406097412,13.93167519569397,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2207,2207,Run-Pipeline,0,Gas-Drift,5
oml_dataset_34_rnc,AIDE,,gemini-1.5-pro-latest,Auto,multiclass,True,12,0,No,0,0,35.78198289871216,14.061771154403688,-2.0,0.9999999862020568,0.9999999896823416,0.999589195850878,-2.0,0.0094154094575492,-2.0,-2.0,-2.0,0.9994238776086156,0.9994447592142088,0.9942487419122932,-2.0,0.0325809427998169,-2.0,-2.0,2115,2115,Run-Pipeline,0,Gas-Drift,5
